maz,taz,PUMA,geometry,index_right,COUNTY_NAME,COUNTY_FIPS
10001,56,01500,POINT (-13630078.131777702 4544178.50295928),21.0,San Francisco,075
10002,56,01500,POINT (-13629839.67903309 4544196.7145547075),21.0,San Francisco,075
10003,10,01500,POINT (-13629543.24579298 4545125.665066756),21.0,San Francisco,075
10004,53,01500,POINT (-13629630.041302461 4544666.016301077),21.0,San Francisco,075
10005,48,01500,POINT (-13629223.770026343 4544979.830715177),21.0,San Francisco,075
10006,48,01500,POINT (-13629215.254068146 4544867.262719194),21.0,San Francisco,075
10007,65,01500,POINT (-13629137.41372036 4543573.482303943),21.0,San Francisco,075
10009,65,01500,POINT (-13629343.918004442 4543272.730820883),21.0,San Francisco,075
10012,40,01500,POINT (-13629050.566380411 4542530.56079057),21.0,San Francisco,075
10017,583,01500,POINT (-13624642.115287777 4544360.847460892),21.0,San Francisco,075
10018,574,01500,POINT (-13624621.199535321 4544699.3395830635),21.0,San Francisco,075
10021,618,01500,POINT (-13624385.3585072 4542759.599313538),21.0,San Francisco,075
10022,116,01500,POINT (-13624467.579913689 4541697.2839319),21.0,San Francisco,075
10023,125,01500,POINT (-13626627.976855993 4542982.910353767),21.0,San Francisco,075
10024,622,01500,POINT (-13624087.90765978 4541820.803814732),21.0,San Francisco,075
10025,623,01500,POINT (-13623863.080538651 4541957.984692944),21.0,San Francisco,075
10030,250,01500,POINT (-13632114.367189528 4548436.8208308015),21.0,San Francisco,075
10038,363,01500,POINT (-13626621.803858252 4548925.796071311),21.0,San Francisco,075
10039,330,01500,POINT (-13626854.03855777 4538543.454321152),21.0,San Francisco,075
10044,635,01500,POINT (-13632923.653413285 4539015.259650858),21.0,San Francisco,075
10045,635,01500,POINT (-13632823.677777186 4539016.679726272),21.0,San Francisco,075
10047,199,01500,POINT (-13629798.819944374 4540333.908144884),21.0,San Francisco,075
10048,636,01500,POINT (-13630356.04246891 4539655.868865603),21.0,San Francisco,075
10049,100,01500,POINT (-13625559.847207181 4541961.559459835),21.0,San Francisco,075
10052,453,01500,POINT (-13631131.372400297 4540327.930163882),21.0,San Francisco,075
10053,553,01500,POINT (-13625039.959079169 4542372.133668828),21.0,San Francisco,075
