county_id,county_name,total_control,total_result,total_diff,total_diff_pct,mae,rmse,perfect_matches,perfect_pct,variable_count
1,San Francisco,418121.0,418165,44.0,0.010523269579858462,6883.53125,11523.747764128213,0,0.0,32
2,San Mateo,288250.0,288250,0.0,0.0,1763.25,2718.4128411630195,1,3.125,32
3,Santa Clara,704160.0,704160,0.0,0.0,3028.1875,4504.092340583173,1,3.125,32
4,Alameda,646592.0,646592,0.0,0.0,7307.75,11963.061836336048,1,3.125,32
5,Contra Costa,431991.0,431991,0.0,0.0,1339.9375,1973.1193894440346,1,3.125,32
6,Solano,165589.0,165589,0.0,0.0,586.0,893.1422759000942,1,3.125,32
7,Napa,56033.0,56033,0.0,0.0,400.625,599.4157050828749,1,3.125,32
8,Sonoma,208930.0,209020,90.0,0.04307662853587326,1521.53125,2256.577960928893,0,0.0,32
9,Marin,112346.0,112346,0.0,0.0,1965.125,3370.3699537291154,1,3.125,32
