county_id,county_name,total_pop_control,total_pop_result,total_pop_diff,total_pop_diff_pct
1,San Francisco,836336,839014,2678,0.32020623290160893
2,San Mateo,745066,745449,383,0.05140484198715282
3,Santa Clara,1903326,1901573,-1753,-0.09210193104071504
4,Alameda,1652079,1647876,-4203,-0.2544067202597455
5,Contra Costa,1161334,1160609,-725,-0.0624282075613045
6,Solano,444994,444953,-41,-0.009213607374481453
7,Napa,136178,136217,39,0.028638987207919044
8,Sonoma,485643,485826,183,0.0376820009760256
9,Marin,258772,257303,-1469,-0.5676812019847588
