COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual_military
1,118550,310736,179274,100882,154661
13,81259,169106,124502,80224,117880
41,24097,39251,26600,19122,17423
55,9298,15300,14844,11010,17707
75,81760,196363,95212,59516,52596
81,60969,140463,79148,46892,68218
85,138495,414841,176013,113310,157832
95,19988,44939,57409,30195,61182
97,31967,59713,58106,38401,58702
