process,pid,rss,full_rss,uss,event,children,time
MainProcess,33912,98_295_808,98_295_808,65_331_200,pipeline.run before preload_injectables,0,2025/08/12 17:02:48.329682
MainProcess,33912,98_586_624,98_586_624,65_343_488,pipeline.run after preload_injectables,0,2025/08/12 17:02:48.353648
MainProcess,33912,98_623_488,98_623_488,65_355_776,pipeline.run_model input_pre_processor start,0,2025/08/12 17:02:48.373670
MainProcess,33912,1_345_744_896,1_345_744_896,1_316_347_904,pipeline.run_model input_pre_processor finished,0,2025/08/12 17:03:00.696474
MainProcess,33912,1_376_288_768,1_376_288_768,1_346_850_816,pipeline.run after input_pre_processor,0,2025/08/12 17:03:04.407881
MainProcess,33912,1_376_288_768,1_376_288_768,1_346_850_816,pipeline.run_model setup_data_structures start,0,2025/08/12 17:03:04.440493
MainProcess,33912,1_371_009_024,1_371_009_024,1_341_956_096,pipeline.run_model setup_data_structures finished,0,2025/08/12 17:03:07.229070
MainProcess,33912,1_376_264_192,1_376_264_192,1_347_485_696,pipeline.run after setup_data_structures,0,2025/08/12 17:03:10.554418
MainProcess,33912,1_377_300_480,1_377_300_480,1_347_510_272,pipeline.run_model initial_seed_balancing start,0,2025/08/12 17:03:10.581144
MainProcess,33912,1_382_703_104,1_382_703_104,1_353_535_488,pipeline.run_model initial_seed_balancing finished,0,2025/08/12 17:08:15.181040
MainProcess,33912,1_383_485_440,1_383_485_440,1_353_555_968,pipeline.run after initial_seed_balancing,0,2025/08/12 17:08:15.229517
MainProcess,33912,1_383_501_824,1_383_501_824,1_353_572_352,pipeline.run_model meta_control_factoring start,0,2025/08/12 17:08:15.263472
MainProcess,24604,98_308_096,98_308_096,65_331_200,pipeline.run before preload_injectables,0,2025/08/12 17:32:50.388194
MainProcess,24604,98_598_912,98_598_912,65_474_560,pipeline.run after preload_injectables,0,2025/08/12 17:32:50.401741
MainProcess,24604,98_758_656,98_758_656,65_478_656,pipeline.run_model input_pre_processor start,0,2025/08/12 17:32:50.417390
MainProcess,24604,1_185_730_560,1_185_730_560,1_183_182_848,pipeline.run_model input_pre_processor finished,0,2025/08/12 17:33:02.113996
MainProcess,24604,1_337_958_400,1_337_958_400,1_333_288_960,pipeline.run after input_pre_processor,0,2025/08/12 17:33:05.776609
MainProcess,24604,1_339_338_752,1_339_338_752,1_333_407_744,pipeline.run_model setup_data_structures start,0,2025/08/12 17:33:05.811465
MainProcess,24604,1_340_514_304,1_340_514_304,1_334_566_912,pipeline.run_model setup_data_structures finished,0,2025/08/12 17:33:08.416857
MainProcess,24604,1_346_605_056,1_346_605_056,1_340_928_000,pipeline.run after setup_data_structures,0,2025/08/12 17:33:11.508988
MainProcess,24604,1_347_616_768,1_347_616_768,1_340_928_000,pipeline.run_model initial_seed_balancing start,0,2025/08/12 17:33:11.540635
MainProcess,24604,1_350_565_888,1_350_565_888,1_343_946_752,pipeline.run_model initial_seed_balancing finished,0,2025/08/12 17:38:15.684571
MainProcess,24604,1_351_598_080,1_351_598_080,1_343_971_328,pipeline.run after initial_seed_balancing,0,2025/08/12 17:38:15.730880
MainProcess,24604,1_351_598_080,1_351_598_080,1_343_971_328,pipeline.run_model meta_control_factoring start,0,2025/08/12 17:38:15.764967
MainProcess,24604,1_353_216_000,1_353_216_000,1_346_445_312,pipeline.run_model meta_control_factoring finished,0,2025/08/12 17:38:15.883130
MainProcess,24604,1_354_219_520,1_354_219_520,1_346_539_520,pipeline.run after meta_control_factoring,0,2025/08/12 17:38:15.929635
MainProcess,24604,1_354_301_440,1_354_301_440,1_346_555_904,pipeline.run_model final_seed_balancing start,0,2025/08/12 17:38:15.948694
MainProcess,24604,1_318_621_184,1_318_621_184,1_267_683_328,pipeline.run_model final_seed_balancing finished,0,2025/08/12 17:44:09.692552
MainProcess,24604,1_318_547_456,1_318_547_456,1_266_741_248,pipeline.run after final_seed_balancing,0,2025/08/12 17:44:09.838800
MainProcess,24604,1_318_572_032,1_318_572_032,1_266_741_248,pipeline.run_model integerize_final_seed_weights start,0,2025/08/12 17:44:09.888685
MainProcess,25724,98_041_856,98_041_856,65_339_392,pipeline.run before preload_injectables,0,2025/08/12 19:03:21.829466
MainProcess,25724,98_332_672,98_332_672,65_351_680,pipeline.run after preload_injectables,0,2025/08/12 19:03:21.851662
MainProcess,25724,98_361_344,98_361_344,65_355_776,pipeline.run_model input_pre_processor start,0,2025/08/12 19:03:21.861920
MainProcess,25724,1_345_024_000,1_345_024_000,1_315_880_960,pipeline.run_model input_pre_processor finished,0,2025/08/12 19:03:32.078058
MainProcess,25724,1_375_707_136,1_375_707_136,1_346_531_328,pipeline.run after input_pre_processor,0,2025/08/12 19:03:35.376587
MainProcess,25724,1_375_707_136,1_375_707_136,1_346_531_328,pipeline.run_model setup_data_structures start,0,2025/08/12 19:03:35.400300
MainProcess,25724,1_374_748_672,1_374_748_672,1_345_232_896,pipeline.run_model setup_data_structures finished,0,2025/08/12 19:03:38.026022
MainProcess,25724,1_376_038_912,1_376_038_912,1_347_526_656,pipeline.run after setup_data_structures,0,2025/08/12 19:03:41.391368
MainProcess,25724,1_377_067_008,1_377_067_008,1_347_547_136,pipeline.run_model initial_seed_balancing start,0,2025/08/12 19:03:41.418224
MainProcess,25724,1_382_064_128,1_382_064_128,1_353_129_984,pipeline.run_model initial_seed_balancing finished,0,2025/08/12 19:06:34.584021
MainProcess,25724,1_382_748_160,1_382_748_160,1_353_359_360,pipeline.run after initial_seed_balancing,0,2025/08/12 19:06:34.628467
MainProcess,25724,1_382_957_056,1_382_957_056,1_353_359_360,pipeline.run_model meta_control_factoring start,0,2025/08/12 19:06:34.660580
MainProcess,25724,1_380_978_688,1_380_978_688,1_352_310_784,pipeline.run_model meta_control_factoring finished,0,2025/08/12 19:06:34.767339
MainProcess,25724,1_382_088_704,1_382_088_704,1_352_511_488,pipeline.run after meta_control_factoring,0,2025/08/12 19:06:34.812218
MainProcess,25724,1_382_195_200,1_382_195_200,1_352_519_680,pipeline.run_model final_seed_balancing start,0,2025/08/12 19:06:34.828175
MainProcess,25724,1_384_615_936,1_384_615_936,1_355_411_456,pipeline.run_model final_seed_balancing finished,0,2025/08/12 19:12:09.588619
MainProcess,25724,1_384_173_568,1_384_173_568,1_354_448_896,pipeline.run after final_seed_balancing,0,2025/08/12 19:12:09.643425
MainProcess,25724,1_384_185_856,1_384_185_856,1_354_448_896,pipeline.run_model integerize_final_seed_weights start,0,2025/08/12 19:12:09.681498
MainProcess,31460,98_144_256,98_144_256,65_417_216,pipeline.run before preload_injectables,0,2025/08/13 07:25:02.536537
MainProcess,31460,98_435_072,98_435_072,65_560_576,pipeline.run after preload_injectables,0,2025/08/13 07:25:02.553241
MainProcess,31460,98_598_912,98_598_912,65_568_768,pipeline.run_model input_pre_processor start,0,2025/08/13 07:25:02.569579
MainProcess,31460,934_694_912,934_694_912,932_827_136,pipeline.run_model input_pre_processor finished,0,2025/08/13 07:25:17.128742
MainProcess,31460,1_338_478_592,1_338_478_592,1_336_188_928,pipeline.run after input_pre_processor,0,2025/08/13 07:25:21.399420
MainProcess,31460,1_339_162_624,1_339_162_624,1_336_336_384,pipeline.run_model setup_data_structures start,0,2025/08/13 07:25:21.434939
MainProcess,31460,1_297_629_184,1_297_629_184,1_294_299_136,pipeline.run_model setup_data_structures finished,0,2025/08/13 07:25:24.356254
MainProcess,31460,1_301_053_440,1_301_053_440,1_298_436_096,pipeline.run after setup_data_structures,0,2025/08/13 07:25:27.421705
MainProcess,31460,1_302_073_344,1_302_073_344,1_298_452_480,pipeline.run_model initial_seed_balancing start,0,2025/08/13 07:25:27.455408
MainProcess,31460,1_306_845_184,1_306_845_184,1_303_207_936,pipeline.run_model initial_seed_balancing finished,0,2025/08/13 07:29:12.713486
MainProcess,31460,1_307_873_280,1_307_873_280,1_303_240_704,pipeline.run after initial_seed_balancing,0,2025/08/13 07:29:12.823613
