control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,217868,217864.2762139836,217864.29185342503,217868.0,217864.29185342498,217868,217864.29185342498,217868
gq_pop,8866,0.0,0.0,0.0,0.0,0,0.0,0
gq_military,278,0.0,0.0,0.0,0.0,0,0.0,0
gq_university,2873,0.0,0.0,0.0,0.0,0,0.0,0
gq_other,5715,0.0,0.0,0.0,0.0,0,0.0,0
hh_size_1,53208,63637.2488831578,63773.9317323423,63774.0,63773.9317323423,63663,63773.9317323423,63716
hh_size_2,67642,77308.78820859842,77255.75523441809,77258.0,77255.75523441809,77306,77255.75523441809,77349
hh_size_3,29354,32455.826408253924,32436.490851011356,32437.0,32436.49085101136,32429,32436.49085101136,32421
hh_size_4_plus,42712,44462.41271397342,44398.11403565326,44399.0,44398.114035653256,44470,44398.114035653256,44382
hh_inc_30,42794,48353.053027917944,48373.01148459872,48374.0,48373.01148459871,48344,48373.01148459871,48355
hh_inc_30_60,41439,46804.53146940921,46812.716496917485,46814.0,46812.716496917485,46804,46812.716496917485,46767
hh_inc_60_100,28096,31725.928096666616,31726.189715784483,31727.0,31726.189715784487,31746,31726.189715784487,31741
hh_inc_100_plus,80581,90980.7636199898,90952.37415612432,90953.0,90952.37415612432,90974,90952.37415612432,91005
hh_wrks_0,52860,60380.78506431856,61489.900659191546,61489.0,61489.90065919156,61491,61489.90065919155,61575
hh_wrks_1,66806,76721.66823526032,76845.35501061949,76848.0,76845.3550106195,76821,76845.3550106195,76759
hh_wrks_2,55386,62896.86961712247,61711.718001910165,61713.0,61711.71800191015,61718,61711.71800191015,61685
hh_wrks_3_plus,17865,17864.95329728219,17817.318181703788,17818.0,17817.31818170379,17838,17817.31818170379,17849
pers_age_00_19,105589,105649.99427987622,105651.93973792228,105653.0,105651.93973792226,105811,105651.93973792226,105699
pers_age_20_34,86411,90956.59623864826,90763.7057202508,90768.0,90763.70572025081,90805,90763.70572025081,90732
pers_age_35_64,191837,202744.65584861624,202412.58464345508,202418.0,202412.58464345508,202473,202412.58464345508,202391
pers_age_65_plus,101805,107762.80650256037,108065.14950704499,108068.0,108065.14950704499,108145,108065.14950704499,108216
hh_kids_yes,52970,59669.51857792969,59655.158392969686,59657.0,59655.158392969686,59624,59655.158392969686,59529
hh_kids_no,139950,158194.75763605392,158209.1334604553,158211.0,158209.1334604553,158244,158209.1334604553,158339
pers_occ_management,31967,58004.66648984096,34943.03490248156,34944.0,34943.03490248155,35025,34943.03490248155,35012
pers_occ_professional,59713,67044.59935108374,65149.11169644978,65151.0,65149.11169644978,65158,65149.11169644978,65169
pers_occ_services,58106,43165.74625909022,60766.39418377205,60767.0,60766.394183772034,60769,60766.394183772034,60685
pers_occ_retail,38401,47928.48695642165,41230.982003783305,41232.0,41230.98200378331,41232,41230.98200378331,41261
pers_occ_manual_military,58702,44695.21646736708,60941.24316344166,60946.0,60941.243163441664,60990,60941.243163441664,60975
