control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,176764,176761.54605318644,176761.58103389037,176764.0,176761.5810338903,176764,176761.5810338903,176764
gq_pop,11135,0.0,0.0,0.0,0.0,0,0.0,0
gq_military,917,0.0,0.0,0.0,0.0,0,0.0,0
gq_university,823,0.0,0.0,0.0,0.0,0,0.0,0
gq_other,9395,0.0,0.0,0.0,0.0,0,0.0,0
hh_size_1,38929,44939.17879021493,44913.733238513516,44914.0,44913.733238513516,44720,44913.733238513516,44819
hh_size_2,50813,56872.85062323532,56806.6827635542,56807.0,56806.6827635542,56740,56806.6827635542,56750
hh_size_3,27305,29849.824767727467,29871.19465278605,29871.0,29871.19465278605,29925,29871.19465278605,29935
hh_size_4_plus,43071,45099.691872008756,45169.97037903657,45172.0,45169.97037903656,45379,45169.97037903656,45260
hh_inc_30,37545,41458.62648050775,41471.93617339732,41474.0,41471.93617339733,41378,41471.93617339733,41396
hh_inc_30_60,35814,39541.38795354069,39546.02653394191,39546.0,39546.02653394192,39546,39546.02653394192,39560
hh_inc_60_100,25333,27963.04092552331,27963.052695015384,27962.0,27963.052695015387,28022,27963.052695015387,28001
hh_inc_100_plus,61437,67798.4906936147,67780.56563153569,67782.0,67780.56563153569,67818,67780.56563153569,67807
hh_wrks_0,41981,46887.736347521495,47354.08954117034,47354.0,47354.08954117034,47285,47354.08954117034,47240
hh_wrks_1,57849,64804.922300981234,64881.30506516131,64883.0,64881.305065161316,64854,64881.305065161316,64941
hh_wrks_2,44971,49742.40484010034,49240.366021812944,49241.0,49240.36602181295,49263,49240.36602181295,49236
hh_wrks_3_plus,15331,15326.482564583412,15285.820405745731,15286.0,15285.82040574573,15362,15285.820405745731,15347
pers_age_00_19,109365,109401.57851105393,109404.2113008435,109403.0,109404.2113008435,109826,109404.2113008435,109674
pers_age_20_34,89571,92795.15999629031,92466.49160291746,92468.0,92466.49160291746,92674,92466.49160291746,92598
pers_age_35_64,170615,177273.2824772788,176866.10215773774,176869.0,176866.1021577377,177200,176866.1021577377,177157
pers_age_65_plus,75443,78376.48889246173,78476.22890595686,78482.0,78476.22890595684,78426,78476.22890595684,78477
hh_kids_yes,51523,56801.387603851705,56780.69906274516,56780.0,56780.699062745174,56929,56780.699062745174,56835
hh_kids_no,108608,119960.15844933476,119980.88197114517,119984.0,119980.88197114517,119835,119980.88197114517,119929
pers_occ_management,19988,33888.383733538045,21413.68586526305,21413.0,21413.68586526305,21482,21413.68586526305,21499
pers_occ_professional,44939,51408.39476464197,47778.185835826735,47780.0,47778.185835826735,47822,47778.185835826735,47880
pers_occ_services,57409,38657.07006497429,59386.808045096484,59390.0,59386.808045096484,59474,59386.808045096484,59478
pers_occ_retail,30195,41982.72548012987,31495.76437537448,31494.0,31495.764375374478,31566,31495.764375374478,31585
pers_occ_manual_military,61182,50325.276148110876,63324.60335860862,63326.0,63324.60335860861,63444,63324.60335860861,63387
