Comparing: C:\GitHub\populationsim\bay_area\example_2015_outputs\hh_persons_model\persons.csv vs C:\GitHub\populationsim\bay_area\output_2023\populationsim_working_dir\output\persons_2023_tm2.csv

Column presence:
  AGEP: Both
  EMPLOYED: Both
  ESR: Both
  HHID: Both
  OCCP: Both
  PERID: Both
  SCHG: Both
  SCHL: Both
  SEX: Both
  WKHP: Both
  WKW: Both
  hhgqtype: Only in new
  person_type: Only in new

=== AGEP ===
  Value           Old      New      Diff     %Diff
  0                  99798    72976   -26822   -26.88
  1                 100389    74015   -26374   -26.27
  10                 70487    92144    21657    30.72
  11                 61986    82183    20197    32.58
  12                 79542    94396    14854    18.67
  13                 63669    86038    22369    35.13
  14                 68795    96672    27877    40.52
  15                 78201    92477    14276    18.26
  16                 62452    93730    31278    50.08
  17                 76199    91088    14889    19.54
  18                164782    84638   -80144   -48.64
  19                150235    77616   -72619   -48.34
  2                 106000    72075   -33925   -32.00
  20                124661    81404   -43257   -34.70
  21                121146    76160   -44986   -37.13
  22                104633    80040   -24593   -23.50
  23                 75644    82149     6505     8.60
  24                 85522    86754     1232     1.44
  25                 81783    99836    18053    22.07
  26                 79556   102012    22456    28.23
  27                 80883   106184    25301    31.28
  28                 69951   117378    47427    67.80
  29                 90500   119260    28760    31.78
  3                  91397    79279   -12118   -13.26
  30                112956   133683    20727    18.35
  31                115067   130416    15349    13.34
  32                118670   127598     8928     7.52
  33                156659   124991   -31668   -20.21
  34                187675   115866   -71809   -38.26
  35                199245   128292   -70953   -35.61
  36                130801   116673   -14128   -10.80
  37                126717   126214     -503    -0.40
  38                106783   125112    18329    17.16
  39                 97609   127116    29507    30.23
  4                  92819    75533   -17286   -18.62
  40                107211   129174    21963    20.49
  41                 87876   102141    14265    16.23
  42                 85480   111667    26187    30.64
  43                 93183   104270    11087    11.90
  44                 80712   108812    28100    34.82
  45                 83186   103110    19924    23.95
  46                 91971   102994    11023    11.99
  47                 96099   101011     4912     5.11
  48                104344    99594    -4750    -4.55
  49                102108    99125    -2983    -2.92
  5                  91683    87681    -4002    -4.37
  50                110227   114256     4029     3.66
  51                 95003    97388     2385     2.51
  52                103618    99955    -3663    -3.54
  53                 92131    89607    -2524    -2.74
  54                102178    98965    -3213    -3.14
  55                105082   101474    -3608    -3.43
  56                 86513   101459    14946    17.28
  57                 88432    93348     4916     5.56
  58                 78582    99204    20622    26.24
  59                 80460    98162    17702    22.00
  6                  85346    81341    -4005    -4.69
  60                105617    93519   -12098   -11.45
  61                 95772    86214    -9558    -9.98
  62                 94417    79335   -15082   -15.97
  63                100936    83733   -17203   -17.04
  64                105608    81851   -23757   -22.50
  65                 99594    86597   -12997   -13.05
  66                 90580    83882    -6698    -7.39
  67                 71939    76442     4503     6.26
  68                 72874    80097     7223     9.91
  69                 61079    73561    12482    20.44
  7                  74681    87517    12836    17.19
  70                 58335    73618    15283    26.20
  71                 46257    73417    27160    58.72
  72                 42701    65118    22417    52.50
  73                 41144    59722    18578    45.15
  74                 33168    61051    27883    84.07
  75                 36732    52183    15451    42.06
  76                 32412    43560    11148    34.39
  77                 31113    42044    10931    35.13
  78                 34640    37073     2433     7.02
  79                 29587    35602     6015    20.33
  8                  76940    89887    12947    16.83
  80                 33535    32493    -1042    -3.11
  81                 22757    31591     8834    38.82
  82                 30725    28056    -2669    -8.69
  83                 23522    26637     3115    13.24
  84                 23313    22367     -946    -4.06
  85                 22760    24388     1628     7.15
  86                 15695    20384     4689    29.88
  87                 15976    19427     3451    21.60
  88                 12000    18391     6391    53.26
  89                 10360    15520     5160    49.81
  9                  75596    87519    11923    15.77
  90                     0    14444    14444      nan
  92                  7494        0    -7494  -100.00
  93                 28349        0   -28349  -100.00
  94                     0    59000    59000      nan

=== EMPLOYED ===
  Value           Old      New      Diff     %Diff
  0                3988788  3673517  -315271    -7.90
  1                3454057  3969459   515402    14.92

=== ESR ===
  Value           Old      New      Diff     %Diff
  0                1317329  1351733    34404     2.61
  1                3325711  3807318   481607    14.48
  2                 116004   150329    34325    29.59
