COUNTY,county_name,occupation_management,occupation_manual,occupation_military,occupation_professional,occupation_retail,occupation_services
4,Alameda,87673,213447,5848,227578,132075,240659
5,Contra Costa,69590,132239,3337,140852,101052,155237
9,Marin,24820,25027,650,49684,31878,41223
7,Napa,8832,25670,446,16165,15546,17857
1,San Francisco,63848,87204,2706,141665,95469,145514
2,San Mateo,56027,94052,1504,111154,71254,119234
3,Santa Clara,130321,247572,4545,333609,154084,235553
6,Solano,19502,72534,3333,46901,41363,71701
8,Sonoma,27660,79887,952,60599,49461,80938
