MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
116520,53,10,15,10,18,123,89,60,62,75,15,212,7300,961,100368,2304,81,2,San Mateo
117812,12,2,3,2,5,28,20,14,14,17,3,48,7918,961,100368,2304,81,2,San Mateo
114960,0,0,0,0,0,0,0,0,0,0,0,0,6546,961,100368,2304,81,2,San Mateo
114961,0,0,0,0,0,0,0,0,0,0,0,0,6547,961,100368,2304,81,2,San Mateo
118692,1,1,0,0,0,2,2,2,1,1,0,4,8332,961,100368,2304,81,2,San Mateo
116241,0,0,0,0,0,0,0,0,0,0,0,0,7165,961,100368,2304,81,2,San Mateo
112238,3,0,1,1,1,7,5,3,4,4,1,12,5221,961,100368,2304,81,2,San Mateo
115301,5,1,1,1,2,12,8,6,6,7,1,20,6720,961,100368,2304,81,2,San Mateo
112108,0,0,0,0,0,0,0,0,0,0,0,0,5168,961,100368,2304,81,2,San Mateo
114023,2,0,1,0,1,5,3,2,2,3,1,8,6091,961,100368,2304,81,2,San Mateo
118693,1,1,0,0,0,2,2,2,1,1,0,4,8333,961,100368,2304,81,2,San Mateo
111412,3,1,1,0,1,4,4,2,1,4,1,8,4851,860,100254,2304,81,2,San Mateo
110615,10,3,3,2,2,13,12,6,4,13,2,25,4452,860,100254,2304,81,2,San Mateo
111556,0,0,0,0,0,0,0,0,0,0,0,0,4917,860,100254,2304,81,2,San Mateo
116247,8,2,3,1,2,10,11,6,3,9,3,21,7166,985,100394,2304,81,2,San Mateo
112652,64,17,22,9,16,84,87,44,26,81,20,171,5416,985,100394,2304,81,2,San Mateo
113307,17,4,7,2,4,22,23,12,7,21,5,45,5737,1005,100423,2304,81,2,San Mateo
112697,0,0,0,0,0,0,0,0,0,0,0,0,5443,1005,100423,2304,81,2,San Mateo
117540,0,0,0,0,0,0,0,0,0,0,0,0,7784,1005,100423,2304,81,2,San Mateo
118862,1,1,0,0,0,2,1,2,0,1,0,3,8411,1005,100423,2304,81,2,San Mateo
116037,83,22,30,11,20,109,113,58,34,104,26,222,7068,1005,100423,2304,81,2,San Mateo
113313,209,55,74,29,51,274,285,145,86,262,66,559,5740,1005,100423,2304,81,2,San Mateo
114582,53,14,19,7,13,69,73,37,22,66,17,142,6365,1005,100423,2304,81,2,San Mateo
118865,49,13,17,7,12,64,67,34,20,62,15,131,8413,1005,100423,2304,81,2,San Mateo
116962,28,7,10,4,7,37,38,19,12,35,9,75,7502,1005,100423,2304,81,2,San Mateo
112752,107,28,38,15,26,140,146,74,44,134,34,286,5472,1005,100423,2304,81,2,San Mateo
113318,293,77,105,40,71,384,399,203,121,367,92,783,5741,1005,100423,2304,81,2,San Mateo
114578,0,0,0,0,0,0,0,0,0,0,0,0,6362,858,100251,2304,81,2,San Mateo
110465,113,30,40,15,28,148,154,78,47,141,36,302,4374,985,100394,2304,81,2,San Mateo
118150,142,37,51,19,35,186,194,98,59,178,45,380,8077,1005,100423,2304,81,2,San Mateo
111758,8,2,3,1,2,10,11,6,3,9,3,21,5011,1005,100423,2304,81,2,San Mateo
110462,79,21,28,11,19,104,107,55,33,98,25,211,4371,1005,100423,2304,81,2,San Mateo
112649,43,11,16,6,10,56,59,30,18,53,14,115,5415,1005,100423,2304,81,2,San Mateo
116970,29,8,10,4,7,38,40,20,12,37,9,78,7504,1005,100423,2304,81,2,San Mateo
117656,71,19,25,10,17,93,97,49,29,90,22,190,7839,1005,100423,2304,81,2,San Mateo
116323,106,18,36,19,33,175,163,96,80,142,20,338,7204,1013,100434,2304,81,2,San Mateo
113866,295,51,99,53,92,487,453,266,222,397,55,940,6008,1013,100434,2304,81,2,San Mateo
117952,32,5,11,6,10,53,49,29,24,43,6,102,7984,1013,100434,2304,81,2,San Mateo
113310,47,8,16,8,15,78,72,42,35,64,9,150,5739,1013,100434,2304,81,2,San Mateo
112851,31,5,10,6,10,51,48,28,23,42,6,99,5506,1013,100434,2304,81,2,San Mateo
116969,30,5,11,5,9,50,46,27,23,40,6,96,7503,1013,100434,2304,81,2,San Mateo
117661,70,12,23,13,22,116,107,63,53,94,13,223,7842,1013,100434,2304,81,2,San Mateo
116035,44,12,15,6,11,58,60,31,18,55,14,118,7066,1005,100423,2304,81,2,San Mateo
111752,73,19,26,10,18,96,99,51,30,91,23,195,5010,1005,100423,2304,81,2,San Mateo
112506,10,3,4,1,2,13,14,7,4,13,3,27,5351,1005,100423,2304,81,2,San Mateo
112646,75,20,27,10,18,98,102,52,31,93,24,200,5414,1005,100423,2304,81,2,San Mateo
117954,40,11,14,5,10,52,55,28,16,50,13,107,7985,1005,100423,2304,81,2,San Mateo
117657,21,6,7,3,5,28,28,15,9,25,7,56,7840,1005,100423,2304,81,2,San Mateo
113607,67,18,24,9,16,88,91,46,28,84,21,179,5889,858,100251,2304,81,2,San Mateo
114576,33,9,11,5,8,43,45,23,14,41,10,88,6361,858,100251,2304,81,2,San Mateo
110460,131,34,47,18,32,172,178,91,54,164,41,350,4370,858,100251,2304,81,2,San Mateo
116032,32,8,12,4,8,42,44,22,13,41,10,86,7065,858,100251,2304,81,2,San Mateo
117752,7,2,2,1,2,9,10,5,3,9,2,19,7890,858,100251,2304,81,2,San Mateo
110464,8,2,3,1,2,10,11,6,3,9,3,21,4373,858,100251,2304,81,2,San Mateo
116188,36,9,13,5,9,47,49,25,15,45,11,96,7136,1005,100423,2304,81,2,San Mateo
112691,19,5,6,3,5,25,26,13,8,24,6,51,5440,1005,100423,2304,81,2,San Mateo
116180,3,0,1,1,1,5,5,3,2,4,1,10,7135,1013,100434,2304,81,2,San Mateo
118624,6,1,2,1,2,10,9,5,5,8,1,19,8304,1013,100434,2304,81,2,San Mateo
115843,7,1,3,1,2,11,11,6,5,10,1,22,6975,1013,100434,2304,81,2,San Mateo
112161,3,0,1,1,1,5,5,3,2,4,1,10,5189,1013,100434,2304,81,2,San Mateo
117817,13,2,5,2,4,21,20,12,10,17,2,41,7919,1013,100434,2304,81,2,San Mateo
112655,46,12,17,6,11,60,63,32,19,58,14,123,5417,858,100251,2304,81,2,San Mateo
111751,19,5,6,3,5,25,26,13,8,24,6,51,5009,858,100251,2304,81,2,San Mateo
110463,14,4,5,2,3,18,19,10,6,17,4,37,4372,858,100251,2304,81,2,San Mateo
111760,6,2,2,1,1,8,8,4,2,8,2,16,5012,858,100251,2304,81,2,San Mateo
114574,11,3,3,2,3,14,15,8,5,13,3,29,6360,858,100251,2304,81,2,San Mateo
114579,1,1,0,0,0,2,1,2,0,1,0,3,6363,858,100251,2304,81,2,San Mateo
111750,0,0,0,0,0,0,0,0,0,0,0,0,5008,952,100353,2304,81,2,San Mateo
116031,12,3,4,2,3,16,16,8,5,15,4,32,7064,858,100251,2304,81,2,San Mateo
115844,49,13,17,7,12,64,67,34,20,62,15,131,6976,985,100394,2304,81,2,San Mateo
112386,122,32,43,17,30,160,166,85,50,153,38,326,5293,858,100251,2304,81,2,San Mateo
117955,19,5,6,3,5,25,26,13,8,24,6,51,7986,858,100251,2304,81,2,San Mateo
114719,18,5,7,2,4,24,24,12,7,23,6,48,6431,858,100251,2304,81,2,San Mateo
114580,9,2,4,1,2,12,12,6,4,11,3,24,6364,858,100251,2304,81,2,San Mateo
113609,19,5,6,3,5,25,26,13,8,24,6,51,5890,858,100251,2304,81,2,San Mateo
117076,3,1,1,0,1,4,4,2,1,4,1,8,7562,858,100251,2304,81,2,San Mateo
117669,0,0,0,0,0,0,0,0,0,0,0,0,7844,952,100353,2304,81,2,San Mateo
117616,55,14,20,8,13,72,75,38,23,69,17,147,7817,858,100251,2304,81,2,San Mateo
117807,90,24,32,12,22,118,123,62,37,114,28,241,7916,858,100251,2304,81,2,San Mateo
119223,410,55,145,64,146,1148,653,421,478,797,105,1801,8590,952,100353,2304,81,2,San Mateo
116824,37,6,14,7,10,50,49,27,13,52,7,99,7438,964,100371,2304,81,2,San Mateo
112321,204,35,40,34,95,394,361,288,163,274,30,755,5260,833,100223,2304,81,2,San Mateo
112832,72,12,27,14,19,96,96,52,26,101,13,192,5502,964,100371,2304,81,2,San Mateo
114313,20,3,4,3,10,39,35,28,16,27,3,74,6226,833,100223,2304,81,2,San Mateo
111599,8,1,3,2,2,10,11,6,3,11,1,21,4937,964,100371,2304,81,2,San Mateo
117171,6,1,1,1,3,11,11,8,5,8,1,22,7606,833,100223,2304,81,2,San Mateo
115631,4,1,1,1,1,8,7,6,3,5,1,15,6867,833,100223,2304,81,2,San Mateo
119002,1,1,0,0,0,2,2,2,1,1,0,4,8492,833,100223,2304,81,2,San Mateo
111602,40,6,14,8,12,57,57,32,14,60,8,114,4938,960,100365,2304,81,2,San Mateo
118994,7,1,3,1,2,10,9,5,2,11,1,19,8490,964,100371,2304,81,2,San Mateo
115303,124,20,47,23,34,166,165,90,44,174,23,331,6722,964,100371,2304,81,2,San Mateo
113306,45,7,18,8,12,60,60,33,16,63,8,120,5736,964,100371,2304,81,2,San Mateo
114773,29,6,9,6,8,42,43,21,11,45,8,85,6460,962,100369,2304,81,2,San Mateo
113755,36,7,12,7,10,53,53,26,14,56,10,106,5962,962,100369,2304,81,2,San Mateo
116592,77,15,26,16,20,112,114,55,30,119,22,226,7327,962,100369,2304,81,2,San Mateo
112319,11,2,4,2,3,16,16,8,4,17,3,32,5258,962,100369,2304,81,2,San Mateo
117165,3,0,1,1,1,5,4,2,1,5,1,9,7605,962,100369,2304,81,2,San Mateo
112320,8,1,3,2,2,10,11,6,3,11,1,21,5259,964,100371,2304,81,2,San Mateo
111598,47,9,16,10,12,69,69,34,19,72,13,138,4936,962,100369,2304,81,2,San Mateo
112314,14,3,4,3,4,20,21,10,6,21,4,41,5256,962,100369,2304,81,2,San Mateo
112375,158,30,54,32,42,231,234,114,62,244,45,465,5289,962,100369,2304,81,2,San Mateo
118085,2,0,1,0,1,2,3,1,1,3,0,5,8053,964,100371,2304,81,2,San Mateo
118155,25,4,9,5,7,34,35,19,9,37,4,69,8079,856,100249,2304,81,2,San Mateo
115617,13,2,4,3,4,18,18,10,4,20,2,36,6865,856,100249,2304,81,2,San Mateo
113752,20,3,7,4,6,27,28,15,7,30,3,55,5960,856,100249,2304,81,2,San Mateo
115242,20,3,7,4,6,27,28,15,7,30,3,55,6689,856,100249,2304,81,2,San Mateo
113753,38,6,13,8,11,51,54,29,13,57,6,105,5961,856,100249,2304,81,2,San Mateo
111977,14,2,5,3,4,19,20,11,5,21,2,39,5121,856,100249,2304,81,2,San Mateo
115245,276,43,97,59,77,373,391,212,95,411,46,764,6691,856,100249,2304,81,2,San Mateo
111053,20,3,7,4,6,27,28,15,7,30,3,55,4672,856,100249,2304,81,2,San Mateo
115244,85,13,30,18,24,115,120,65,29,127,14,235,6690,856,100249,2304,81,2,San Mateo
118489,79,12,28,17,22,107,112,61,27,118,13,219,8241,856,100249,2304,81,2,San Mateo
113760,36,6,12,8,10,49,51,28,12,54,6,100,5963,856,100249,2304,81,2,San Mateo
111054,67,10,24,14,19,90,96,52,23,100,11,186,4673,856,100249,2304,81,2,San Mateo
113763,34,5,13,7,9,46,48,26,12,50,6,94,5965,856,100249,2304,81,2,San Mateo
111974,40,6,14,9,11,54,57,31,14,59,7,111,5120,856,100249,2304,81,2,San Mateo
115248,109,21,37,22,29,159,162,78,43,169,31,321,6692,962,100369,2304,81,2,San Mateo
110764,1,1,0,0,0,2,1,1,0,2,0,3,4539,962,100369,2304,81,2,San Mateo
114307,50,8,17,11,14,67,71,38,17,75,8,138,6225,856,100249,2304,81,2,San Mateo
118088,43,7,15,9,12,58,61,33,15,64,7,119,8054,856,100249,2304,81,2,San Mateo
112693,0,0,0,0,0,0,0,0,0,0,0,0,5441,856,100249,2304,81,2,San Mateo
115481,48,7,18,10,13,65,68,37,17,71,8,133,6798,856,100249,2304,81,2,San Mateo
111973,0,0,0,0,0,0,0,0,0,0,0,0,5119,856,100249,2304,81,2,San Mateo
115684,0,0,0,0,0,0,0,0,0,0,0,0,6897,856,100249,2304,81,2,San Mateo
117489,37,7,12,7,11,49,53,29,17,45,11,102,7759,650,100017,2301,81,2,San Mateo
115435,36,6,13,7,10,47,52,28,17,43,11,99,6782,650,100017,2301,81,2,San Mateo
111486,133,23,46,26,38,174,192,105,61,160,40,366,4889,650,100017,2301,81,2,San Mateo
111490,201,36,69,39,57,264,290,159,92,243,60,554,4891,650,100017,2301,81,2,San Mateo
110919,96,28,35,18,15,102,90,37,35,95,25,192,4611,649,100016,2301,81,2,San Mateo
119181,43,13,15,8,7,46,40,16,16,43,11,86,8570,649,100016,2301,81,2,San Mateo
111914,1,1,0,0,0,1,2,1,0,1,1,3,5088,1001,100419,2301,81,2,San Mateo
114106,141,41,52,26,22,150,132,54,52,140,36,282,6138,649,100016,2301,81,2,San Mateo
117908,62,18,22,12,10,66,58,24,23,61,16,124,7963,649,100016,2301,81,2,San Mateo
112261,0,0,0,0,0,0,0,0,0,0,0,0,5236,649,100016,2301,81,2,San Mateo
118697,114,23,33,21,37,168,181,95,46,144,64,349,8334,1001,100419,2301,81,2,San Mateo
116112,2,1,1,0,0,2,2,1,1,1,1,4,7103,649,100016,2301,81,2,San Mateo
114522,32,7,9,6,10,47,51,27,13,40,18,98,6328,1001,100419,2301,81,2,San Mateo
117074,27,6,8,5,8,40,43,23,11,34,15,83,7561,1001,100419,2301,81,2,San Mateo
117901,56,10,18,13,15,87,84,45,31,77,18,171,7957,1002,100420,2301,81,2,San Mateo
115418,110,20,35,25,30,170,165,88,61,151,35,335,6773,1002,100420,2301,81,2,San Mateo
114528,28,5,9,6,8,43,42,22,16,38,9,85,6333,1002,100420,2301,81,2,San Mateo
114908,35,6,11,8,10,55,52,28,19,49,11,107,6515,1002,100420,2301,81,2,San Mateo
114524,72,15,21,14,22,106,114,60,29,91,40,220,6330,1001,100419,2301,81,2,San Mateo
118822,22,2,6,4,10,35,35,24,12,28,6,70,8396,1000,100418,2301,81,2,San Mateo
119183,24,4,7,6,7,37,36,19,13,33,8,73,8572,1002,100420,2301,81,2,San Mateo
114527,121,21,39,28,33,188,181,97,67,167,38,369,6332,1002,100420,2301,81,2,San Mateo
118826,26,3,7,5,11,42,41,28,14,34,7,83,8400,1000,100418,2301,81,2,San Mateo
117634,55,6,15,11,23,88,87,59,30,71,15,175,7824,1000,100418,2301,81,2,San Mateo
118825,22,2,6,4,10,35,35,24,12,28,6,70,8399,1000,100418,2301,81,2,San Mateo
119182,38,4,10,8,16,61,60,41,20,49,11,121,8571,1000,100418,2301,81,2,San Mateo
112992,79,9,22,16,32,125,126,85,42,102,22,251,5580,1000,100418,2301,81,2,San Mateo
112991,29,3,8,6,12,46,46,31,16,37,8,92,5579,1000,100418,2301,81,2,San Mateo
114523,85,9,23,17,36,135,135,91,46,109,24,270,6329,1000,100418,2301,81,2,San Mateo
117109,119,29,37,20,33,156,160,86,42,142,46,316,7581,1003,100421,2301,81,2,San Mateo
112456,162,29,55,32,46,212,234,128,74,196,48,446,5324,650,100017,2301,81,2,San Mateo
114526,36,6,12,8,10,56,54,29,20,50,11,110,6331,1002,100420,2301,81,2,San Mateo
117487,45,8,15,10,12,70,67,36,25,62,14,137,7757,1002,100420,2301,81,2,San Mateo
117911,169,25,56,34,54,244,244,139,67,225,57,488,7964,1004,100422,2301,81,2,San Mateo
115434,39,10,12,6,11,51,53,28,14,47,15,104,6781,1003,100421,2301,81,2,San Mateo
116911,59,15,17,10,17,77,80,43,21,70,23,157,7474,1003,100421,2301,81,2,San Mateo
117652,43,11,13,7,12,56,58,31,15,51,17,114,7838,1003,100421,2301,81,2,San Mateo
111581,159,39,49,26,45,208,214,115,56,190,61,422,4928,1003,100421,2301,81,2,San Mateo
115055,31,8,9,5,9,41,41,22,11,37,12,82,6603,1003,100421,2301,81,2,San Mateo
118439,26,6,9,4,7,34,35,19,9,31,10,69,8216,1003,100421,2301,81,2,San Mateo
117488,30,4,10,6,10,44,43,25,12,40,10,87,7758,1004,100422,2301,81,2,San Mateo
114521,4,1,1,1,1,4,4,2,1,4,1,8,6327,649,100016,2301,81,2,San Mateo
117636,15,4,6,3,2,16,14,6,6,14,4,30,7825,649,100016,2301,81,2,San Mateo
119084,1,1,0,0,0,2,1,2,0,1,0,3,8534,647,100014,2301,81,2,San Mateo
111354,85,17,35,16,17,105,109,48,35,104,27,214,4822,647,100014,2301,81,2,San Mateo
118349,0,0,0,0,0,0,0,0,0,0,0,0,8173,833,100223,2304,81,2,San Mateo
110610,13,3,5,2,3,18,17,9,6,18,2,35,4450,833,100223,2304,81,2,San Mateo
115781,40,6,14,8,12,57,57,32,14,60,8,114,6943,960,100365,2304,81,2,San Mateo
112839,5,1,2,1,1,7,6,3,2,7,1,13,5503,833,100223,2304,81,2,San Mateo
112840,35,9,12,6,8,48,45,24,16,48,5,93,5504,833,100223,2304,81,2,San Mateo
119003,13,3,5,2,3,18,17,9,6,18,2,35,8493,833,100223,2304,81,2,San Mateo
119001,79,12,27,16,24,112,114,63,28,120,15,226,8491,960,100365,2304,81,2,San Mateo
111608,63,16,22,11,14,86,81,44,28,86,9,167,4939,833,100223,2304,81,2,San Mateo
112381,36,5,13,7,11,51,52,29,13,54,7,103,5291,960,100365,2304,81,2,San Mateo
119005,26,6,9,5,6,36,33,18,12,35,4,69,8494,833,100223,2304,81,2,San Mateo
118096,25,6,8,5,6,34,32,17,11,35,3,66,8055,833,100223,2304,81,2,San Mateo
111609,47,12,15,9,11,65,60,33,21,65,6,125,4940,833,100223,2304,81,2,San Mateo
112159,9,1,3,2,3,13,13,7,3,14,2,26,5188,960,100365,2304,81,2,San Mateo
112843,28,4,10,6,8,40,40,22,10,43,5,80,5505,960,100365,2304,81,2,San Mateo
117947,212,52,73,39,48,291,272,148,96,290,29,563,7982,833,100223,2304,81,2,San Mateo
118100,30,5,11,6,8,39,39,21,9,42,6,78,8056,833,100223,2304,81,2,San Mateo
117175,60,10,22,11,17,78,78,43,18,83,12,156,7608,833,100223,2304,81,2,San Mateo
117173,43,7,14,9,13,61,62,34,15,66,8,123,7607,960,100365,2304,81,2,San Mateo
118732,10,2,4,2,2,14,13,7,5,14,1,27,8351,833,100223,2304,81,2,San Mateo
111746,58,14,20,11,13,80,74,41,26,79,8,154,5007,833,100223,2304,81,2,San Mateo
118728,30,5,11,6,8,39,39,21,9,42,6,78,8350,833,100223,2304,81,2,San Mateo
116026,13,2,5,2,4,17,17,9,4,18,3,34,7063,833,100223,2304,81,2,San Mateo
111740,17,3,6,3,5,22,22,12,5,24,3,44,5005,833,100223,2304,81,2,San Mateo
116825,30,5,11,6,8,39,39,21,9,42,6,78,7439,833,100223,2304,81,2,San Mateo
115306,111,15,44,27,25,147,149,75,44,150,27,296,6723,833,100223,2304,81,2,San Mateo
114571,28,4,11,5,8,36,37,20,9,38,6,73,6359,833,100223,2304,81,2,San Mateo
115164,7,1,3,1,2,9,9,5,2,10,1,18,6659,833,100223,2304,81,2,San Mateo
115786,66,10,26,12,18,86,86,47,20,92,13,172,6944,833,100223,2304,81,2,San Mateo
118184,34,5,14,6,9,44,45,24,10,48,7,89,8096,833,100223,2304,81,2,San Mateo
117948,77,12,30,14,21,100,101,55,24,106,16,201,7983,833,100223,2304,81,2,San Mateo
114570,45,7,16,9,13,64,64,36,16,67,9,128,6358,960,100365,2304,81,2,San Mateo
110831,344,52,118,71,103,489,493,275,120,520,67,982,4570,960,100365,2304,81,2,San Mateo
111741,56,11,19,11,15,82,83,40,22,87,16,165,5006,962,100369,2304,81,2,San Mateo
110983,1,1,0,0,0,2,1,1,0,2,0,3,4647,960,100365,2304,81,2,San Mateo
117809,76,10,30,19,17,100,103,52,30,103,18,203,7917,833,100223,2304,81,2,San Mateo
113037,11,2,4,2,3,15,16,9,4,16,2,31,5599,833,100223,2304,81,2,San Mateo
113308,11,1,4,3,3,14,15,7,4,15,3,29,5738,833,100223,2304,81,2,San Mateo
112643,245,33,87,38,87,686,390,251,286,476,63,1076,5413,952,100353,2304,81,2,San Mateo
116516,227,36,86,42,63,295,297,161,70,315,46,592,7299,833,100223,2304,81,2,San Mateo
117618,12,2,4,2,4,34,19,12,14,24,3,53,7818,952,100353,2304,81,2,San Mateo
118274,0,0,0,0,0,0,0,0,0,0,0,0,8137,650,100017,2301,81,2,San Mateo
110550,101,18,34,20,29,132,146,80,46,122,30,278,4413,650,100017,2301,81,2,San Mateo
113556,23,4,8,4,7,30,33,18,11,27,7,63,5867,650,100017,2301,81,2,San Mateo
118169,41,7,14,8,12,54,59,32,19,50,12,113,8087,650,100017,2301,81,2,San Mateo
118441,26,5,9,5,7,34,38,21,12,31,8,72,8217,650,100017,2301,81,2,San Mateo
113555,150,22,50,30,48,217,216,123,59,201,50,433,5866,1004,100422,2301,81,2,San Mateo
118437,218,33,72,44,69,315,314,179,86,291,73,629,8215,1004,100422,2301,81,2,San Mateo
114507,55,10,18,11,16,72,80,44,25,67,16,152,6320,650,100017,2301,81,2,San Mateo
114366,126,19,42,25,40,182,182,104,50,168,42,364,6253,1004,100422,2301,81,2,San Mateo
118168,105,30,30,19,26,123,141,60,33,123,48,264,8086,650,100017,2301,81,2,San Mateo
112977,231,68,66,41,56,271,310,133,73,268,107,581,5571,889,100285,2301,81,2,San Mateo
113864,0,0,0,0,0,0,0,0,0,0,0,0,6007,952,100353,2304,81,2,San Mateo
110549,50,7,17,10,16,72,72,41,20,66,17,144,4412,1004,100422,2301,81,2,San Mateo
111134,37,6,12,7,12,54,53,30,15,50,12,107,4708,1004,100422,2301,81,2,San Mateo
117492,24,4,7,5,8,34,35,20,9,32,8,69,7760,1004,100422,2301,81,2,San Mateo
111148,90,13,30,18,29,130,130,74,36,120,30,260,4714,1004,100422,2301,81,2,San Mateo
114098,268,41,99,55,73,362,377,192,127,371,49,739,6132,891,100287,2301,81,2,San Mateo
111288,225,56,69,37,63,294,304,163,79,270,86,598,4791,1003,100421,2301,81,2,San Mateo
118943,18,3,6,4,5,24,26,13,9,25,3,50,8457,891,100287,2301,81,2,San Mateo
116922,12,2,5,2,3,16,17,9,6,16,2,33,7481,891,100287,2301,81,2,San Mateo
118944,194,46,52,32,64,259,275,138,58,253,85,534,8458,890,100286,2301,81,2,San Mateo
118936,71,17,19,12,23,95,100,51,21,92,31,195,8454,890,100286,2301,81,2,San Mateo
118170,105,25,28,17,35,140,149,75,31,137,46,289,8088,890,100286,2301,81,2,San Mateo
115056,285,44,104,59,78,385,401,205,135,394,52,786,6604,891,100287,2301,81,2,San Mateo
112457,345,52,100,72,121,497,525,270,162,530,60,1022,5325,651,100018,2301,81,2,San Mateo
111299,480,100,159,101,120,611,654,322,192,633,118,1265,4795,999,100417,2301,81,2,San Mateo
115054,33,7,11,7,8,42,45,22,13,44,8,87,6602,999,100417,2301,81,2,San Mateo
118572,32,7,10,7,8,41,43,21,13,42,8,84,8284,999,100417,2301,81,2,San Mateo
115433,136,28,45,29,34,173,185,91,54,180,33,358,6780,999,100417,2301,81,2,San Mateo
114679,8,2,2,2,2,10,11,5,3,11,2,21,6419,999,100417,2301,81,2,San Mateo
118571,39,8,16,7,8,48,50,22,16,48,12,98,8283,647,100014,2301,81,2,San Mateo
110943,63,15,17,10,21,84,89,45,19,81,28,173,4625,890,100286,2301,81,2,San Mateo
116832,72,17,19,12,24,96,102,51,22,93,32,198,7442,890,100286,2301,81,2,San Mateo
117822,26,8,7,5,6,30,35,15,8,30,12,65,7923,889,100285,2301,81,2,San Mateo
116834,65,10,19,13,23,94,99,51,31,100,11,193,7443,651,100018,2301,81,2,San Mateo
116831,63,10,18,13,22,91,96,49,30,97,11,187,7441,651,100018,2301,81,2,San Mateo
117633,38,6,11,8,13,55,58,30,18,58,7,113,7823,651,100018,2301,81,2,San Mateo
111574,33,10,9,6,8,39,44,19,10,39,15,83,4925,889,100285,2301,81,2,San Mateo
116268,46,7,13,10,16,66,70,36,22,70,8,136,7180,651,100018,2301,81,2,San Mateo
110839,0,0,0,0,0,0,0,0,0,0,0,0,4571,952,100353,2304,81,2,San Mateo
111304,94,14,27,19,34,135,143,73,44,145,16,278,4796,651,100018,2301,81,2,San Mateo
111144,18,8,6,2,2,18,19,7,8,17,5,37,4713,871,100266,2302,81,2,San Mateo
111829,0,0,0,0,0,0,0,0,0,0,0,0,5048,952,100353,2304,81,2,San Mateo
113872,31,13,10,4,4,31,33,12,14,30,8,64,6010,871,100266,2302,81,2,San Mateo
113396,113,46,37,15,15,111,121,43,52,107,30,232,5782,871,100266,2302,81,2,San Mateo
111994,23,9,8,3,3,23,24,9,11,21,6,47,5134,871,100266,2302,81,2,San Mateo
112387,88,36,29,11,12,87,94,34,40,83,24,181,5294,871,100266,2302,81,2,San Mateo
114516,51,20,17,7,7,50,55,19,23,49,14,105,6325,871,100266,2302,81,2,San Mateo
111992,99,40,33,13,13,98,106,38,45,94,27,204,5133,871,100266,2302,81,2,San Mateo
112136,39,16,13,5,5,38,42,15,18,36,11,80,5178,871,100266,2302,81,2,San Mateo
118202,27,10,9,4,4,27,29,10,12,27,7,56,8100,871,100266,2302,81,2,San Mateo
118418,133,23,49,23,38,175,189,84,41,152,87,364,8204,676,100045,2303,81,2,San Mateo
118157,279,114,92,36,37,275,299,106,128,265,75,574,8080,871,100266,2302,81,2,San Mateo
115555,143,58,47,19,19,141,153,54,66,135,39,294,6833,871,100266,2302,81,2,San Mateo
118032,232,45,80,46,61,292,329,148,87,259,127,621,8025,654,100021,2302,81,2,San Mateo
110916,393,223,132,21,17,362,263,51,319,238,17,625,4610,654,100021,2302,81,2,San Mateo
118200,39,7,15,7,10,51,53,21,16,44,23,104,8098,1038,100462,2302,81,2,San Mateo
114909,50,10,21,9,10,61,65,28,21,61,16,126,6516,647,100014,2301,81,2,San Mateo
110554,33,7,13,6,7,41,42,18,14,40,11,83,4417,647,100014,2301,81,2,San Mateo
117696,20,8,7,3,2,20,21,8,11,18,4,41,7856,646,100013,2301,81,2,San Mateo
110692,96,34,35,15,12,104,102,44,67,84,11,206,4500,998,100416,2301,81,2,San Mateo
119173,34,13,12,5,4,34,36,13,19,32,6,70,8566,646,100013,2301,81,2,San Mateo
112470,40,16,14,5,5,40,42,15,22,38,7,82,5335,646,100013,2301,81,2,San Mateo
110551,46,16,17,7,6,50,49,21,32,41,5,99,4414,998,100416,2301,81,2,San Mateo
117348,111,39,41,18,13,120,118,51,78,96,13,238,7684,998,100416,2301,81,2,San Mateo
113971,58,23,20,8,7,59,60,22,32,55,10,119,6067,646,100013,2301,81,2,San Mateo
114529,58,20,22,9,7,63,61,27,41,49,7,124,6334,998,100416,2301,81,2,San Mateo
117471,445,118,147,85,95,553,584,266,181,559,131,1137,7753,975,100384,2301,81,2,San Mateo
110552,18,6,7,3,2,20,19,8,13,16,2,39,4415,998,100416,2301,81,2,San Mateo
112995,19,6,8,2,3,20,21,8,11,19,3,41,5581,975,100384,2301,81,2,San Mateo
113538,6,2,2,1,1,6,7,3,3,6,1,13,5856,975,100384,2301,81,2,San Mateo
117063,66,26,23,9,8,67,69,25,36,63,12,136,7555,646,100013,2301,81,2,San Mateo
114380,40,16,14,5,5,40,42,15,22,38,7,82,6261,646,100013,2301,81,2,San Mateo
116903,39,15,14,5,5,39,41,15,21,37,7,80,7471,646,100013,2301,81,2,San Mateo
117340,27,11,9,4,3,27,29,10,15,26,5,56,7679,646,100013,2301,81,2,San Mateo
116354,14,5,5,2,2,14,15,5,8,14,2,29,7219,646,100013,2301,81,2,San Mateo
116904,18,8,6,2,2,18,19,7,10,17,3,37,7472,646,100013,2301,81,2,San Mateo
118816,48,19,17,6,6,48,51,18,26,47,8,99,8393,646,100013,2301,81,2,San Mateo
