MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
514706,18,5,5,3,5,25,23,15,11,17,5,48,33302,3910,500153,1301,95,6,Solano
516864,66,20,17,12,17,92,85,56,39,65,17,177,33833,3910,500153,1301,95,6,Solano
517470,7,2,2,1,2,9,11,7,5,6,2,20,33955,3909,500152,1301,95,6,Solano
518073,33,7,10,6,10,45,48,32,23,28,10,93,34081,3909,500152,1301,95,6,Solano
516863,59,17,21,9,12,71,71,33,20,62,27,142,33832,4030,500281,1301,95,6,Solano
512430,5,2,1,1,1,7,6,4,3,5,1,13,32718,3910,500153,1301,95,6,Solano
510560,15,5,4,2,4,21,22,14,9,16,4,43,31958,3903,500146,1301,95,6,Solano
510558,31,9,10,5,7,36,41,18,11,33,15,77,31956,3905,500148,1301,95,6,Solano
516923,39,11,13,6,9,45,51,22,14,41,19,96,33849,3905,500148,1301,95,6,Solano
518470,73,18,26,11,18,86,101,53,32,76,26,187,34167,3904,500147,1301,95,6,Solano
510958,16,4,6,2,4,19,20,9,6,17,7,39,32132,3891,500132,1301,95,6,Solano
518314,53,15,20,8,10,63,65,29,18,57,24,128,34135,4030,500281,1301,95,6,Solano
517527,30,8,11,5,6,36,36,17,10,31,14,72,33964,4030,500281,1301,95,6,Solano
510128,29,8,10,5,6,35,35,16,10,31,13,70,31742,4030,500281,1301,95,6,Solano
514279,43,12,16,7,8,51,53,24,15,45,20,104,33190,4030,500281,1301,95,6,Solano
510472,27,8,10,4,5,32,33,15,9,29,12,65,31915,4030,500281,1301,95,6,Solano
510538,41,10,14,7,10,54,54,31,15,43,19,108,31944,3906,500149,1301,95,6,Solano
510474,60,17,22,9,12,72,73,33,20,65,27,145,31916,4030,500281,1301,95,6,Solano
519614,226,63,84,35,44,271,275,125,76,242,103,546,34369,4030,500281,1301,95,6,Solano
