MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
110745,31,12,8,4,7,13,1,3,11,3,4529,672,100041,2303,81,2,San Mateo
110747,33,7,9,7,10,21,1,2,7,2,4530,939,100340,2305,81,2,San Mateo
110748,70,25,19,10,16,28,3,8,25,6,4531,672,100041,2303,81,2,San Mateo
110749,48,9,9,7,23,25,5,7,9,2,4532,715,100091,2303,81,2,San Mateo
110750,55,11,11,8,25,27,6,8,11,3,4533,715,100091,2303,81,2,San Mateo
110751,95,45,27,11,12,29,3,9,45,9,4534,689,100063,2303,81,2,San Mateo
110752,174,82,49,20,23,53,6,16,83,16,4535,689,100063,2303,81,2,San Mateo
110753,29,4,11,5,9,21,1,2,4,1,4536,850,100242,2303,81,2,San Mateo
110754,25,3,9,5,8,18,1,2,3,1,4537,850,100242,2303,81,2,San Mateo
110755,177,117,38,9,13,35,4,8,117,13,4538,716,100092,2303,81,2,San Mateo
110764,0,0,0,0,0,0,0,0,0,0,4539,962,100369,2304,81,2,San Mateo
110768,3,1,1,0,1,2,0,0,1,0,4540,985,100394,2304,81,2,San Mateo
110771,0,0,0,0,0,0,0,0,0,0,4541,952,100353,2304,81,2,San Mateo
110773,112,14,26,18,54,69,7,15,14,7,4542,968,100375,2301,81,2,San Mateo
110774,168,22,39,27,80,101,11,23,22,11,4543,968,100375,2301,81,2,San Mateo
110775,51,7,10,9,25,30,5,6,7,3,4544,967,100374,2301,81,2,San Mateo
110776,27,5,9,5,8,18,1,2,5,1,4545,933,100334,2303,81,2,San Mateo
110777,20,4,6,4,6,12,1,2,4,1,4546,933,100334,2303,81,2,San Mateo
110778,28,4,9,6,9,19,1,3,4,1,4547,970,100379,2303,81,2,San Mateo
110779,28,4,9,6,9,19,1,3,4,1,4548,970,100379,2303,81,2,San Mateo
110781,46,16,12,7,11,24,1,4,15,2,4549,971,100380,2303,81,2,San Mateo
110782,31,10,8,5,8,15,1,3,10,2,4550,971,100380,2303,81,2,San Mateo
110784,42,14,11,7,10,22,1,4,13,2,4551,971,100380,2303,81,2,San Mateo
110786,29,5,11,5,8,19,1,2,5,2,4552,678,100047,2303,81,2,San Mateo
110788,41,5,8,7,21,25,4,5,5,2,4553,967,100374,2301,81,2,San Mateo
110792,33,7,8,7,11,17,3,4,7,2,4554,692,100066,2303,81,2,San Mateo
110794,122,43,40,19,20,49,5,13,44,11,4555,778,100156,2304,81,2,San Mateo
110797,0,0,0,0,0,0,0,0,0,0,4556,828,100218,2304,81,2,San Mateo
110799,0,0,0,0,0,0,0,0,0,0,4557,806,100189,2304,81,2,San Mateo
110800,73,14,24,15,20,40,3,9,14,7,4558,830,100220,2304,81,2,San Mateo
110805,54,12,21,10,11,32,1,4,12,5,4559,736,100113,2305,81,2,San Mateo
110812,0,0,0,0,0,0,0,0,0,0,4560,944,100345,2305,81,2,San Mateo
110813,51,8,18,10,15,34,2,4,8,3,4561,667,100036,2305,81,2,San Mateo
110814,26,4,9,5,8,17,1,2,4,2,4562,667,100036,2305,81,2,San Mateo
110816,61,18,21,11,11,32,2,5,18,4,4563,738,100115,2305,81,2,San Mateo
110817,0,0,0,0,0,0,0,0,0,0,4564,762,100140,2305,81,2,San Mateo
110818,45,14,16,7,8,22,2,3,14,4,4565,762,100140,2305,81,2,San Mateo
110820,40,12,14,7,7,20,1,3,12,4,4566,762,100140,2305,81,2,San Mateo
110821,48,25,15,5,3,12,2,5,24,5,4567,935,100336,2305,81,2,San Mateo
110822,189,99,60,19,11,45,7,19,99,19,4568,935,100336,2305,81,2,San Mateo
110823,34,10,12,6,6,18,1,2,10,3,4569,762,100140,2305,81,2,San Mateo
110831,403,66,163,76,98,263,12,24,66,38,4570,960,100365,2304,81,2,San Mateo
110839,0,0,0,0,0,0,0,0,0,0,4571,952,100353,2304,81,2,San Mateo
110840,27,10,9,3,5,14,1,1,9,2,4572,966,100373,2304,81,2,San Mateo
110841,6,2,2,1,1,4,0,0,2,0,4573,966,100373,2304,81,2,San Mateo
110842,34,10,12,5,7,19,1,3,10,1,4574,973,100382,2303,81,2,San Mateo
110843,64,14,14,11,25,29,6,12,14,3,4575,818,100204,2301,81,2,San Mateo
110849,19,4,4,3,8,8,2,4,4,1,4576,818,100204,2301,81,2,San Mateo
110850,50,8,15,10,17,31,3,5,8,3,4577,1032,100453,2302,81,2,San Mateo
110852,35,4,9,6,16,24,2,4,4,1,4578,843,100235,2302,81,2,San Mateo
110853,141,22,45,27,47,86,7,18,22,8,4579,1036,100459,2302,81,2,San Mateo
110854,48,6,13,8,21,32,3,6,6,1,4580,843,100235,2302,81,2,San Mateo
110855,45,7,14,9,15,28,2,6,7,2,4581,1036,100459,2302,81,2,San Mateo
110856,36,6,11,7,12,21,2,5,6,2,4582,1036,100459,2302,81,2,San Mateo
110858,28,6,9,5,8,15,2,4,6,1,4583,735,100111,2302,81,2,San Mateo
110859,32,6,9,5,12,19,2,4,6,1,4584,1031,100452,2302,81,2,San Mateo
110860,39,7,13,6,13,24,1,5,7,2,4585,820,100207,2302,81,2,San Mateo
110874,71,21,25,11,14,36,2,5,21,7,4586,821,100211,2305,81,2,San Mateo
110876,7,1,1,1,4,3,1,2,1,0,4587,884,100280,2306,81,2,San Mateo
110878,27,4,6,5,12,16,1,4,4,2,4588,801,100184,2303,81,2,San Mateo
110880,29,5,7,5,12,16,2,4,5,2,4589,801,100184,2303,81,2,San Mateo
110881,82,21,25,15,21,40,4,11,21,6,4590,746,100123,2304,81,2,San Mateo
110882,51,9,19,11,12,33,1,5,9,3,4591,746,100123,2304,81,2,San Mateo
110884,36,5,8,7,16,21,3,5,5,2,4592,804,100187,2304,81,2,San Mateo
110886,49,7,11,10,21,31,4,5,7,2,4593,805,100188,2304,81,2,San Mateo
110887,47,7,11,10,19,29,4,5,7,2,4594,805,100188,2304,81,2,San Mateo
110893,62,11,21,12,18,38,2,4,11,7,4595,763,100141,2306,81,2,San Mateo
110894,30,3,3,4,20,15,3,7,3,2,4596,770,100148,2306,81,2,San Mateo
110897,141,32,39,24,46,70,9,18,32,12,4597,691,100065,2303,81,2,San Mateo
110898,25,4,5,4,12,11,3,4,4,3,4598,696,100070,2303,81,2,San Mateo
110899,209,100,62,24,23,68,7,20,100,14,4599,761,100139,2305,81,2,San Mateo
110900,22,10,7,3,2,7,1,2,11,1,4600,761,100139,2305,81,2,San Mateo
110901,79,24,26,11,18,43,2,5,24,5,4601,761,100139,2305,81,2,San Mateo
110902,29,5,9,5,10,19,1,2,5,2,4602,665,100034,2305,81,2,San Mateo
110904,3,1,1,0,1,2,0,0,1,0,4603,895,100291,2306,81,2,San Mateo
110905,46,2,5,6,33,25,6,9,2,4,4604,919,100319,2306,81,2,San Mateo
110906,25,5,7,4,9,13,2,3,5,2,4605,895,100291,2306,81,2,San Mateo
110908,75,9,31,12,23,60,1,4,9,1,4606,636,100003,2306,81,2,San Mateo
110909,59,10,23,10,16,40,2,3,10,4,4607,662,100030,2306,81,2,San Mateo
110912,27,5,10,5,7,17,1,2,5,2,4608,662,100030,2306,81,2,San Mateo
110915,76,14,24,17,21,50,3,4,14,5,4609,992,100405,2305,81,2,San Mateo
110916,423,215,141,37,30,102,22,28,215,56,4610,654,100021,2302,81,2,San Mateo
110919,63,15,27,10,11,33,4,4,15,7,4611,649,100016,2301,81,2,San Mateo
110922,171,19,39,34,79,107,9,27,19,9,4612,878,100274,2301,81,2,San Mateo
110924,28,4,7,5,12,16,2,4,4,2,4613,965,100372,2302,81,2,San Mateo
110928,99,26,33,13,27,51,4,9,26,9,4614,680,100049,2303,81,2,San Mateo
110930,22,9,6,3,4,7,1,3,9,2,4615,757,100135,2303,81,2,San Mateo
110931,26,10,7,4,5,9,1,3,10,3,4616,757,100135,2303,81,2,San Mateo
110932,63,19,17,12,15,32,2,6,19,4,4617,756,100134,2303,81,2,San Mateo
110933,96,54,30,8,4,25,2,5,55,9,4618,781,100162,2303,81,2,San Mateo
110934,26,8,7,5,6,13,1,2,8,2,4619,756,100134,2303,81,2,San Mateo
110937,63,16,19,12,16,32,3,8,16,4,4620,758,100136,2303,81,2,San Mateo
110938,27,12,7,3,5,10,1,2,12,2,4621,754,100132,2303,81,2,San Mateo
110939,22,6,7,4,5,10,1,3,6,2,4622,755,100133,2303,81,2,San Mateo
110940,53,22,14,7,10,19,2,5,22,5,4623,754,100132,2303,81,2,San Mateo
110941,25,7,8,5,5,12,1,3,7,2,4624,755,100133,2303,81,2,San Mateo
