COUNTY,county_name,occupation_management,occupation_manual,occupation_military,occupation_professional,occupation_retail,occupation_services
4,Alameda,83869,204187,5594,217705,126345,230218
5,Contra Costa,64393,122363,3088,130333,93505,143643
9,Marin,22073,22257,578,44186,28350,36661
7,Napa,7525,21872,380,13773,13246,15215
1,San Francisco,61598,84131,2611,136672,92104,140386
2,San Mateo,54107,90830,1452,107346,68813,115149
3,Santa Clara,121432,230686,4235,310855,143575,219487
6,Solano,17309,64379,2958,41628,36713,63640
8,Sonoma,25389,73327,874,55623,45399,74292
