TAZ,WI_KIDS,WO_KIDS,WORKERS0,WORKERS1,WORKERS2,WORKERS3,INC00_30,INC30_60,INC60_100,INC100p,Age_00_19,Age_20_34,Age_35_64,Age_65_up,taz,PUMA,COUNTYFP,mtc_county_id,county_name
513,71,1562,535,773,316,9,395,393,452,393,122,769,1003,571,503,2201,75,1,San Francisco
514,128,685,467,267,69,10,518,143,79,73,300,581,495,241,504,2201,75,1,San Francisco
515,175,936,638,365,94,14,708,195,109,99,350,386,655,686,505,2201,75,1,San Francisco
516,57,303,206,118,31,5,230,63,35,32,131,170,359,199,506,2201,75,1,San Francisco
517,74,398,271,155,40,6,301,83,46,42,112,154,282,273,507,2201,75,1,San Francisco
518,57,443,105,213,128,54,144,99,86,171,197,276,412,173,508,2201,75,1,San Francisco
519,66,506,120,244,146,62,165,113,99,195,130,510,425,49,509,2201,75,1,San Francisco
520,112,863,204,416,249,106,281,193,169,332,161,1049,763,117,510,2201,75,1,San Francisco
521,73,704,112,370,231,64,152,157,184,284,112,776,586,114,511,2201,75,1,San Francisco
522,97,937,149,492,307,86,202,209,245,378,161,1032,736,63,512,2201,75,1,San Francisco
523,63,422,101,172,189,23,113,84,92,196,92,397,414,122,513,2201,75,1,San Francisco
524,83,556,133,226,249,31,149,110,121,259,127,549,515,81,514,2201,75,1,San Francisco
525,69,465,111,189,208,26,125,92,101,216,124,495,390,50,515,2201,75,1,San Francisco
526,89,597,143,243,267,33,160,119,130,277,204,574,490,219,516,2201,75,1,San Francisco
538,146,563,159,266,259,25,162,148,96,303,199,432,675,255,528,2201,75,1,San Francisco
539,199,771,217,364,355,34,222,203,131,414,374,459,1007,294,529,2201,75,1,San Francisco
540,103,324,106,180,124,17,101,110,107,109,153,268,422,113,530,2201,75,1,San Francisco
541,113,353,115,197,135,19,110,120,117,119,242,179,491,175,531,2201,75,1,San Francisco
542,125,393,128,219,150,21,122,133,130,133,220,300,520,164,532,2201,75,1,San Francisco
543,97,377,130,145,125,74,91,90,134,159,173,223,534,190,533,2201,75,1,San Francisco
544,141,546,188,210,182,107,133,130,195,229,256,380,728,316,534,2201,75,1,San Francisco
545,103,367,94,201,139,36,71,126,126,147,191,232,470,150,535,2201,75,1,San Francisco
546,102,362,93,198,137,36,70,125,124,145,163,257,494,210,536,2201,75,1,San Francisco
547,123,440,113,241,166,43,85,152,150,176,243,386,642,185,537,2201,75,1,San Francisco
548,124,466,122,225,206,37,100,129,151,210,215,320,687,231,538,2201,75,1,San Francisco
576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,2201,75,1,San Francisco
584,142,268,30,189,146,45,48,69,49,244,268,501,402,26,571,2201,75,1,San Francisco
649,0,34,0,34,0,0,0,0,16,18,34,50,17,0,632,2201,75,1,San Francisco
650,31,203,52,100,71,11,39,33,64,98,69,189,71,62,633,2201,75,1,San Francisco
