MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz,taz_seq,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
14198,84,32,25,10,17,12,3,16,32,21,2400,468,478,2201,75,1,San Francisco
14534,123,46,36,15,26,18,4,24,47,30,2590,468,478,2201,75,1,San Francisco
10697,78,32,27,11,8,18,1,4,33,22,417,461,471,2201,75,1,San Francisco
17126,93,36,30,16,11,26,4,6,37,20,4010,464,474,2201,75,1,San Francisco
14532,66,27,21,11,7,18,3,5,26,14,2588,464,474,2201,75,1,San Francisco
11080,79,32,25,13,9,22,3,5,32,17,656,464,474,2201,75,1,San Francisco
10074,104,42,36,15,11,24,2,6,43,29,38,461,471,2201,75,1,San Francisco
14533,71,29,25,10,7,17,1,4,29,20,2589,461,471,2201,75,1,San Francisco
10839,0,0,0,0,0,0,0,0,0,0,501,370,377,2201,75,1,San Francisco
11011,0,0,0,0,0,0,0,0,0,0,623,370,377,2201,75,1,San Francisco
14796,45,18,13,5,9,7,2,9,16,11,2723,468,478,2201,75,1,San Francisco
10876,41,15,12,5,9,6,1,8,16,10,527,468,478,2201,75,1,San Francisco
13704,168,67,58,21,22,39,5,24,65,35,2139,370,377,2201,75,1,San Francisco
11067,138,54,48,18,18,32,4,19,55,28,649,370,377,2201,75,1,San Francisco
10078,0,0,0,0,0,0,0,0,0,0,42,468,478,2201,75,1,San Francisco
12516,0,0,0,0,0,0,0,0,0,0,1491,468,478,2201,75,1,San Francisco
16944,23,10,8,3,2,5,0,1,10,7,3908,461,471,2201,75,1,San Francisco
10075,98,40,34,14,10,23,2,6,39,28,39,461,471,2201,75,1,San Francisco
10698,93,38,32,13,10,22,2,5,38,26,418,461,471,2201,75,1,San Francisco
10076,7,3,2,1,1,2,0,0,3,2,40,461,471,2201,75,1,San Francisco
14536,81,33,30,9,9,23,2,3,32,21,2592,462,472,2201,75,1,San Francisco
14542,89,36,33,10,10,25,2,3,36,23,2596,462,472,2201,75,1,San Francisco
11015,33,13,12,4,4,9,1,1,14,8,626,462,472,2201,75,1,San Francisco
16950,96,39,36,10,11,27,2,4,39,24,3914,462,472,2201,75,1,San Francisco
10147,410,65,103,105,137,164,16,29,65,136,77,571,584,2201,75,1,San Francisco
14803,99,43,29,11,16,26,4,19,43,7,2730,369,376,2201,75,1,San Francisco
16870,0,0,0,0,0,0,0,0,0,0,3870,369,376,2201,75,1,San Francisco
14591,191,124,48,13,6,29,2,12,124,24,2614,469,479,2201,75,1,San Francisco
11086,0,0,0,0,0,0,0,0,0,0,661,469,479,2201,75,1,San Francisco
10532,287,188,72,19,8,43,2,18,187,37,334,469,479,2201,75,1,San Francisco
14023,93,40,27,11,15,25,3,18,40,7,2305,369,376,2201,75,1,San Francisco
14926,145,62,55,18,10,29,5,11,62,38,2791,502,512,2201,75,1,San Francisco
14545,31,20,8,2,1,5,0,2,20,4,2599,469,479,2201,75,1,San Francisco
11090,230,149,58,16,7,34,2,14,151,29,663,469,479,2201,75,1,San Francisco
10597,24,11,8,3,2,6,0,1,10,7,369,461,471,2201,75,1,San Francisco
16952,101,40,38,11,12,29,2,4,40,26,3916,462,472,2201,75,1,San Francisco
14592,0,0,0,0,0,0,0,0,0,0,2615,462,472,2201,75,1,San Francisco
14590,59,24,22,6,7,17,1,2,24,15,2613,462,472,2201,75,1,San Francisco
16954,131,61,48,14,8,38,2,3,61,27,3918,458,468,2201,75,1,San Francisco
10598,51,24,19,5,3,15,1,1,23,11,370,458,468,2201,75,1,San Francisco
14543,49,23,18,5,3,14,1,1,23,10,2597,458,468,2201,75,1,San Francisco
14203,684,291,261,83,49,136,26,54,291,177,2404,502,512,2201,75,1,San Francisco
10853,192,82,73,23,14,38,7,15,82,50,510,502,512,2201,75,1,San Francisco
15898,0,0,0,0,0,0,0,0,0,0,3324,502,512,2201,75,1,San Francisco
14137,197,84,75,24,14,39,7,16,84,51,2369,502,512,2201,75,1,San Francisco
10840,0,0,0,0,0,0,0,0,0,0,502,469,479,2201,75,1,San Francisco
11500,0,0,0,0,0,0,0,0,0,0,919,470,480,2201,75,1,San Francisco
12546,127,60,46,13,8,37,2,3,59,26,1514,458,468,2201,75,1,San Francisco
11157,94,44,34,10,6,27,1,2,44,20,709,458,468,2201,75,1,San Francisco
14474,91,59,23,6,3,14,1,6,58,12,2558,469,479,2201,75,1,San Francisco
14544,130,67,44,11,8,30,2,7,65,26,2598,459,469,2201,75,1,San Francisco
11068,115,79,27,4,5,21,2,3,80,9,650,470,480,2201,75,1,San Francisco
15969,88,45,30,7,6,20,1,4,46,17,3369,459,469,2201,75,1,San Francisco
15968,75,38,26,6,5,17,1,4,38,15,3368,459,469,2201,75,1,San Francisco
12545,139,70,48,12,9,32,2,7,70,28,1513,459,469,2201,75,1,San Francisco
10994,99,51,34,8,6,23,1,5,50,20,612,459,469,2201,75,1,San Francisco
11499,115,59,39,10,7,27,1,6,58,23,918,459,469,2201,75,1,San Francisco
12577,415,198,133,46,38,108,14,42,197,54,1536,501,511,2201,75,1,San Francisco
15169,455,217,146,51,41,119,15,46,216,59,2924,501,511,2201,75,1,San Francisco
17359,197,94,63,22,18,51,6,20,95,25,4128,501,511,2201,75,1,San Francisco
15904,28,19,7,1,1,5,1,1,19,2,3328,470,480,2201,75,1,San Francisco
10995,111,57,38,9,7,26,1,6,56,22,613,459,469,2201,75,1,San Francisco
12548,186,127,44,10,5,25,2,5,127,27,1516,460,470,2201,75,1,San Francisco
12547,68,46,16,4,2,9,1,2,46,10,1515,460,470,2201,75,1,San Francisco
10499,216,149,51,11,5,29,2,6,148,31,312,460,470,2201,75,1,San Francisco
15905,403,278,95,14,16,73,8,10,279,33,3329,470,480,2201,75,1,San Francisco
15851,507,350,119,18,20,92,10,13,351,41,3294,470,480,2201,75,1,San Francisco
12549,292,201,69,15,7,39,2,8,201,42,1517,460,470,2201,75,1,San Francisco
11501,259,178,61,14,6,34,2,7,179,37,920,460,470,2201,75,1,San Francisco
12004,200,138,47,10,5,27,2,5,137,29,1203,460,470,2201,75,1,San Francisco
14856,54,33,17,3,1,9,1,2,33,9,2757,503,513,2201,75,1,San Francisco
16193,1,1,0,0,0,0,0,0,1,0,3474,503,513,2201,75,1,San Francisco
15752,210,126,67,13,4,36,3,8,127,36,3257,503,513,2201,75,1,San Francisco
17308,108,65,34,7,2,18,2,4,65,19,4109,503,513,2201,75,1,San Francisco
14186,103,62,33,6,2,17,2,4,62,18,2393,503,513,2201,75,1,San Francisco
16577,112,67,36,7,2,19,2,4,68,19,3699,503,513,2201,75,1,San Francisco
16576,80,49,25,5,1,14,1,3,48,14,3698,503,513,2201,75,1,San Francisco
12230,122,74,39,7,2,21,2,5,73,21,1337,503,513,2201,75,1,San Francisco
13455,90,60,25,4,1,17,1,3,60,9,2017,457,467,2201,75,1,San Francisco
16633,108,65,34,7,2,18,2,4,65,19,3737,503,513,2201,75,1,San Francisco
12491,92,61,26,4,1,17,1,3,61,10,1478,457,467,2201,75,1,San Francisco
17255,241,161,67,9,4,45,3,7,161,25,4081,457,467,2201,75,1,San Francisco
17307,295,199,77,12,7,36,3,4,198,54,4108,456,466,2201,75,1,San Francisco
17357,168,113,44,7,4,21,1,2,113,31,4126,456,466,2201,75,1,San Francisco
12428,271,182,71,11,7,33,2,4,183,49,1444,456,466,2201,75,1,San Francisco
17310,194,129,54,8,3,36,2,6,130,20,4111,457,467,2201,75,1,San Francisco
12430,0,0,0,0,0,0,0,0,0,0,1445,457,467,2201,75,1,San Francisco
17358,39,26,10,2,1,5,0,1,26,7,4127,456,466,2201,75,1,San Francisco
12489,265,178,69,11,7,32,2,4,179,48,1477,456,466,2201,75,1,San Francisco
10951,0,0,0,0,0,0,0,0,0,0,584,456,466,2201,75,1,San Francisco
15338,181,109,54,10,8,28,3,6,110,34,3019,290,292,2201,75,1,San Francisco
16586,125,76,37,7,5,19,2,4,77,23,3701,290,292,2201,75,1,San Francisco
12107,0,0,0,0,0,0,0,0,0,0,1255,290,292,2201,75,1,San Francisco
15337,0,0,0,0,0,0,0,0,0,0,3018,291,293,2201,75,1,San Francisco
16057,0,0,0,0,0,0,0,0,0,0,3411,291,293,2201,75,1,San Francisco
14858,72,44,23,4,1,12,1,3,44,12,2759,503,513,2201,75,1,San Francisco
