COUNTY,county_name,occupation_management,occupation_manual,occupation_military,occupation_professional,occupation_retail,occupation_services
4,Alameda,99048,183393,813,245763,133354,231703
5,Contra Costa,72234,127932,466,147404,101600,152771
9,Marin,22730,23559,96,44260,25435,36639
7,Napa,8801,22852,79,13947,13263,18048
1,San Francisco,69795,77171,306,167412,99380,144282
2,San Mateo,53764,86419,93,117129,73293,111278
3,Santa Clara,131281,201425,306,343619,155042,230456
6,Solano,19601,59767,2332,43604,36079,65787
8,Sonoma,28731,68182,402,55839,52648,70128
