process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,145.5,2.4
MainProcess,setup_data_structures,98.9,1.6
MainProcess,initial_seed_balancing,423.4,7.1
MainProcess,input_pre_processor,140.0,2.3
MainProcess,setup_data_structures,99.8,1.7
MainProcess,initial_seed_balancing,418.1,7.0
MainProcess,input_pre_processor,146.2,2.4
MainProcess,setup_data_structures,96.8,1.6
MainProcess,initial_seed_balancing,416.4,6.9
MainProcess,input_pre_processor,147.2,2.5
MainProcess,setup_data_structures,104.1,1.7
MainProcess,initial_seed_balancing,430.1,7.2
MainProcess,input_pre_processor,146.3,2.4
MainProcess,setup_data_structures,101.2,1.7
MainProcess,initial_seed_balancing,415.9,6.9
MainProcess,input_pre_processor,145.8,2.4
MainProcess,setup_data_structures,106.6,1.8
MainProcess,initial_seed_balancing,418.0,7.0
MainProcess,input_pre_processor,267.7,4.5
MainProcess,setup_data_structures,156.3,2.6
MainProcess,input_pre_processor,128.1,2.1
MainProcess,setup_data_structures,72.4,1.2
MainProcess,input_pre_processor,76.3,1.3
MainProcess,setup_data_structures,27.1,0.5
MainProcess,initial_seed_balancing,76.5,1.3
MainProcess,meta_control_factoring,0.2,0.0
MainProcess,final_seed_balancing,86.2,1.4
