MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,MAZ_ID
10282.0,0,37,0,0,37,10282
10283.0,27,0,0,0,0,10283
10284.0,80,0,0,0,0,10284
10287.0,47,0,0,0,0,10287
10288.0,61,0,0,0,0,10288
10289.0,71,0,0,0,0,10289
10290.0,67,16,0,0,16,10290
10292.0,102,0,0,0,0,10292
10295.0,43,0,0,0,0,10295
10300.0,127,0,0,0,0,10300
10302.0,111,0,0,0,0,10302
10308.0,340,0,0,0,0,10308
10309.0,133,0,0,0,0,10309
10310.0,51,0,0,0,0,10310
10312.0,109,0,0,0,0,10312
10313.0,87,0,0,0,0,10313
10315.0,29,0,0,0,0,10315
10316.0,89,0,0,0,0,10316
10317.0,94,0,0,0,0,10317
10321.0,94,0,0,0,0,10321
10322.0,57,0,0,0,0,10322
10323.0,62,0,0,0,0,10323
10324.0,64,0,0,0,0,10324
10325.0,53,0,0,0,0,10325
10326.0,66,0,0,0,0,10326
10327.0,81,0,0,0,0,10327
10328.0,63,0,0,0,0,10328
10329.0,65,0,0,0,0,10329
10330.0,65,0,0,0,0,10330
10331.0,75,0,0,0,0,10331
10333.0,87,0,0,0,0,10333
10334.0,148,0,0,0,0,10334
10335.0,145,0,0,0,0,10335
10336.0,64,0,0,0,0,10336
10337.0,58,0,0,0,0,10337
10338.0,75,0,0,0,0,10338
10340.0,74,0,0,0,0,10340
10341.0,63,0,0,0,0,10341
10344.0,92,0,0,0,0,10344
10347.0,19,0,0,0,0,10347
10349.0,49,0,0,0,0,10349
10350.0,24,0,0,0,0,10350
10351.0,30,0,0,0,0,10351
10352.0,75,0,0,0,0,10352
10353.0,173,0,0,0,0,10353
10355.0,153,0,0,0,0,10355
10358.0,116,0,0,0,0,10358
10359.0,93,0,0,0,0,10359
10368.0,81,0,0,0,0,10368
10369.0,0,0,0,0,0,10369
10370.0,0,0,0,0,0,10370
10372.0,123,0,0,0,0,10372
10373.0,190,0,0,0,0,10373
10375.0,142,0,0,0,0,10375
10376.0,160,0,0,0,0,10376
10377.0,0,0,0,0,0,10377
10378.0,164,0,0,0,0,10378
10380.0,543,0,0,0,0,10380
10384.0,75,0,0,0,0,10384
10385.0,153,0,0,0,0,10385
10386.0,100,0,0,0,0,10386
10388.0,698,172,0,172,0,10388
10390.0,349,0,0,0,0,10390
10392.0,168,0,0,0,0,10392
10394.0,103,1,0,0,1,10394
10395.0,0,0,0,0,0,10395
10398.0,449,50,0,0,50,10398
10399.0,15,0,0,0,0,10399
10400.0,79,0,0,0,0,10400
10401.0,197,0,0,0,0,10401
10402.0,20,0,0,0,0,10402
10403.0,84,0,0,0,0,10403
10405.0,87,0,0,0,0,10405
10411.0,47,0,0,0,0,10411
10413.0,152,0,0,0,0,10413
10414.0,133,0,0,0,0,10414
10416.0,130,0,0,0,0,10416
10417.0,123,0,0,0,0,10417
10418.0,141,0,0,0,0,10418
10419.0,134,0,0,0,0,10419
10420.0,117,0,0,0,0,10420
10421.0,63,0,0,0,0,10421
10424.0,55,0,0,0,0,10424
10425.0,89,0,0,0,0,10425
10427.0,22,0,0,0,0,10427
10428.0,28,0,0,0,0,10428
10429.0,56,0,0,0,0,10429
10430.0,52,0,0,0,0,10430
10431.0,33,0,0,0,0,10431
10432.0,53,12,0,0,12,10432
10433.0,41,0,0,0,0,10433
10434.0,40,0,0,0,0,10434
10435.0,43,0,0,0,0,10435
10436.0,61,0,0,0,0,10436
10437.0,57,0,0,0,0,10437
10438.0,159,0,0,0,0,10438
10440.0,41,0,0,0,0,10440
10441.0,83,0,0,0,0,10441
10443.0,60,0,0,0,0,10443
10444.0,45,0,0,0,0,10444
10445.0,222,0,0,0,0,10445
10446.0,92,0,0,0,0,10446
10447.0,0,0,0,0,0,10447
10450.0,35,0,0,0,0,10450
10452.0,34,0,0,0,0,10452
10454.0,551,182,0,0,182,10454
10455.0,17,9,0,0,9,10455
10456.0,567,845,0,0,845,10456
10457.0,196,80,0,0,80,10457
10458.0,25,0,0,0,0,10458
10460.0,37,1,0,0,1,10460
10462.0,241,0,0,0,0,10462
10463.0,35,0,0,0,0,10463
10464.0,43,0,0,0,0,10464
10466.0,67,0,0,0,0,10466
10467.0,56,0,0,0,0,10467
10468.0,124,0,0,0,0,10468
10469.0,80,0,0,0,0,10469
10470.0,88,0,0,0,0,10470
10472.0,36,0,0,0,0,10472
10473.0,75,0,0,0,0,10473
10474.0,111,0,0,0,0,10474
10476.0,0,88,0,0,88,10476
10477.0,70,0,0,0,0,10477
10482.0,0,10,0,0,10,10482
10483.0,0,3,0,0,3,10483
10484.0,166,0,0,0,0,10484
10486.0,150,0,0,0,0,10486
10487.0,187,0,0,0,0,10487
10488.0,54,0,0,0,0,10488
10489.0,141,0,0,0,0,10489
10490.0,232,0,0,0,0,10490
10493.0,191,0,0,0,0,10493
10494.0,75,26,0,8,18,10494
10496.0,202,0,0,0,0,10496
10498.0,205,0,0,0,0,10498
10499.0,246,0,0,0,0,10499
10501.0,214,0,0,0,0,10501
10503.0,145,0,0,0,0,10503
10504.0,93,0,0,0,0,10504
10507.0,102,0,0,0,0,10507
10508.0,82,0,0,0,0,10508
10509.0,102,0,0,0,0,10509
10512.0,913,0,0,0,0,10512
10514.0,136,4,0,0,4,10514
10515.0,126,44,0,0,44,10515
10517.0,53,6,0,0,6,10517
10518.0,125,0,0,0,0,10518
10519.0,61,0,0,0,0,10519
10520.0,0,0,0,0,0,10520
10523.0,160,0,0,0,0,10523
10524.0,83,0,0,0,0,10524
10525.0,85,0,0,0,0,10525
10526.0,112,0,0,0,0,10526
10527.0,150,0,0,0,0,10527
10528.0,66,0,0,0,0,10528
10529.0,76,0,0,0,0,10529
10530.0,60,5,0,0,5,10530
10532.0,413,0,0,0,0,10532
10535.0,183,0,0,0,0,10535
10536.0,101,0,0,0,0,10536
10538.0,97,0,0,0,0,10538
10539.0,88,4,0,0,4,10539
10540.0,93,0,0,0,0,10540
10541.0,92,0,0,0,0,10541
10542.0,52,0,0,0,0,10542
10543.0,128,0,0,0,0,10543
10544.0,56,0,0,0,0,10544
10546.0,36,0,0,0,0,10546
10547.0,31,0,0,0,0,10547
10549.0,10,0,0,0,0,10549
10551.0,56,0,0,0,0,10551
10552.0,64,4,0,0,4,10552
10553.0,161,0,0,0,0,10553
10554.0,218,0,0,0,0,10554
10555.0,234,0,0,0,0,10555
10564.0,106,0,0,0,0,10564
10566.0,69,7,0,0,7,10566
10567.0,154,0,0,0,0,10567
10572.0,0,2,0,0,2,10572
10573.0,150,0,0,0,0,10573
10575.0,0,0,0,0,0,10575
10576.0,73,0,0,0,0,10576
10581.0,0,0,0,0,0,10581
10582.0,0,0,0,0,0,10582
10585.0,96,0,0,0,0,10585
10586.0,106,0,0,0,0,10586
10587.0,139,0,0,0,0,10587
10590.0,118,0,0,0,0,10590
10593.0,0,0,0,0,0,10593
10594.0,98,2,0,0,2,10594
10595.0,114,0,0,0,0,10595
10596.0,141,0,0,0,0,10596
10597.0,20,0,0,0,0,10597
10598.0,62,0,0,0,0,10598
10600.0,0,0,0,0,0,10600
10601.0,155,21,0,0,21,10601
10602.0,163,0,0,0,0,10602
10604.0,74,0,0,0,0,10604
10605.0,43,0,0,0,0,10605
10606.0,85,0,0,0,0,10606
10607.0,51,0,0,0,0,10607
10608.0,61,0,0,0,0,10608
10609.0,0,0,0,0,0,10609
10610.0,25,0,0,0,0,10610
10611.0,120,0,0,0,0,10611
10612.0,338,0,0,0,0,10612
10613.0,43,0,0,0,0,10613
10614.0,88,0,0,0,0,10614
10627.0,45,0,0,0,0,10627
10628.0,35,0,0,0,0,10628
10632.0,112,0,0,0,0,10632
10635.0,76,15,0,0,15,10635
10637.0,120,0,0,0,0,10637
10642.0,30,0,0,0,0,10642
10646.0,143,0,0,0,0,10646
10649.0,288,0,0,0,0,10649
10650.0,329,0,0,0,0,10650
10654.0,70,0,0,0,0,10654
10655.0,37,18,0,0,18,10655
10658.0,0,0,0,0,0,10658
10659.0,49,50,0,0,50,10659
10660.0,35,18,0,0,18,10660
10665.0,54,0,0,0,0,10665
10666.0,39,0,0,0,0,10666
