process,pid,rss,full_rss,uss,event,children,time
MainProcess,12632,6_308_573_184,6_308_573_184,6_299_717_632,pipeline.run after input_pre_processor,0,2025/08/05 19:03:37.368698
MainProcess,12632,6_308_573_184,6_308_573_184,6_299_717_632,pipeline.run_model setup_data_structures start,0,2025/08/05 19:03:37.650007
MainProcess,12632,5_442_633_728,5_442_633_728,5_433_630_720,pipeline.run_model setup_data_structures finished,0,2025/08/05 19:04:04.231120
MainProcess,12632,5_446_017_024,5_446_017_024,5_436_997_632,pipeline.run after setup_data_structures,0,2025/08/05 19:05:00.356875
MainProcess,12632,5_446_021_120,5_446_021_120,5_436_997_632,pipeline.run_model initial_seed_balancing start,0,2025/08/05 19:05:00.496667
MainProcess,9624,95_776_768,95_776_768,70_770_688,pipeline.run before preload_injectables,0,2025/08/06 08:13:17.250665
MainProcess,9624,96_063_488,96_063_488,70_782_976,pipeline.run after preload_injectables,0,2025/08/06 08:13:17.265182
MainProcess,9624,96_100_352,96_100_352,70_811_648,pipeline.run_model input_pre_processor start,0,2025/08/06 08:13:17.278557
MainProcess,9624,6_252_384_256,6_252_384_256,6_243_549_184,pipeline.run_model input_pre_processor finished,0,2025/08/06 08:14:27.327038
MainProcess,9624,6_316_101_632,6_316_101_632,6_307_450_880,pipeline.run after input_pre_processor,0,2025/08/06 08:15:32.635752
MainProcess,9624,6_316_294_144,6_316_294_144,6_307_450_880,pipeline.run_model setup_data_structures start,0,2025/08/06 08:15:32.917023
MainProcess,9624,5_450_817_536,5_450_817_536,5_441_826_816,pipeline.run_model setup_data_structures finished,0,2025/08/06 08:15:59.956677
MainProcess,9624,5_452_701_696,5_452_701_696,5_443_686_400,pipeline.run after setup_data_structures,0,2025/08/06 08:16:55.195201
MainProcess,9624,5_452_701_696,5_452_701_696,5_443_686_400,pipeline.run_model initial_seed_balancing start,0,2025/08/06 08:16:55.361261
