process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,1.6,0.0
MainProcess,setup_data_structures,1.5,0.0
MainProcess,initial_seed_balancing,73.0,1.2
MainProcess,meta_control_factoring,0.2,0.0
MainProcess,final_seed_balancing,90.3,1.5
MainProcess,integerize_final_seed_weights,3.1,0.1
MainProcess,sub_balancing.geography=TAZ,3163.9,52.7
MainProcess,input_pre_processor,1.6,0.0
MainProcess,setup_data_structures,1.5,0.0
MainProcess,initial_seed_balancing,123.9,2.1
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,155.8,2.6
MainProcess,integerize_final_seed_weights,4.2,0.1
MainProcess,sub_balancing.geography=TAZ,4966.8,82.8
MainProcess,sub_balancing.geography=MAZ,10770.6,179.5
MainProcess,expand_households,120.7,2.0
MainProcess,summarize,1011.2,16.9
MainProcess,write_tables,6.3,0.1
MainProcess,write_synthetic_population,138.8,2.3
