process,pid,rss,full_rss,uss,event,children,time
MainProcess,1296,343_257_088,343_257_088,307_675_136,pipeline.run after integerize_final_seed_weights,0,2025/06/05 15:58:35.444883
MainProcess,1296,343_736_320,343_736_320,307_675_136,pipeline.run_model sub_balancing.geography=TAZ start,0,2025/06/05 15:58:35.464946
MainProcess,1296,417_169_408,417_169_408,294_486_016,pipeline.run_model sub_balancing.geography=TAZ finished,0,2025/06/05 17:21:21.605392
MainProcess,1296,420_503_552,420_503_552,297_259_008,pipeline.run after sub_balancing.geography=TAZ,0,2025/06/05 17:21:22.205945
MainProcess,1296,420_630_528,420_630_528,297_381_888,pipeline.run_model sub_balancing.geography=MAZ start,0,2025/06/05 17:21:22.255702
MainProcess,1296,1_806_102_528,1_806_102_528,1_605_599_232,pipeline.run_model sub_balancing.geography=MAZ finished,0,2025/06/05 20:20:44.594899
MainProcess,1296,1_445_220_352,1_445_220_352,1_446_715_392,pipeline.run after sub_balancing.geography=MAZ,0,2025/06/05 20:20:52.766349
MainProcess,1296,1_449_521_152,1_449_521_152,1_447_784_448,pipeline.run_model expand_households start,0,2025/06/05 20:20:52.913504
MainProcess,1296,1_652_862_976,1_652_862_976,1_218_744_320,pipeline.run_model expand_households finished,0,2025/06/05 20:22:53.214507
MainProcess,1296,1_654_259_712,1_654_259_712,1_219_842_048,pipeline.run after expand_households,0,2025/06/05 20:22:53.507191
MainProcess,1296,1_654_280_192,1_654_280_192,1_219_846_144,pipeline.run_model summarize start,0,2025/06/05 20:22:53.607683
MainProcess,1296,1_935_503_360,1_935_503_360,625_311_744,pipeline.run_model summarize finished,0,2025/06/05 20:39:44.361815
MainProcess,1296,1_939_673_088,1_939_673_088,631_369_728,pipeline.run after summarize,0,2025/06/05 20:39:44.740858
MainProcess,1296,1_939_705_856,1_939_705_856,631_369_728,pipeline.run_model write_tables start,0,2025/06/05 20:39:44.835027
MainProcess,1296,1_940_475_904,1_940_475_904,633_503_744,pipeline.run_model write_tables finished,0,2025/06/05 20:39:50.944645
MainProcess,1296,1_940_475_904,1_940_475_904,633_503_744,pipeline.run after write_tables,0,2025/06/05 20:39:51.044558
MainProcess,1296,1_940_475_904,1_940_475_904,633_503_744,pipeline.run_model write_synthetic_population start,0,2025/06/05 20:39:51.094102
MainProcess,1296,1_521_098_752,1_521_098_752,695_984_128,pipeline.run_model write_synthetic_population finished,0,2025/06/05 20:42:09.635524
MainProcess,1296,1_534_324_736,1_534_324_736,705_748_992,pipeline.run after write_synthetic_population,0,2025/06/05 20:42:09.875967
MainProcess,1296,1_534_377_984,1_534_377_984,705_802_240,pipeline.run after run_models,0,2025/06/05 20:42:09.945240
