county,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military
Alameda,94953,236134,193563,117020,159712,738
Contra Costa,102918,213834,191798,127120,166450,0
Marin,128010,240121,170397,138735,124857,0
Napa,100985,153559,179260,131171,237153,0
San Francisco,106568,260111,185116,146331,104001,0
San Mateo,105758,222594,187603,126614,159559,0
Santa Clara,104330,272705,161011,113868,150206,0
Solano,75179,166979,224158,125764,206021,4027
Sonoma,87412,165912,198553,147976,200919,1364
