MAZ,TAZ,PUMA
10001,56,07511
10002,56,07511
10003,10,07511
10004,53,07511
10005,48,07511
10006,48,07511
10007,65,07511
10009,65,07511
10012,40,07511
10017,583,07507
10018,574,07510
10021,618,07507
10022,116,07507
10023,125,07511
10024,622,07507
10025,623,07507
10030,250,07508
10038,363,07509
10039,330,07507
10044,635,07513
10045,635,07513
10047,199,07513
10048,636,07513
10049,100,07507
10052,453,07513
10053,553,07507
10054,553,07507
10055,39,07510
10056,288,07510
10060,84,07510
10062,117,07507
10063,188,07507
10064,294,07507
10065,294,07507
10071,438,07514
10072,438,07514
10073,461,07514
10074,471,07514
10075,471,07514
10076,471,07514
10077,434,07514
10078,478,07514
10079,398,07509
10084,366,07514
10086,404,07509
10087,401,07509
10094,420,07511
10098,490,07512
10099,489,07512
10101,281,07512
10102,491,07512
10104,6,07511
10107,563,07511
10109,570,07511
10110,20,07511
10111,21,07511
10112,18,07511
10114,52,07511
10116,52,07511
10117,535,07513
10119,454,07513
10122,42,07507
10123,619,07507
10124,98,07507
10125,98,07507
10127,38,07510
10128,419,07510
10130,188,07507
10133,143,07512
10137,361,07509
10138,564,07510
10140,1,07511
10141,522,07514
10142,522,07514
10143,379,07514
10144,568,07510
10147,584,07508
10150,430,07514
10151,365,07514
10153,371,07514
10157,388,07509
10159,581,07510
10160,426,07514
10161,426,07514
10162,427,07514
10163,431,07514
10164,364,07514
10165,366,07514
10167,430,07514
10168,6,07511
10169,11,07511
10170,6,07511
10172,1,07511
10173,3,07511
10179,420,07511
10180,420,07511
10181,446,07511
10184,52,07511
10185,592,07509
10186,592,07509
10187,454,07513
10190,197,07507
10192,314,07507
10193,152,07511
10194,186,07507
10195,156,07507
10197,315,07507
10198,317,07507
10200,476,07508
10201,302,07512
10202,646,07511
10203,128,07513
10204,128,07513
10206,208,07512
10207,210,07512
10208,209,07512
10209,209,07512
10210,545,07508
10211,544,07508
10212,543,07508
10213,333,07508
10214,333,07508
10215,264,07508
10218,351,07509
10219,4,07509
10222,597,07510
10223,504,07512
10224,162,07513
10225,166,07513
10226,494,07512
10227,499,07512
10228,498,07512
10229,495,07512
10230,495,07512
10231,495,07512
10232,281,07512
10233,282,07512
10234,495,07512
10235,281,07512
10236,296,07512
10241,192,07507
10242,626,07507
10247,267,07508
10248,269,07508
10249,268,07508
10250,76,07508
10251,261,07508
10252,265,07508
10253,546,07508
10254,172,07512
10255,173,07512
10256,172,07512
10257,172,07512
10258,176,07512
10259,588,07509
10260,581,07510
10261,581,07510
10262,581,07510
10263,590,07510
10265,27,07510
10266,222,07508
10268,37,07510
10269,37,07510
10270,566,07510
10271,417,07510
10272,599,07510
10273,599,07510
10274,598,07510
10275,598,07510
10276,598,07510
10277,598,07510
10278,21,07511
10279,18,07511
10280,89,07510
10281,89,07510
10282,86,07510
10283,572,07510
10284,146,07511
10287,118,07511
10288,313,07511
10289,313,07511
10290,449,07507
10292,114,07511
10295,125,07511
10300,125,07511
10302,349,07509
10308,325,07509
10309,352,07509
10310,82,07511
10312,1,07511
10313,60,07511
10315,150,07511
10316,148,07511
10317,150,07511
10321,203,07512
10322,213,07512
10323,213,07512
10324,204,07512
10325,214,07512
10326,179,07512
10327,180,07512
10328,180,07512
10329,207,07512
10330,207,07512
10331,537,07512
10333,206,07512
10334,216,07508
10335,252,07508
10336,501,07512
10337,502,07512
10338,208,07512
10340,504,07512
10341,211,07512
10344,282,07512
10347,297,07512
10349,101,07513
10350,642,07512
10351,642,07512
10352,641,07513
10353,67,07511
10355,65,07511
10358,69,07511
10359,441,07508
10368,345,07509
10369,325,07509
10370,325,07509
10372,342,07509
10373,387,07509
10375,386,07509
10376,347,07509
10377,325,07509
10378,350,07509
10380,286,07508
10384,489,07512
10385,277,07512
10386,331,07512
10388,271,07512
10390,446,07511
10392,555,07514
10394,7,07511
10395,604,07510
10398,570,07511
10399,1,07511
10400,489,07512
10401,238,07512
10402,165,07513
10403,299,07512
10405,534,07513
10411,72,07507
10413,221,07508
10414,223,07508
10416,60,07511
10417,60,07511
10418,61,07511
10419,83,07511
10420,83,07511
10421,150,07511
10424,152,07511
10425,153,07511
10427,105,07513
10428,105,07513
10429,459,07513
10430,105,07513
10431,105,07513
10432,239,07507
10433,237,07507
10434,451,07507
10435,189,07507
10436,197,07507
10437,195,07507
10438,156,07507
10440,186,07507
10441,314,07507
10443,315,07507
10444,317,07507
10445,323,07507
10446,323,07507
10447,360,07509
10450,302,07512
10452,318,07507
