MAZ_NODE,numhh,numhh_gq,gq_type_univ,gq_type_noninst
10001,55,55,0,0
10002,64,64,0,0
10003,69,69,0,0
10004,72,72,0,0
10005,62,62,0,0
10006,96,96,0,0
10007,175,175,0,0
10009,40,40,0,0
10012,303,303,0,0
10017,0,0,0,0
10018,0,0,0,0
10021,9,49,0,40
10022,32,51,0,19
10023,14,14,0,0
10024,54,54,0,0
10025,29,29,0,0
10030,192,192,0,0
10038,623,751,0,128
10039,86,86,0,0
10044,51,51,0,0
10045,55,55,0,0
10047,56,56,0,0
10048,73,73,0,0
10049,63,63,0,0
10052,22,22,0,0
10053,27,38,0,11
10054,55,55,0,0
10055,52,57,0,5
10056,417,417,0,0
10060,0,0,0,0
10062,48,48,0,0
10063,30,30,0,0
10064,0,0,0,0
10065,7,7,0,0
10071,34,34,0,0
10072,31,31,0,0
10073,70,70,0,0
10074,131,131,0,0
10075,105,105,0,0
10076,10,10,0,0
10077,91,91,0,0
10078,1,1,0,0
10079,253,253,0,0
10084,43,57,0,14
10086,0,0,0,0
10087,0,7,0,7
10094,89,89,0,0
10098,86,86,0,0
10099,66,66,0,0
10101,63,63,0,0
10102,91,91,0,0
10104,39,39,0,0
10107,86,87,0,1
10109,90,99,0,9
10110,304,304,0,0
10111,146,146,0,0
10112,118,118,0,0
10114,75,75,0,0
10116,101,101,0,0
10117,376,376,0,0
10119,83,83,0,0
10122,104,104,0,0
10123,0,8,0,8
10124,23,23,0,0
10125,51,62,0,11
10127,178,178,0,0
10128,301,301,0,0
10130,0,0,0,0
10133,65,65,0,0
10137,220,242,0,22
10138,394,407,0,13
10140,161,161,0,0
10141,108,121,0,13
10142,150,150,0,0
10143,165,165,0,0
10144,4,25,0,21
10147,488,488,0,0
10150,65,65,0,0
10151,0,0,0,0
10153,0,0,0,0
10157,137,137,0,0
10159,3,4,0,1
10160,153,153,0,0
10161,138,138,0,0
10162,164,164,0,0
10163,95,95,0,0
10164,65,65,0,0
10165,128,128,0,0
10167,159,159,0,0
10168,85,85,0,0
10169,60,60,0,0
10170,0,5,0,5
10172,188,188,0,0
10173,100,100,0,0
10179,167,167,0,0
10180,55,55,0,0
10181,57,57,0,0
10184,32,32,0,0
10185,2,2,0,0
10186,0,0,0,0
10187,118,118,0,0
10190,65,65,0,0
10192,38,38,0,0
10193,51,51,0,0
10194,35,35,0,0
10195,45,56,0,11
10197,51,51,0,0
10198,79,79,0,0
10200,117,117,0,0
10201,39,39,0,0
10202,86,86,0,0
10203,18,18,0,0
10204,41,41,0,0
10206,50,50,0,0
10207,54,54,0,0
10208,48,48,0,0
10209,57,57,0,0
10210,166,166,0,0
10211,89,89,0,0
10212,97,97,0,0
10213,66,66,0,0
10214,94,94,0,0
10215,192,192,0,0
10218,65,65,0,0
10219,1,1,0,0
10220,3,3,0,0
10221,0,0,0,0
10222,0,14,0,14
10223,79,79,0,0
10224,51,51,0,0
10225,64,64,0,0
10226,45,45,0,0
10227,45,45,0,0
10228,54,54,0,0
10229,47,47,0,0
10230,67,67,0,0
10231,59,59,0,0
10232,29,29,0,0
10233,12,12,0,0
10234,65,65,0,0
10235,31,31,0,0
10236,40,40,0,0
10241,35,35,0,0
10242,42,42,0,0
10247,54,54,0,0
10248,69,69,0,0
10249,34,34,0,0
10250,96,96,0,0
10251,80,80,0,0
10252,61,61,0,0
10253,46,63,0,17
10254,157,157,0,0
10255,102,102,0,0
10256,116,116,0,0
10257,60,64,0,4
10258,61,61,0,0
10259,0,7,0,7
10260,3,3,0,0
10261,0,51,0,51
10262,277,277,0,0
10263,0,0,0,0
10265,527,587,0,60
10266,123,123,0,0
10268,140,186,0,46
10269,90,105,0,15
10270,106,106,0,0
10271,89,97,0,8
10272,119,119,0,0
10273,155,163,0,8
10274,125,125,0,0
10275,14,14,0,0
10276,0,0,0,0
10277,15,107,0,92
10278,94,104,0,10
10279,232,232,0,0
10280,34,43,0,9
10281,78,78,0,0
10282,0,37,0,37
10283,24,24,0,0
10284,71,71,0,0
10287,42,42,0,0
10288,54,54,0,0
10289,63,63,0,0
10290,62,78,0,16
10292,91,91,0,0
10295,38,38,0,0
10300,113,113,0,0
10302,99,99,0,0
10308,302,302,0,0
10309,118,118,0,0
10310,45,45,0,0
10312,97,97,0,0
10313,77,77,0,0
10315,26,26,0,0
10316,79,79,0,0
10317,84,84,0,0
10321,84,84,0,0
10322,51,51,0,0
10323,55,55,0,0
10324,57,57,0,0
10325,47,47,0,0
10326,59,59,0,0
10327,72,72,0,0
10328,56,56,0,0
10329,58,58,0,0
10330,58,58,0,0
10331,67,67,0,0
10333,77,77,0,0
10334,132,132,0,0
10335,129,129,0,0
10336,57,57,0,0
10337,52,52,0,0
10338,67,67,0,0
10340,66,66,0,0
10341,56,56,0,0
10344,82,82,0,0
10347,17,17,0,0
10349,44,44,0,0
10350,21,21,0,0
10351,27,27,0,0
10352,67,67,0,0
10353,154,154,0,0
10355,136,136,0,0
10358,103,103,0,0
10359,82,82,0,0
10368,72,72,0,0
10369,0,0,0,0
10370,0,0,0,0
10372,109,109,0,0
10373,169,169,0,0
10375,126,126,0,0
10376,142,142,0,0
10377,0,0,0,0
10378,146,146,0,0
10380,483,483,0,0
10384,67,67,0,0
10385,136,136,0,0
10386,89,89,0,0
10388,621,793,172,0
10390,310,310,0,0
10392,149,149,0,0
10394,92,93,0,1
10395,0,0,0,0
10398,399,418,0,19
