MAZ,num_hh,total_pop
11245,215,684
11250,41,79
11251,91,157
11257,19,62
11259,217,255
11260,221,393
11261,328,392
11263,168,307
11264,109,286
11267,66,156
11268,100,235
11269,76,228
11270,19,78
11274,52,189
11280,24,53
11283,242,568
11284,65,236
11287,66,234
11293,78,180
11294,30,80
11297,34,99
11298,4,26
11299,21,53
11300,63,153
11301,96,253
11302,33,92
11303,69,165
11304,46,116
11306,92,209
11307,85,184
11309,120,300
11312,102,169
11315,21,48
11316,56,120
11319,106,258
11323,179,365
11324,193,391
11326,310,500
11328,479,1266
11329,492,744
11330,194,280
11332,1098,1783
11333,177,293
11335,114,179
11337,157,371
11339,91,157
11341,89,135
11342,0,2
11343,517,899
11344,28,60
11345,25,47
11347,10,19
11349,0,0
11350,61,159
11351,80,228
11352,0,47
11353,44,139
11355,532,1262
11358,78,183
11359,52,114
11360,77,170
11361,0,0
11367,65,145
11368,0,10
11369,0,0
11371,219,324
11374,39,56
11375,53,115
11376,182,424
11377,130,267
11378,230,471
11381,121,298
11382,105,236
11384,240,644
11385,52,157
11386,38,95
11388,39,95
11389,26,51
11390,23,64
11391,55,228
11392,62,209
11393,87,307
11394,60,132
11396,97,168
11397,21,61
11398,142,218
11399,77,285
11401,46,150
11402,124,332
11403,21,25
11405,131,328
11409,114,346
11411,45,89
11418,79,108
11419,61,171
11422,110,304
11423,159,292
11424,145,270
11425,96,167
11426,108,188
11427,102,218
11429,66,129
11431,42,140
11432,54,137
11433,51,129
11434,71,228
11435,26,90
11436,39,117
11437,98,381
11438,102,339
11439,202,714
11440,65,184
11441,56,147
11442,64,181
11444,0,0
11449,132,338
11453,618,1334
11454,185,673
11457,54,153
11459,96,249
11461,417,797
11462,108,189
11463,176,389
11464,25,65
11466,60,114
11467,82,221
11468,85,185
11469,122,251
11471,68,161
11473,62,183
11474,58,83
11475,0,0
11476,0,484
11485,66,131
11486,50,124
11487,19,39
11489,240,320
11490,116,169
11491,123,232
11492,193,253
11495,110,195
11496,80,101
11497,262,402
11498,140,221
11499,125,198
11500,0,0
11501,269,391
11502,96,163
11504,90,169
11505,91,173
11506,69,154
11508,108,180
11509,0,0
11512,451,833
11513,53,164
11514,411,726
11515,3,13
11517,0,0
11522,113,234
11523,95,184
11524,128,266
11525,123,257
11527,120,263
11529,149,274
11530,169,247
11531,81,193
11533,87,210
11541,53,78
11544,0,0
11547,0,0
11548,0,0
11549,0,0
11550,0,2
11557,130,289
11558,103,219
11560,55,115
11569,370,925
11574,18,88
11578,68,162
11579,54,137
11582,38,82
11585,412,717
11586,78,164
11587,0,0
11588,0,0
11589,0,0
11590,326,800
11591,1,19
11594,0,0
11597,92,259
11598,71,239
11599,85,303
11600,82,243
11601,138,384
11602,53,102
11603,58,144
11604,59,139
11605,80,117
11606,55,123
11610,74,269
11611,15,91
11612,52,109
11613,107,203
11614,42,103
11615,96,200
11616,166,460
11617,210,364
11618,0,0
11620,0,9
11622,37,61
11623,0,0
11625,93,258
11626,36,71
11627,108,217
11628,58,135
11629,54,129
11630,43,126
11631,59,183
11632,84,252
11633,61,187
11634,57,156
11635,83,241
11638,47,209
11640,63,205
11641,44,159
11642,82,179
11643,75,168
11646,37,101
11647,65,155
11648,78,162
11649,113,240
11653,32,70
11656,18,71
11658,64,139
11661,127,189
11664,80,134
11666,96,188
11667,40,96
11669,39,144
11670,72,231
11673,43,199
11674,596,828
11676,922,1973
11677,42,89
11678,147,228
11679,370,630
11680,62,153
11681,86,198
11682,95,228
11683,82,203
11684,57,180
11685,69,177
11686,172,313
11687,94,250
11692,44,192
11693,0,63
11694,802,1296
11697,94,150
11698,87,142
11699,65,133
11701,81,224
11703,2,9
11708,14,26
11715,20,63
11716,59,133
11717,73,169
11719,31,61
11726,85,398
11727,52,161
11728,54,155
11730,223,274
11731,0,0
11735,8,33
11736,421,687
11737,92,179
11741,42,112
11744,106,237
11746,79,179
11747,69,161
11752,57,130
11754,97,164
11756,588,930
11757,475,645
11759,29,85
11762,87,247
11764,84,208
11767,86,257
11768,95,263
11769,54,125
11770,56,154
11771,104,198
11773,161,310
11774,56,71
11785,0,2
11786,0,0
11790,362,741
11792,44,139
11794,98,202
11795,66,153
11796,49,148
11797,72,183
11798,68,167
11799,0,0
11800,64,190
11801,72,162
11802,56,165
11803,63,161
11804,29,67
11805,49,130
11806,123,233
11807,71,143
11809,78,153
11814,22,50
11816,21,92
11817,73,242
11818,82,334
11819,36,90
11820,88,274
11821,54,180
11822,9,45
11823,56,188
11824,43,113
11826,0,0
11828,43,95
11831,161,650
11839,320,421
11842,39,78
11843,75,192
11845,105,197
11846,93,227
11847,166,269
11848,55,144
11851,65,160
11852,34,113
11853,54,150
11854,59,135
11855,57,154
11856,53,139
11861,94,198
11864,133,379
11867,33,76
11868,21,63
11869,26,61
11871,0,1
11874,154,252
11879,2,43
11881,38,79
11882,70,119
11884,97,185
11887,119,235
11888,120,188
11889,54,116
11890,91,263
11891,68,142
11892,71,179
11893,97,250
11894,65,171
11895,66,177
11897,39,92
11901,140,271
11902,72,180
11903,59,159
11907,127,254
11908,99,236
11911,90,207
11912,155,318
11913,57,189
11914,80,200
11915,59,141
11916,108,171
11917,192,275
11920,174,264
11921,157,232
11922,169,289
11923,164,279
11924,71,158
11925,114,229
11927,0,9
11929,101,231
11930,225,515
11932,113,206
11933,86,178
11934,113,211
11937,101,234
11938,82,144
11939,113,215
11940,44,116
11941,44,108
11942,66,196
11943,94,239
11944,89,263
11945,77,232
11946,46,131
11947,47,184
11948,51,172
11949,57,247
11950,47,142
11951,44,136
11952,45,117
11953,43,101
11954,45,107
11957,47,178
11961,43,90
11964,60,127
11965,62,169
11966,54,133
11967,188,330
11969,130,241
11972,214,418
11973,101,171
11974,96,190
11975,111,199
11976,107,219
11977,73,167
11978,64,122
11979,111,198
11983,0,40
11984,223,427
11985,138,199
11988,90,267
11989,80,170
11991,3,25
11992,3,27
11993,69,107
11997,121,173
11998,86,180
11999,114,195
12001,233,321
12002,246,346
12003,115,197
12004,210,273
12005,193,369
12006,119,181
12007,123,167
12008,202,237
12009,28,62
12010,115,255
12011,88,161
12012,122,208
12014,157,298
12016,124,203
12017,58,151
12020,101,174
12023,269,882
12027,36,84
12028,151,225
12035,108,218
12036,102,178
12037,98,202
12039,43,100
12040,50,142
12041,30,80
12045,54,112
12046,1,10
12050,0,0
12052,47,148
12054,77,226
12057,55,184
12060,142,272
12064,132,377
12070,29,89
12071,41,146
12072,89,270
12073,225,644
12074,130,257
12075,205,428
12078,31,97
12079,40,83
12083,72,183
12084,53,136
12086,116,283
12091,28,84
12092,0,145
12093,46,81
12094,113,254
12095,66,176
12096,71,163
12097,46,126
12098,55,94
12099,115,146
12103,67,156
12104,139,268
12107,2,17
12110,43,113
12113,0,40
12114,0,0
12119,212,496
12120,138,172
12121,109,161
12122,141,262
12123,150,295
12124,98,185
12127,311,598
12130,116,277
12131,286,528
12132,307,432
12133,496,638
12134,139,298
12135,9,37
12136,100,203
12137,97,219
12138,169,355
12139,69,196
12140,178,287
12141,78,207
12142,80,184
12143,79,177
12144,88,191
12145,85,213
12146,46,127
12147,71,163
12149,20,27
12153,494,2194
12156,47,131
12157,66,207
12159,44,108
12160,88,208
12161,55,138
12162,25,70
12163,55,132
12164,51,132
12168,53,140
12169,85,174
12170,34,78
12171,58,119
12172,111,182
12173,141,249
12176,60,124
12178,79,127
12179,50,98
12180,70,160
12181,103,174
12182,236,425
12188,232,361
12191,205,364
12192,103,180
12193,159,248
12194,214,377
12195,224,358
12196,430,670
12197,466,644
12201,152,292
12202,104,260
12203,104,238
12204,144,300
12205,101,225
12207,79,189
12208,86,194
12209,121,260
12210,138,292
12211,110,225
12212,73,199
12214,83,235
12215,80,206
12216,70,200
12217,59,172
12219,72,177
12221,387,2306
12222,157,302
12223,90,193
12225,87,183
12226,174,297
12227,186,372
12229,100,174
12230,140,199
12232,321,488
12233,102,158
12236,60,134
12237,50,155
12238,56,169
12241,50,180
12242,98,219
12243,85,293
12245,66,193
12246,38,105
12248,87,294
12251,39,113
12252,42,107
12259,67,79
12270,0,0
12271,240,461
12274,350,542
12278,35,68
12280,34,133
12281,45,109
12282,30,78
12283,59,152
12284,3,19
12285,13,40
12286,13,58
12288,467,816
12290,0,48
12291,41,134
12293,114,289
12295,19,73
12303,99,177
12305,262,448
12306,172,282
12307,219,333
12309,100,153
12310,116,175
12311,521,673
12312,317,439
12314,60,177
12315,61,176
12316,63,179
12317,62,194
12318,61,175
12319,42,155
12320,57,164
12321,46,166
12322,51,174
12323,56,140
12324,69,251
12325,61,197
12326,96,415
12327,88,284
12328,92,354
12329,26,81
12330,39,90
12331,59,175
12333,63,161
12339,0,0
12341,224,573
12342,0,19
12343,122,202
12344,83,203
12346,893,1023
12348,33,46
12349,2,27
12353,38,79
12354,183,305
12356,15,44
12358,54,138
12361,46,120
12362,61,114
12363,48,177
12364,68,236
12365,57,154
12366,57,180
12368,46,203
12369,43,142
12370,37,127
12372,42,126
12373,35,109
12377,41,132
12382,63,186
12383,47,116
12384,47,100
12387,36,58
12390,0,0
12391,288,683
12392,286,388
12393,113,227
12394,264,428
12395,15,49
12397,1,101
12398,164,348
12400,135,257
12401,84,182
12402,117,266
12409,28,47
12410,59,104
12412,112,118
12414,259,551
12415,169,258
12418,63,184
12419,51,237
12421,30,52
12423,2,16
12427,160,334
12428,281,388
12430,0,0
12431,131,270
12433,54,97
12434,156,268
12435,66,157
12436,133,266
12438,100,187
12439,155,295
12440,78,116
12442,13,47
12446,179,283
12447,168,265
12451,0,0
12452,27,88
12454,52,156
12455,64,160
12458,52,154
12459,65,167
12460,84,154
12461,65,157
12462,78,196
12463,60,169
12464,67,165
12465,57,148
12466,67,157
12467,55,132
12469,35,94
12473,174,478
12474,47,144
12475,87,303
12476,221,825
12488,1,12
12489,297,368
12491,130,229
12492,71,119
12494,0,3
12495,0,0
12496,198,560
12498,150,211
12499,191,360
12500,208,418
12501,226,329
12506,146,305
12509,129,258
12514,91,200
12515,104,231
12516,0,0
12517,0,36
12518,119,253
12521,253,353
12522,116,282
12523,205,284
12524,125,344
12525,107,171
12527,91,152
12529,116,252
12530,226,343
12531,114,212
12532,219,339
12533,132,271
12534,99,182
12538,128,192
12539,44,131
12540,145,211
12541,181,316
12542,194,300
12543,96,180
12544,40,87
12545,160,219
12546,134,229
12547,82,160
12548,201,313
12549,377,417
12550,384,568
12551,188,273
12552,74,155
12553,90,179
12554,118,230
12555,107,193
12557,165,330
12558,104,208
12561,64,123
12562,81,164
12563,131,257
12564,99,220
12567,101,203
12568,40,154
12569,40,97
12570,60,143
12572,123,192
12574,0,22
12577,466,1137
12578,2,23
12582,0,14
12588,46,194
12591,1096,2558
12595,0,1
12599,51,103
12600,128,199
12601,195,285
12602,119,166
12604,176,274
12605,674,815
12607,55,125
12608,34,95
12611,102,192
12616,27,76
12617,46,99
12618,88,205
12619,42,111
12623,32,69
12628,110,190
12629,162,333
12630,141,250
12632,172,296
12633,180,253
12634,133,217
12635,99,172
12636,355,627
12641,51,155
12642,73,205
12643,54,162
12644,75,242
12645,50,196
12646,40,110
12648,35,117
12649,53,141
12654,75,240
12656,1,17
12657,63,229
12658,59,169
12659,61,179
12660,0,0
12661,56,177
12662,2,37
12665,61,146
12668,136,222
12670,126,233
12671,104,227
12672,0,0
12673,157,271
12674,50,101
12676,159,183
12680,135,324
12682,34,76
12683,29,42
12684,6,56
12686,93,128
12691,89,196
12692,299,515
12694,64,263
12695,162,315
12700,66,156
12701,65,242
12702,51,267
12703,0,0
12704,0,0
12705,1,23
12706,55,187
12707,0,20
12715,104,238
12718,65,130
12720,121,261
12725,40,124
12727,7,21
12732,31,84
12733,57,165
12734,88,216
12735,58,163
12737,62,131
12738,60,199
12739,56,233
12740,83,180
12741,37,105
12742,52,129
12744,84,186
12745,52,142
12747,106,267
12749,12,22
12750,46,142
12751,164,507
12753,47,133
12754,69,234
12756,14,62
12757,30,115
12758,47,158
12759,0,0
12760,0,16
12769,183,304
12771,328,645
12772,202,347
12773,349,502
12774,260,514
12776,2,37
12777,555,756
12779,32,45
12780,61,188
12785,106,411
12786,61,161
12787,52,172
12788,86,199
12789,61,216
12790,27,71
12791,58,126
12792,56,130
12793,65,173
12794,57,164
12795,88,191
12796,72,180
12797,79,209
12798,36,93
12801,63,150
12802,49,127
12803,22,57
12805,87,213
12808,47,138
12811,101,228
12812,0,0
12813,60,145
12814,158,236
12816,147,215
12817,318,467
12818,112,172
12819,243,393
12820,425,590
12821,192,277
12822,336,643
12824,37,109
12825,43,118
12826,29,82
12827,56,154
12828,79,231
12829,39,103
12830,56,179
12831,0,0
12832,117,380
12833,217,706
12834,68,248
12838,62,155
12839,60,136
12840,61,168
12841,52,165
12842,69,165
12843,65,158
12844,63,156
12845,64,133
12846,63,181
12847,55,156
12848,20,61
12849,121,233
12851,77,207
12855,33,102
12860,9,29
12862,0,53
12863,71,113
12864,51,116
12865,49,101
12868,92,171
12870,117,278
12872,32,75
12873,32,77
12874,60,152
12875,52,132
12876,38,88
12877,92,265
12878,80,253
12879,113,388
12880,38,125
12881,40,147
12883,38,142
12884,8,16
12885,53,182
12886,69,164
12887,55,223
12888,47,194
12890,23,55
12891,45,137
12895,36,115
12896,49,111
12897,32,112
12898,31,79
12902,48,125
12906,0,0
12911,44,98
12913,0,134
12915,0,14
12918,33,70
12920,0,0
12921,78,119
12922,27,62
12923,191,315
12924,176,382
12927,22,72
12928,13,137
12934,118,213
12937,54,171
12938,31,96
12939,55,172
12940,73,164
12941,82,212
12942,49,152
12943,58,188
12944,44,124
12945,65,260
12946,50,178
12948,5,35
12949,59,267
12951,160,253
12958,170,262
12959,228,509
12960,77,131
12961,77,116
12962,85,173
12963,66,132
12964,110,167
12965,90,246
12967,209,569
12968,0,19
12969,103,287
12970,73,222
12971,28,92
12976,78,287
12985,92,192
12986,164,308
12987,57,130
12988,13,45
12989,51,201
12990,34,115
12991,69,237
12993,37,136
12994,38,121
12995,18,63
12996,41,100
12997,32,88
12998,53,154
12999,44,130
13003,74,263
13005,201,293
13013,59,204
13018,60,243
13020,106,257
13021,65,168
13022,58,145
13024,89,159
13025,42,105
13026,153,239
13027,109,184
13028,59,115
13029,84,125
13030,344,555
13033,200,336
13034,233,290
13035,143,249
13037,61,119
13038,57,184
13039,56,164
13043,86,287
13044,55,217
13046,40,138
13047,54,172
13048,99,273
13052,92,366
13054,65,242
13061,74,175
13063,89,146
13065,143,269
13066,177,213
13068,0,1
13072,81,158
13073,0,0
13074,69,138
13075,54,119
13076,98,117
13077,1,21
13078,118,196
13079,0,13
13080,0,20
13081,1,26
13082,1,15
13083,1188,2191
13085,163,280
13086,34,53
13087,161,468
13089,1,193
13096,29,145
13097,84,238
13098,52,195
13100,137,204
13103,63,134
13106,0,0
13107,137,425
13108,35,183
13112,299,685
13113,526,1083
13114,62,83
13115,347,666
13117,21,26
13119,183,310
13121,88,174
13124,0,0
13127,76,266
13129,14,38
13130,59,106
13131,69,151
13133,2,6
13134,50,143
13135,46,116
13136,65,268
13137,73,215
13138,188,396
13139,51,127
13142,123,275
13144,97,180
13146,81,199
13147,113,213
13148,114,201
13149,73,182
13150,58,180
13152,63,151
13153,75,179
13154,60,108
13155,74,146
13157,208,389
13158,0,0
13159,1,15
13160,0,0
13161,0,14
13162,0,0
13163,0,17
13164,0,0
13171,0,17
13175,58,153
13176,187,277
13177,0,0
13179,244,381
13182,10,94
13185,85,209
13186,72,142
13187,172,293
13189,0,0
13193,97,250
13198,31,71
13201,83,256
13204,41,109
13205,49,116
13206,19,42
13208,37,99
13210,53,126
13213,73,154
13214,115,143
13215,635,1018
13217,2,47
13218,0,8
13219,111,201
13221,101,146
13226,73,277
13227,94,285
13229,3,13
13230,176,210
13233,26,28
13235,0,0
13236,100,242
13238,90,227
13239,75,286
13240,50,224
13241,53,132
13244,2,14
13249,0,6
13259,35,93
13260,31,66
13261,82,176
13262,49,100
13263,32,62
13267,27,64
13269,52,127
13270,109,227
13271,53,140
13275,45,100
13277,384,671
13278,14,83
13280,43,76
13281,0,0
13282,81,186
13286,78,173
13287,76,202
13288,0,0
13289,58,166
13293,50,183
13297,263,363
13298,0,0
13300,124,262
13301,371,715
13302,295,359
13303,410,558
13304,480,1062
13305,263,423
13306,179,282
13307,0,0
13308,0,7
13309,106,173
13310,0,0
13314,1,79
13315,77,128
13317,103,263
13318,139,352
13319,21,62
13320,55,136
13323,434,733
13324,115,143
13325,37,86
13334,342,787
13336,381,557
13338,33,99
13339,62,158
13342,37,85
13344,49,127
13347,174,380
13348,204,309
13350,121,249
13354,288,463
13355,309,437
13357,273,349
13358,91,148
13360,500,828
13361,29,93
13362,258,581
13363,26,82
13365,62,125
13366,61,167
13368,79,247
13369,42,95
13370,0,0
13372,9,31
13374,132,230
13375,65,102
13376,0,96
13379,496,633
13381,440,584
13383,47,166
13384,0,0
13389,4,12
13393,69,200
13394,71,147
13395,28,79
