MAZ_NODE,TAZ_NODE,PUMA,COUNTY,county_name
10001,56,07511,1,San Francisco
10002,56,07511,1,San Francisco
10003,10,07511,1,San Francisco
10004,53,07511,1,San Francisco
10005,48,07511,1,San Francisco
10006,48,07511,1,San Francisco
10007,65,07511,1,San Francisco
10009,65,07511,1,San Francisco
10012,40,07511,1,San Francisco
10017,583,07507,1,San Francisco
10018,574,07510,1,San Francisco
10021,618,07507,1,San Francisco
10022,116,07507,1,San Francisco
10023,125,07511,1,San Francisco
10024,622,07507,1,San Francisco
10025,623,07507,1,San Francisco
10030,250,07508,1,San Francisco
10038,363,07509,1,San Francisco
10039,330,07507,1,San Francisco
10044,635,07513,1,San Francisco
10045,635,07513,1,San Francisco
10047,199,07513,1,San Francisco
10048,636,07513,1,San Francisco
10049,100,07507,1,San Francisco
10052,453,07513,1,San Francisco
10053,553,07507,1,San Francisco
10054,553,07507,1,San Francisco
10055,39,07510,1,San Francisco
10056,288,07510,1,San Francisco
10060,84,07510,1,San Francisco
10062,117,07507,1,San Francisco
10063,188,07507,1,San Francisco
10064,294,07507,1,San Francisco
10065,294,07507,1,San Francisco
10071,438,07514,1,San Francisco
10072,438,07514,1,San Francisco
10073,461,07514,1,San Francisco
10074,471,07514,1,San Francisco
10075,471,07514,1,San Francisco
10076,471,07514,1,San Francisco
10077,434,07514,1,San Francisco
10078,478,07514,1,San Francisco
10079,398,07509,1,San Francisco
10084,366,07514,1,San Francisco
10086,404,07509,1,San Francisco
10087,401,07509,1,San Francisco
10094,420,07511,1,San Francisco
10098,490,07512,1,San Francisco
10099,489,07512,1,San Francisco
10101,281,07512,1,San Francisco
10102,491,07512,1,San Francisco
10104,6,07511,1,San Francisco
10107,563,07511,1,San Francisco
10109,570,07511,1,San Francisco
10110,20,07511,1,San Francisco
10111,21,07511,1,San Francisco
10112,18,07511,1,San Francisco
10114,52,07511,1,San Francisco
10116,52,07511,1,San Francisco
10117,535,07513,1,San Francisco
10119,454,07513,1,San Francisco
10122,42,07507,1,San Francisco
10123,619,07507,1,San Francisco
10124,98,07507,1,San Francisco
10125,98,07507,1,San Francisco
10127,38,07510,1,San Francisco
10128,419,07510,1,San Francisco
10130,188,07507,1,San Francisco
10133,143,07512,1,San Francisco
10137,361,07509,1,San Francisco
10138,564,07510,1,San Francisco
10140,1,07511,1,San Francisco
10141,522,07514,1,San Francisco
10142,522,07514,1,San Francisco
10143,379,07514,1,San Francisco
10144,568,07510,1,San Francisco
10147,584,07508,1,San Francisco
10150,430,07514,1,San Francisco
10151,365,07514,1,San Francisco
10153,371,07514,1,San Francisco
10157,388,07509,1,San Francisco
10159,581,07510,1,San Francisco
10160,426,07514,1,San Francisco
10161,426,07514,1,San Francisco
10162,427,07514,1,San Francisco
10163,431,07514,1,San Francisco
10164,364,07514,1,San Francisco
10165,366,07514,1,San Francisco
10167,430,07514,1,San Francisco
10168,6,07511,1,San Francisco
10169,11,07511,1,San Francisco
10170,6,07511,1,San Francisco
10172,1,07511,1,San Francisco
10173,3,07511,1,San Francisco
10179,420,07511,1,San Francisco
10180,420,07511,1,San Francisco
10181,446,07511,1,San Francisco
10184,52,07511,1,San Francisco
10185,592,07509,1,San Francisco
10186,592,07509,1,San Francisco
10187,454,07513,1,San Francisco
10190,197,07507,1,San Francisco
10192,314,07507,1,San Francisco
10193,152,07511,1,San Francisco
10194,186,07507,1,San Francisco
10195,156,07507,1,San Francisco
10197,315,07507,1,San Francisco
10198,317,07507,1,San Francisco
10200,476,07508,1,San Francisco
10201,302,07512,1,San Francisco
10202,646,07511,1,San Francisco
10203,128,07513,1,San Francisco
10204,128,07513,1,San Francisco
10206,208,07512,1,San Francisco
10207,210,07512,1,San Francisco
10208,209,07512,1,San Francisco
10209,209,07512,1,San Francisco
10210,545,07508,1,San Francisco
10211,544,07508,1,San Francisco
10212,543,07508,1,San Francisco
10213,333,07508,1,San Francisco
10214,333,07508,1,San Francisco
10215,264,07508,1,San Francisco
10218,351,07509,1,San Francisco
10219,4,07509,1,San Francisco
10220,4,07509,1,San Francisco
10221,4,07509,1,San Francisco
10222,597,07510,1,San Francisco
10223,504,07512,1,San Francisco
10224,162,07513,1,San Francisco
10225,166,07513,1,San Francisco
10226,494,07512,1,San Francisco
10227,499,07512,1,San Francisco
10228,498,07512,1,San Francisco
10229,495,07512,1,San Francisco
10230,495,07512,1,San Francisco
10231,495,07512,1,San Francisco
10232,281,07512,1,San Francisco
