COUNTY,index,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual_military
1,0,81760,196363,95212,59516,52596
2,1,60969,140463,79148,46892,68218
3,2,138495,414841,176013,113310,157832
4,3,118550,310736,179274,100882,154661
5,4,81259,169106,124502,80224,117880
6,5,19988,44939,57409,30195,61182
7,6,9298,15300,14844,11010,17707
8,7,31967,59713,58106,38401,58702
9,8,24097,39251,26600,19122,17423
