County_FIPS,County_Name,2020_Census_Households,2023_ACS_Households,Scaling_Factor
001,Alameda,591636,0,0.0
013,Contra Costa,407029,0,0.0
041,Marin,104167,0,0.0
055,Napa,49738,0,0.0
075,San Francisco,371851,0,0.0
081,San Mateo,269417,0,0.0
085,Santa Clara,656063,0,0.0
095,Solano,155924,0,0.0
097,Sonoma,187701,0,0.0
