variable,total_control,total_result,total_diff,total_diff_pct,mae,rmse,mape,r_squared,perfect_matches,perfect_pct,taz_count
numhh_gq,2918556,2918582,26,0.0008908515032776483,0.0055178268251273345,0.37876575538624224,0.00018038008581651958,0.9999991698992368,4711,99.97877758913413,4712
hh_gq_university,50694,48681,-2013,-3.9708841282992067,1.0426570458404074,15.151197513005316,3.5739457271292316,0.9950233285007705,4572,97.02886247877758,4712
hh_gq_noninstitutional,74387,70532,-3855,-5.182357132294621,2.3143039049235994,11.476418947153952,7.036300125874506,0.9746167637155256,3211,68.14516129032258,4712
hh_size_1,914150,837887,-76263,-8.342503965432368,36.853777589134125,117.39832956384134,18.87898543299664,0.8180036990123032,146,3.0984719864176573,4712
hh_size_2,972432,893202,-79230,-8.147613406387284,38.74915110356537,124.74808231290383,18.526878601394465,0.5724353761074426,85,1.803904923599321,4712
hh_size_3,510692,476102,-34590,-6.773162689057201,19.475382003395584,49.54437139415642,21.585452702711137,0.7161415552869956,238,5.050933786078098,4712
hh_size_4,446230,420992,-25238,-5.655827712166372,17.816638370118845,45.08022936716566,24.073965230321754,0.7595418831142713,336,7.130730050933787,4712
hh_size_5,181861,174577,-7284,-4.005256762032541,7.3739388794567065,15.528165985700202,23.51472191033667,0.8756829970874852,1143,24.257215619694396,4712
hh_size_6_plus,120378,115822,-4556,-3.7847447207961586,6.15365025466893,15.924922006616175,27.302688692996423,0.8294244890376944,1823,38.688455008488965,4712
hh_wrks_0,610138,604692,-5446,-0.8925849561902389,18.60653650254669,29.7686965974957,21.136689555547626,0.9078061605188176,115,2.440577249575552,4712
hh_wrks_1,1020038,1021419,1381,0.13538711302912243,30.21286078098472,51.2901608762974,21.14836481784275,0.8987358850924381,77,1.634125636672326,4712
hh_wrks_2,884346,896723,12377,1.3995653285026448,25.57067062818336,40.88817361946464,18.69136594807186,0.909994397236023,91,1.931239388794567,4712
hh_wrks_3_plus,268013,276535,8522,3.1796965072589765,8.904499151103565,14.29551082966798,20.759330581609262,0.9231316985027034,347,7.364176570458405,4712
pers_age_00_19,1693504,1694222,718,0.04239730168927856,48.6795415959253,88.16222121507347,20.673895855450656,0.9046068657424201,49,1.0398981324278438,4712
pers_age_20_34,1577133,1578890,1757,0.11140468178650755,50.36863327674024,109.29217492186302,19.99955775405156,0.8600304766066268,55,1.1672325976230902,4712
pers_age_35_64,3093525,3093642,117,0.003782093243144956,94.53544142614601,137.19791867206175,26.328657086460677,0.8982340885145105,23,0.48811544991511036,4712
pers_age_65_plus,1251236,1252066,830,0.06633440853683878,38.00212224108659,54.951050914467636,23.02131392439896,0.9105075136056625,63,1.337011884550085,4712
hh_kids_yes,910632,851988,-58644,-6.439923042458425,33.17402376910017,87.91552078311919,20.578008514640565,0.7307095435651282,124,2.631578947368421,4712
hh_kids_no,2110053,1947381,-162672,-7.709379811786718,84.06706281833617,256.8629872665664,21.33211602577554,0.5320186617452,36,0.7640067911714771,4712
inc_lt_20k,233290,214161,-19129,-8.19966565219255,9.884762308998303,32.26277862413721,16.54623399559196,0.7720133085062097,1116,23.684210526315788,4712
inc_20k_45k,285989,265728,-20261,-7.08453821650483,11.136460101867572,31.046835341462167,18.049461423682008,0.770966234142582,723,15.343803056027165,4712
inc_45k_60k,176786,164802,-11984,-6.7788173271639165,6.950339558573854,21.78248505905714,16.79108665190257,0.7774346703972549,1210,25.67911714770798,4712
inc_60k_75k,177473,165479,-11994,-6.758211108168566,6.631154499151104,16.891456636433382,17.035544203577224,0.8505831273235804,1211,25.700339558573855,4712
inc_75k_100k,283923,265689,-18234,-6.4221637556661495,10.380305602716469,24.90370248142897,17.995176021843015,0.8294315576704155,648,13.752122241086587,4712
inc_100k_150k,486027,453261,-32766,-6.741600775265572,18.149405772495754,45.66488157400698,18.67303105470291,0.7414678290153879,297,6.303056027164685,4712
inc_150k_200k,378626,350462,-28164,-7.4384749066361,14.8106960950764,43.686430896585875,19.441190644445093,0.6969346389694481,399,8.46774193548387,4712
inc_200k_plus,998563,917098,-81465,-8.158223366978348,40.39367572156197,147.9975285722618,19.911370379317386,0.6236453309940174,207,4.393039049235993,4712
