id,total_pop_control,total_pop_result,total_pop_diff,total_pop_pct_error
127,1801.0,1830,29.0,1.6102165463631315
128,1538.0,1574,36.0,2.340702210663199
129,1105.0,1178,73.0,6.60633484162896
130,1772.0,1866,94.0,5.304740406320542
131,1317.0,1557,240.0,18.223234624145785
132,1338.0,1225,-113.0,-8.44544095665172
133,743.0,726,-17.0,-2.2880215343203227
134,2051.0,1764,-287.0,-13.993174061433447
135,1180.0,899,-281.0,-23.813559322033896
136,1240.0,1566,326.0,26.29032258064516
137,1351.0,1568,217.0,16.06217616580311
138,1549.0,1773,224.0,14.460942543576502
139,1190.0,833,-357.0,-30.0
140,1500.0,1282,-218.0,-14.533333333333335
141,672.0,879,207.0,30.80357142857143
142,1210.0,1243,33.0,2.727272727272727
143,839.0,868,29.0,3.4564958283671037
144,710.0,886,176.0,24.788732394366196
145,608.0,749,141.0,23.190789473684212
146,1713.0,1490,-223.0,-13.018096906012843
147,1757.0,1560,-197.0,-11.212293682413204
148,824.0,1114,290.0,35.19417475728155
149,717.0,855,138.0,19.246861924686193
150,749.0,673,-76.0,-10.14686248331108
151,1112.0,1176,64.0,5.755395683453238
152,2352.0,2114,-238.0,-10.119047619047619
153,1519.0,1380,-139.0,-9.150757077024359
154,2334.0,2608,274.0,11.739502999143102
155,871.0,908,37.0,4.247990815154994
156,2300.0,2040,-260.0,-11.304347826086957
157,1475.0,1271,-204.0,-13.830508474576272
158,714.0,1121,407.0,57.002801120448176
159,1698.0,1486,-212.0,-12.48527679623086
160,1587.0,1446,-141.0,-8.88468809073724
161,968.0,853,-115.0,-11.8801652892562
162,875.0,1350,475.0,54.285714285714285
163,1165.0,1170,5.0,0.4291845493562232
164,1500.0,1344,-156.0,-10.4
165,1007.0,989,-18.0,-1.787487586891758
166,1608.0,1375,-233.0,-14.490049751243781
167,1646.0,1167,-479.0,-29.100850546780073
168,1773.0,1503,-270.0,-15.228426395939088
169,689.0,866,177.0,25.689404934687953
170,922.0,949,27.0,2.928416485900217
171,482.0,702,220.0,45.643153526970956
172,1689.0,1721,32.0,1.8946121965660152
173,1478.0,1507,29.0,1.962110960757781
174,1102.0,1138,36.0,3.2667876588021776
175,1703.0,1342,-361.0,-21.197886083382265
176,1299.0,1153,-146.0,-11.239414934565051
177,725.0,770,45.0,6.206896551724138
178,835.0,966,131.0,15.68862275449102
179,849.0,945,96.0,11.307420494699647
180,1163.0,1544,381.0,32.76010318142734
181,1393.0,1506,113.0,8.111988513998563
182,1065.0,1087,22.0,2.0657276995305165
183,571.0,1019,448.0,78.45884413309983
184,1771.0,1603,-168.0,-9.486166007905137
185,1431.0,1614,183.0,12.78825995807128
186,1127.0,1044,-83.0,-7.364685004436557
187,938.0,981,43.0,4.584221748400854
188,666.0,740,74.0,11.11111111111111
189,1110.0,1063,-47.0,-4.234234234234234
190,1761.0,1903,142.0,8.063600227143668
191,1765.0,1694,-71.0,-4.022662889518413
192,539.0,519,-20.0,-3.710575139146568
193,2555.0,2399,-156.0,-6.105675146771037
194,2585.0,2478,-107.0,-4.13926499032882
195,3583.0,2876,-707.0,-19.73206809935808
196,1369.0,1776,407.0,29.72972972972973
197,1431.0,1417,-14.0,-0.9783368273934312
198,1424.0,1259,-165.0,-11.587078651685394
199,565.0,631,66.0,11.68141592920354
200,1530.0,1462,-68.0,-4.444444444444445
201,1373.0,1257,-116.0,-8.448652585579024
202,662.0,916,254.0,38.368580060422964
203,979.0,972,-7.0,-0.7150153217568949
204,1045.0,772,-273.0,-26.1244019138756
205,1395.0,1449,54.0,3.870967741935484
206,1083.0,1032,-51.0,-4.7091412742382275
207,1037.0,1103,66.0,6.364513018322084
208,1245.0,1437,192.0,15.421686746987953
209,996.0,1034,38.0,3.815261044176707
210,1748.0,1453,-295.0,-16.876430205949656
211,814.0,802,-12.0,-1.4742014742014742
212,1505.0,1666,161.0,10.69767441860465
213,1045.0,1258,213.0,20.382775119617225
214,1577.0,1622,45.0,2.8535193405199744
215,1051.0,1181,130.0,12.369172216936251
216,1285.0,1622,337.0,26.225680933852143
217,868.0,925,57.0,6.566820276497695
218,985.0,1064,79.0,8.020304568527918
219,1140.0,1389,249.0,21.842105263157897
220,1153.0,1414,261.0,22.63660017346054
221,1026.0,1175,149.0,14.5224171539961
222,1058.0,906,-152.0,-14.366729678638942
223,1664.0,1556,-108.0,-6.490384615384616
224,1930.0,1659,-271.0,-14.041450777202073
225,2551.0,1949,-602.0,-23.59858878871031
226,1327.0,1448,121.0,9.118311981914092
227,1019.0,1345,326.0,31.992149165848872
228,1212.0,1321,109.0,8.993399339933994
229,1484.0,1200,-284.0,-19.137466307277627
230,1036.0,1042,6.0,0.5791505791505791
231,1100.0,1213,113.0,10.272727272727272
232,578.0,1054,476.0,82.35294117647058
233,987.0,1359,372.0,37.68996960486322
234,873.0,1115,242.0,27.720504009163804
235,1271.0,1077,-194.0,-15.263571990558617
236,1813.0,1643,-170.0,-9.376723662437948
237,2077.0,1792,-285.0,-13.721714010592201
238,2089.0,1809,-280.0,-13.403542364767832
239,1699.0,1543,-156.0,-9.181871689228958
240,1771.0,1955,184.0,10.38961038961039
241,1062.0,1079,17.0,1.60075329566855
242,1250.0,1111,-139.0,-11.12
243,662.0,944,282.0,42.59818731117825
244,1818.0,1807,-11.0,-0.605060506050605
245,1616.0,1595,-21.0,-1.2995049504950495
246,554.0,608,54.0,9.747292418772563
247,1166.0,1145,-21.0,-1.8010291595197256
248,1330.0,1397,67.0,5.037593984962406
249,1084.0,1358,274.0,25.276752767527675
250,2251.0,2322,71.0,3.1541537094624608
251,1116.0,1233,117.0,10.483870967741936
252,1629.0,1662,33.0,2.0257826887661143
253,1180.0,1012,-168.0,-14.237288135593221
254,750.0,998,248.0,33.06666666666666
255,1742.0,1755,13.0,0.7462686567164178
256,1436.0,1364,-72.0,-5.013927576601671
257,1223.0,1260,37.0,3.025347506132461
258,1320.0,1060,-260.0,-19.696969696969695
259,1228.0,1444,216.0,17.58957654723127
260,1097.0,1210,113.0,10.300820419325433
261,970.0,1153,183.0,18.8659793814433
262,1657.0,1502,-155.0,-9.354254677127338
263,1689.0,1465,-224.0,-13.262285375962108
264,1455.0,1129,-326.0,-22.405498281786944
265,820.0,1179,359.0,43.78048780487805
266,645.0,990,345.0,53.48837209302325
267,815.0,868,53.0,6.5030674846625764
268,1110.0,1058,-52.0,-4.684684684684685
269,1420.0,1306,-114.0,-8.028169014084508
270,1612.0,1338,-274.0,-16.997518610421835
271,2770.0,2942,172.0,6.209386281588448
272,1333.0,1377,44.0,3.3008252063015755
273,886.0,973,87.0,9.81941309255079
274,2135.0,2171,36.0,1.6861826697892273
275,1146.0,1143,-3.0,-0.2617801047120419
276,1336.0,1445,109.0,8.158682634730539
277,1634.0,1374,-260.0,-15.911872705018359
278,809.0,1305,496.0,61.310259579728054
279,1810.0,411,-1399.0,-77.29281767955801
280,2271.0,1658,-613.0,-26.992514310876263
281,1163.0,1374,211.0,18.142734307824593
282,1293.0,1152,-141.0,-10.904872389791183
283,1129.0,1223,94.0,8.325952170062003
284,860.0,607,-253.0,-29.418604651162788
285,834.0,1335,501.0,60.07194244604317
286,1966.0,2409,443.0,22.533062054933875
287,694.0,1523,829.0,119.45244956772333
288,1801.0,813,-988.0,-54.85841199333703
289,2309.0,1290,-1019.0,-44.131658726721525
290,1644.0,1008,-636.0,-38.68613138686132
291,706.0,881,175.0,24.78753541076487
292,1006.0,1024,18.0,1.7892644135188867
293,1358.0,1249,-109.0,-8.026509572901325
294,2242.0,2627,385.0,17.172167707404103
295,1050.0,1202,152.0,14.476190476190476
296,1637.0,1237,-400.0,-24.434941967012826
297,849.0,1200,351.0,41.342756183745585
299,794.0,808,14.0,1.7632241813602016
300,1087.0,746,-341.0,-31.370745170193192
301,2326.0,2282,-44.0,-1.8916595012897677
302,2691.0,2392,-299.0,-11.11111111111111
303,662.0,789,127.0,19.184290030211482
304,805.0,820,15.0,1.8633540372670807
305,889.0,743,-146.0,-16.42294713160855
306,1257.0,1123,-134.0,-10.66030230708035
307,476.0,220,-256.0,-53.78151260504202
308,1327.0,1054,-273.0,-20.57272042200452
309,700.0,724,24.0,3.428571428571429
310,3084.0,2778,-306.0,-9.922178988326849
311,941.0,1290,349.0,37.088204038257174
313,1316.0,1019,-297.0,-22.56838905775076
314,2664.0,2238,-426.0,-15.99099099099099
315,2202.0,2616,414.0,18.80108991825613
316,2427.0,2681,254.0,10.46559538524928
317,2876.0,2117,-759.0,-26.39082058414465
318,2601.0,2268,-333.0,-12.802768166089965
319,1376.0,1633,257.0,18.677325581395348
320,1469.0,1518,49.0,3.3356024506466984
321,881.0,973,92.0,10.442678774120317
322,617.0,610,-7.0,-1.1345218800648298
323,1339.0,1254,-85.0,-6.348020911127707
324,2829.0,2823,-6.0,-0.2120890774125133
325,970.0,935,-35.0,-3.608247422680412
326,2089.0,2228,139.0,6.65390138822403
327,1157.0,1325,168.0,14.520311149524634
329,1410.0,1730,320.0,22.69503546099291
330,935.0,1191,256.0,27.379679144385026
331,1047.0,1424,377.0,36.007640878701054
332,1194.0,1153,-41.0,-3.433835845896147
333,888.0,1103,215.0,24.21171171171171
334,1155.0,1444,289.0,25.02164502164502
335,2315.0,2132,-183.0,-7.904967602591792
336,2295.0,2455,160.0,6.971677559912854
337,1989.0,1627,-362.0,-18.20010055304173
338,3017.0,2333,-684.0,-22.671528007954922
339,2328.0,2027,-301.0,-12.929553264604813
340,2955.0,3139,184.0,6.2267343485617594
341,946.0,1330,384.0,40.59196617336152
342,2026.0,2091,65.0,3.2082922013820334
343,1070.0,994,-76.0,-7.102803738317758
344,723.0,1260,537.0,74.27385892116183
345,1274.0,1306,32.0,2.511773940345369
346,606.0,724,118.0,19.471947194719473
347,2521.0,2097,-424.0,-16.818722729075763
349,1270.0,1560,290.0,22.83464566929134
350,1388.0,1720,332.0,23.919308357348704
351,1861.0,1537,-324.0,-17.40999462654487
352,550.0,645,95.0,17.272727272727273
353,1227.0,1245,18.0,1.466992665036675
354,1381.0,1045,-336.0,-24.33019551049964
355,926.0,1152,226.0,24.406047516198704
356,987.0,1090,103.0,10.435663627152989
357,994.0,1016,22.0,2.2132796780684103
358,1362.0,1579,217.0,15.932452276064609
359,640.0,738,98.0,15.312500000000002
360,2857.0,2413,-444.0,-15.540777038851944
361,1432.0,1500,68.0,4.748603351955307
362,2642.0,3694,1052.0,39.81831945495837
363,2507.0,2128,-379.0,-15.117670522536898
364,2045.0,2386,341.0,16.674816625916872
366,1454.0,1553,99.0,6.8088033012379645
367,1329.0,1438,109.0,8.20165537998495
368,1558.0,1722,164.0,10.526315789473683
369,1098.0,1176,78.0,7.103825136612022
370,1119.0,1177,58.0,5.183199285075961
371,518.0,895,377.0,72.77992277992279
372,1765.0,1902,137.0,7.762039660056658
373,2170.0,2124,-46.0,-2.1198156682027647
374,1374.0,1384,10.0,0.727802037845706
375,1351.0,1342,-9.0,-0.6661732050333087
376,459.0,400,-59.0,-12.854030501089325
377,1669.0,1893,224.0,13.421210305572199
378,1092.0,1425,333.0,30.494505494505496
379,1433.0,1344,-89.0,-6.210746685275645
380,1730.0,1578,-152.0,-8.786127167630058
381,1169.0,1343,174.0,14.884516680923868
382,1157.0,899,-258.0,-22.2990492653414
383,1687.0,1749,62.0,3.6751630112625966
384,1830.0,1716,-114.0,-6.229508196721312
385,821.0,1259,438.0,53.349573690621185
386,1684.0,1194,-490.0,-29.097387173396676
387,1020.0,1151,131.0,12.84313725490196
