MAZ,num_hh,total_pop,gq_pop,gq_military,gq_university,gq_other,numhh_gq
10001.0,104,130,0,0,0,0,104
10002.0,121,157,0,0,0,0,121
10003.0,131,112,0,0,0,0,131
10004.0,136,168,0,0,0,0,136
10005.0,117,161,0,0,0,0,117
10006.0,182,195,0,0,0,0,182
10007.0,330,373,0,0,0,0,330
10009.0,76,119,0,0,0,0,76
10012.0,573,660,0,0,0,0,573
10017.0,0,0,0,0,0,0,0
10018.0,0,45,0,0,0,0,0
10021.0,17,69,40,0,0,40,57
10022.0,61,127,19,0,0,19,80
10023.0,26,32,0,0,0,0,26
10024.0,102,159,0,0,0,0,102
10025.0,55,102,0,0,0,0,55
10030.0,364,406,0,0,0,0,364
10038.0,1179,896,128,0,0,128,1307
10039.0,163,276,0,0,0,0,163
10044.0,96,163,0,0,0,0,96
10045.0,103,173,0,0,0,0,103
10047.0,106,149,0,0,0,0,106
10048.0,139,299,0,0,0,0,139
10049.0,119,211,0,0,0,0,119
10052.0,42,103,0,0,0,0,42
10053.0,51,160,11,0,0,11,62
10054.0,104,219,0,0,0,0,104
10055.0,99,84,5,0,0,5,104
10056.0,789,839,0,0,0,0,789
10060.0,0,0,0,0,0,0,0
10062.0,90,152,0,0,0,0,90
10063.0,56,115,0,0,0,0,56
10064.0,0,0,0,0,0,0,0
10065.0,13,85,0,0,0,0,13
10071.0,64,107,0,0,0,0,64
10072.0,58,69,0,0,0,0,58
10073.0,133,170,0,0,0,0,133
10074.0,248,194,0,0,0,0,248
10075.0,200,286,103,0,0,103,303
10076.0,19,14,0,0,0,0,19
10077.0,172,192,0,0,0,0,172
10078.0,2,27,0,0,0,0,2
10079.0,479,581,0,0,0,0,479
10084.0,81,182,14,0,0,14,95
10086.0,0,0,0,0,0,0,0
10087.0,0,7,7,0,0,7,7
10094.0,168,221,0,0,0,0,168
10098.0,163,230,0,0,0,0,163
10099.0,125,179,0,0,0,0,125
10101.0,119,183,0,0,0,0,119
10102.0,172,250,0,0,0,0,172
10104.0,74,82,0,0,0,0,74
10107.0,163,210,1,0,0,1,164
10109.0,170,185,9,0,0,9,179
10110.0,575,685,0,0,0,0,575
10111.0,276,317,0,0,0,0,276
10112.0,223,248,0,0,0,0,223
10114.0,141,192,0,0,0,0,141
10116.0,191,195,0,0,0,0,191
10117.0,712,910,0,0,0,0,712
10119.0,157,286,0,0,0,0,157
10122.0,197,378,0,0,0,0,197
10123.0,0,8,8,0,0,8,8
10124.0,43,76,0,0,0,0,43
10125.0,97,205,11,0,0,11,108
10127.0,336,274,0,0,0,0,336
10128.0,571,620,0,0,0,0,571
10130.0,0,0,0,0,0,0,0
10133.0,123,191,0,0,0,0,123
10137.0,417,405,22,0,0,22,439
10138.0,746,638,13,0,0,13,759
10140.0,305,283,0,0,0,0,305
10141.0,204,253,13,0,0,13,217
10142.0,285,283,0,0,0,0,285
10143.0,312,291,0,0,0,0,312
10144.0,7,44,21,0,0,21,28
10147.0,923,1455,0,0,0,0,923
10150.0,123,129,0,0,0,0,123
10151.0,0,0,0,0,0,0,0
10153.0,0,0,0,0,0,0,0
10157.0,259,266,0,0,0,0,259
10159.0,6,30,1,0,0,1,7
10160.0,289,243,0,0,0,0,289
10161.0,261,223,0,0,0,0,261
10162.0,310,245,0,0,0,0,310
10163.0,179,136,0,0,0,0,179
10164.0,123,142,0,0,0,0,123
10165.0,242,224,0,0,0,0,242
10167.0,301,294,0,0,0,0,301
10168.0,161,201,0,0,0,0,161
10169.0,114,134,0,0,0,0,114
10170.0,0,5,5,0,0,5,5
10172.0,356,364,0,0,0,0,356
10173.0,190,167,0,0,0,0,190
10179.0,316,292,0,0,0,0,316
10180.0,104,140,0,0,0,0,104
10181.0,108,92,0,0,0,0,108
10184.0,61,78,0,0,0,0,61
10185.0,4,68,68,68,0,0,72
10186.0,0,0,0,0,0,0,0
10187.0,223,278,0,0,0,0,223
10190.0,123,188,0,0,0,0,123
10192.0,72,130,0,0,0,0,72
10193.0,98,148,0,0,0,0,98
10194.0,67,112,0,0,0,0,67
10195.0,85,141,11,0,0,11,96
10197.0,97,157,0,0,0,0,97
10198.0,149,271,0,0,0,0,149
10200.0,221,191,0,0,0,0,221
10201.0,74,91,0,0,0,0,74
10202.0,163,209,0,0,0,0,163
10203.0,35,47,0,0,0,0,35
10204.0,78,107,0,0,0,0,78
10206.0,95,149,0,0,0,0,95
10207.0,102,136,0,0,0,0,102
10208.0,90,147,0,0,0,0,90
10209.0,108,190,0,0,0,0,108
10210.0,314,389,0,0,0,0,314
10211.0,168,212,0,0,0,0,168
10212.0,183,234,0,0,0,0,183
10213.0,125,159,0,0,0,0,125
10214.0,177,229,0,0,0,0,177
10215.0,364,386,0,0,0,0,364
10218.0,122,110,0,0,0,0,122
10219.0,1213,2195,111,0,0,111,1324
10222.0,0,14,14,0,0,14,14
