county_id,county_name,total_pop_control,total_pop_result,total_pop_diff,total_pop_diff_pct
1,San Francisco,836336.0,862496,26160.0,3.1279294446251265
2,San Mateo,745066.0,752911,7845.0,1.052926854802125
3,Santa Clara,1903326.0,1905972,2646.0,0.1390198000762875
4,Alameda,1652079.0,1647576,-4503.0,-0.2725656581797844
5,Contra Costa,1161334.0,1172077,10743.0,0.9250568742497852
6,Solano,444994.0,449173,4179.0,0.9391137858038535
7,Napa,136178.0,138911,2733.0,2.006932103570327
8,Sonoma,485643.0,497484,11841.0,2.4382107844651317
9,Marin,258772.0,254639,-4133.0,-1.597158888906064
