MAZ,gq_num_hh,gq_type_univ,gq_type_mil,gq_type_othnon
10273,0.83,0.00,0.00,0.83
10274,0.00,0.00,0.00,0.00
10275,0.00,0.00,0.00,0.00
10276,0.00,0.00,0.00,0.00
10277,58.26,0.00,0.00,58.26
10278,0.00,0.00,0.00,0.00
10279,0.00,0.00,0.00,0.00
10280,5.83,0.00,0.00,5.83
10281,0.00,0.00,0.00,0.00
10282,0.00,0.00,0.00,0.00
10283,0.00,0.00,0.00,0.00
10284,0.00,0.00,0.00,0.00
10287,0.83,0.00,0.00,0.83
10288,0.00,0.00,0.00,0.00
10289,8.32,0.00,0.00,8.32
10290,10.82,0.00,0.00,10.82
10292,0.00,0.00,0.00,0.00
10295,0.00,0.00,0.00,0.00
10300,13.32,0.00,0.00,13.32
10302,0.00,0.00,0.00,0.00
10308,0.00,0.00,0.00,0.00
10309,0.00,0.00,0.00,0.00
10310,0.00,0.00,0.00,0.00
10312,0.00,0.00,0.00,0.00
10313,0.00,0.00,0.00,0.00
10315,0.00,0.00,0.00,0.00
10316,0.00,0.00,0.00,0.00
10317,7.49,0.00,0.00,7.49
10321,0.00,0.00,0.00,0.00
10322,0.00,0.00,0.00,0.00
10323,0.00,0.00,0.00,0.00
10324,0.00,0.00,0.00,0.00
10325,0.00,0.00,0.00,0.00
10326,0.00,0.00,0.00,0.00
10327,0.00,0.00,0.00,0.00
10328,0.00,0.00,0.00,0.00
10329,0.00,0.00,0.00,0.00
10330,0.00,0.00,0.00,0.00
10331,0.00,0.00,0.00,0.00
10333,0.00,0.00,0.00,0.00
10334,0.00,0.00,0.00,0.00
10335,0.00,0.00,0.00,0.00
10336,0.00,0.00,0.00,0.00
10337,0.00,0.00,0.00,0.00
10338,0.00,0.00,0.00,0.00
10340,0.00,0.00,0.00,0.00
10341,0.00,0.00,0.00,0.00
10344,0.00,0.00,0.00,0.00
10347,0.00,0.00,0.00,0.00
10349,0.00,0.00,0.00,0.00
10350,0.00,0.00,0.00,0.00
10351,0.00,0.00,0.00,0.00
10352,0.00,0.00,0.00,0.00
10353,0.00,0.00,0.00,0.00
10355,0.00,0.00,0.00,0.00
10358,0.00,0.00,0.00,0.00
10359,0.00,0.00,0.00,0.00
10368,0.00,0.00,0.00,0.00
10369,0.00,0.00,0.00,0.00
10370,0.00,0.00,0.00,0.00
10372,0.00,0.00,0.00,0.00
10373,0.00,0.00,0.00,0.00
10375,0.00,0.00,0.00,0.00
10376,0.00,0.00,0.00,0.00
10377,0.00,0.00,0.00,0.00
10378,0.00,0.00,0.00,0.00
10380,0.83,0.00,0.00,0.83
10384,2.50,0.00,0.00,2.50
10385,0.00,0.00,0.00,0.00
10386,0.00,0.00,0.00,0.00
10388,0.00,0.00,0.00,0.00
10390,0.00,0.00,0.00,0.00
10392,0.00,0.00,0.00,0.00
10394,7.49,0.00,0.00,7.49
10395,3.33,0.00,0.00,3.33
10398,0.00,0.00,0.00,0.00
10399,2.50,0.00,0.00,2.50
10400,0.00,0.00,0.00,0.00
10401,0.00,0.00,0.00,0.00
10402,0.00,0.00,0.00,0.00
10403,0.00,0.00,0.00,0.00
10405,0.00,0.00,0.00,0.00
10411,0.00,0.00,0.00,0.00
10413,0.83,0.00,0.00,0.83
10414,0.00,0.00,0.00,0.00
10416,0.00,0.00,0.00,0.00
10417,0.00,0.00,0.00,0.00
10418,0.00,0.00,0.00,0.00
10419,0.00,0.00,0.00,0.00
10420,0.00,0.00,0.00,0.00
10421,0.00,0.00,0.00,0.00
10424,0.00,0.00,0.00,0.00
10425,2.50,0.00,0.00,2.50
10427,0.00,0.00,0.00,0.00
10428,0.00,0.00,0.00,0.00
10429,0.00,0.00,0.00,0.00
10430,0.00,0.00,0.00,0.00
10431,0.00,0.00,0.00,0.00
10432,14.15,0.00,0.00,14.15
10433,0.00,0.00,0.00,0.00
10434,0.83,0.00,0.00,0.83
10435,0.00,0.00,0.00,0.00
10436,0.00,0.00,0.00,0.00
10437,0.00,0.00,0.00,0.00
10438,0.00,0.00,0.00,0.00
10440,0.00,0.00,0.00,0.00
10441,0.00,0.00,0.00,0.00
10443,0.00,0.00,0.00,0.00
10444,0.00,0.00,0.00,0.00
10445,0.00,0.00,0.00,0.00
10446,0.00,0.00,0.00,0.00
