control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,297679,297676.1495302933,297676.1490420123,297679.0,297676.1490420123,297679,297676.1490420123,297710
gq_pop,9352,9355.119734617221,9355.629452136118,9356.0,9355.629452136118,9305,9355.629452136118,8919
gq_military,0,0.40004102558126775,0.4000493234276982,0.0,0.40004932342769817,0,0.40004932342769817,0
gq_university,900,368.3209474016304,368.3589477477117,368.0,368.35894774771174,341,368.3589477477118,341
gq_other,8452,8986.79878721559,8987.270504388405,8988.0,8987.270504388405,8964,8987.270504388405,8578
hh_size_1,65702,73049.56389807264,73298.66676806287,73298.0,73298.66676806286,73293,73298.66676806286,73314
hh_size_2,87899,96521.7991442511,96548.51579001868,96552.0,96548.51579001866,96464,96548.51579001866,96525
hh_size_3,48433,52978.09852616924,52923.67428823257,52925.0,52923.67428823256,52939,52923.67428823256,52941
hh_size_4_plus,69493,75126.68796180043,74905.29219569819,74904.0,74905.29219569819,74983,74905.29219569819,74930
hh_wrks_0,54302,58042.2268752968,58489.51988966182,58488.0,58489.51988966182,58538,58489.51988966182,58586
hh_wrks_1,96619,103674.98909994664,103946.40462779236,103949.0,103946.40462779238,103874,103946.40462779239,103865
hh_wrks_2,92600,98604.69195236987,97925.29055542783,97927.0,97925.29055542781,97744,97925.29055542783,97809
hh_wrks_3_plus,27995,27999.12186800285,27959.30451678727,27959.0,27959.30451678727,28040,27959.304516787273,28026
pers_age_00_19,162831,162843.03955888722,162849.22396770626,162851.0,162849.22396770626,162922,162849.22396770626,162877
pers_age_20_34,146156,147234.9381267711,147289.06878636772,147292.0,147289.06878636772,147418,147289.06878636772,147374
pers_age_35_64,307192,309584.6270573684,309889.85767182685,309896.0,309889.8576718269,309891,309889.85767182685,310012
pers_age_65_plus,128887,129741.37983884125,130101.15273318766,130097.0,130101.15273318766,130268,130101.15273318766,130097
hh_kids_yes,83432,91798.4613165117,91776.18447019176,91777.0,91776.18447019177,91739,91776.18447019177,91721
hh_kids_no,188096,205877.68821378174,205899.9645718205,205902.0,205899.96457182054,205940,205899.96457182054,205989
pers_occ_management,60969,98108.87621773683,64294.69939926106,64294.0,64294.69939926105,64373,64294.69939926105,64365
pers_occ_professional,140463,131575.9667756775,148415.08435571156,148419.0,148415.08435571156,148390,148415.0843557116,148405
pers_occ_services,79148,53891.15852586568,80660.86842690037,80664.0,80660.86842690039,80685,80660.86842690037,80690
pers_occ_retail,46892,61118.91144738597,48289.36056829586,48290.0,48289.36056829585,48380,48289.36056829585,48391
pers_occ_manual_military,68218,48243.04086877427,69768.7395228003,69770.0,69768.73952280027,69797,69768.73952280027,69899
inc_lt_20k,14891,15722.345117349074,15726.965240157442,15727.0,15726.96524015744,15703,15726.96524015744,15672
inc_20k_45k,23147,24511.69554011554,24517.344888926036,24518.0,24517.34488892604,24511,24517.34488892604,24521
inc_45k_60k,14185,14958.855537342144,14961.713587236285,14959.0,14961.713587236287,14882,14961.713587236287,14918
inc_60k_75k,15224,16089.251327753043,16091.305797401317,16091.0,16091.305797401319,16074,16091.305797401319,16102
inc_75k_100k,22713,23911.765628507834,23914.53091417923,23915.0,23914.53091417923,23891,23914.53091417923,23881
inc_100k_150k,41797,44229.45051335996,44233.624959502886,44235.0,44233.62495950288,44243,44233.62495950288,44269
inc_150k_200k,34150,36045.6658504741,36043.7323139944,36044.0,36043.7323139944,36015,36043.732313994406,36037
inc_200k_plus,105431,112852.00028071446,112831.3018882717,112834.0,112831.3018882717,112877,112831.3018882717,112886
