control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,120100,120101.82883736762,120101.82725721048,120100.0,120101.82725721049,120794,120101.82725721049,120794
gq_pop,7743,7677.475964198181,7677.572164417687,7677.0,7677.572164417688,7480,7677.572164417688,7156
gq_military,0,0.10000109930069673,0.10000037902698974,0.0,0.10000037902698979,0,0.10000037902698979,0
gq_university,628,622.945141099751,622.9156306723221,623.0,622.915630672322,603,622.9156306723222,600
gq_other,7115,7054.53082309843,7054.656533745366,7054.0,7054.656533745367,6877,7054.656533745367,6556
hh_size_1,38032,37181.090711810626,37164.82431798584,37166.0,37164.82431798585,37123,37164.82431798584,37004
hh_size_2,45203,42778.89910811913,42796.41278319735,42793.0,42796.41278319736,43032,42796.41278319736,43170
hh_size_3,19389,17690.49516513141,17688.15237723335,17688.0,17688.152377233346,17844,17688.152377233346,17874
hh_size_4_plus,25409,22451.343852306432,22452.43777879394,22453.0,22452.43777879394,22795,22452.43777879394,22746
hh_wrks_0,36195,31166.827946005407,31504.155602945924,31504.0,31504.155602945928,31679,31504.155602945928,31721
hh_wrks_1,46451,40824.41536634468,40744.024283492035,40744.0,40744.02428349203,41095,40744.024283492035,41263
hh_wrks_2,37013,32068.209199768142,31805.309863724236,31804.0,31805.309863724236,32013,31805.309863724236,32084
hh_wrks_3_plus,8380,8364.900361051188,8370.765342630608,8371.0,8370.765342630608,8486,8370.765342630608,8449
pers_age_00_19,56704,56721.67068803272,56721.86973659779,56724.0,56721.86973659779,57533,56721.86973659779,57455
pers_age_20_34,34055,35189.616765415274,35224.19655021116,35221.0,35224.19655021116,35409,35224.19655021116,35365
pers_age_35_64,107821,111619.68089974763,111669.67873898169,111672.0,111669.67873898169,112652,111669.67873898169,112773
pers_age_65_plus,60192,62084.78147947322,62016.11310546574,62012.0,62016.113105465745,62529,62016.113105465745,62509
hh_kids_yes,35267,33487.472240571005,33488.10783719444,33489.0,33488.10783719444,33884,33488.10783719444,33914
hh_kids_no,92763,86614.35659679658,86613.71942001606,86611.0,86613.71942001604,86910,86613.71942001604,86880
pers_occ_management,24097,37494.46417036749,23947.532491452035,23948.0,23947.532491452035,24297,23947.53249145204,24344
pers_occ_professional,39251,39869.977548697614,38941.198431442615,38940.0,38941.19843144262,39368,38941.19843144262,39365
pers_occ_services,26600,16891.553275862712,26287.329514245263,26287.0,26287.329514245263,26374,26287.329514245263,26420
pers_occ_retail,19122,24354.072613758697,18820.514349693,18820.0,18820.514349693003,18957,18820.514349693003,18991
pers_occ_manual_military,17423,11866.563132803994,17007.4972101433,17007.0,17007.497210143298,17156,17007.497210143298,17171
inc_lt_20k,8763,7559.757525004808,7557.980688169937,7558.0,7557.980688169938,7588,7557.980688169938,7583
inc_20k_45k,12002,10521.201711068245,10520.698385295196,10521.0,10520.698385295196,10584,10520.698385295196,10643
inc_45k_60k,8061,6954.042926434779,6953.931008894894,6954.0,6953.931008894893,6977,6953.931008894893,6976
inc_60k_75k,7559,6611.793219556436,6611.472826388108,6611.0,6611.472826388109,6608,6611.472826388108,6599
inc_75k_100k,12842,11177.083638660859,11175.486264590714,11176.0,11175.486264590712,11175,11175.486264590712,11205
inc_100k_150k,17989,15589.459632860073,15590.966867631634,15590.0,15590.966867631632,15723,15590.966867631632,15741
inc_150k_200k,14448,12603.02879639824,12603.173933798678,12603.0,12603.173933798676,12692,12603.173933798676,12706
inc_200k_plus,46365,41407.985423185986,41410.545118023634,41410.0,41410.54511802365,41876,41410.54511802365,42003
