control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh,416210.0,416301.1782258822,416297.73453877703,416273.0,416297.734538777,416342,416297.734538777,416552
numhh_gq,423087.0,423113.5699413852,423112.77289274347,423087.0,423112.77289274335,423087,423112.77289274335,423092
hh_gq_university,1494.0,1512.9995462204924,1515.590490846405,1516.0,1515.590490846405,1462,1515.590490846405,1442
hh_gq_noninstitutional,5337.0,5299.392169282497,5299.447863119985,5298.0,5299.4478631199845,5283,5299.4478631199845,5098
hh_size_1,92726.0,92232.2564418545,92329.53683791027,92324.0,92329.53683791029,92210,92329.53683791029,92442
hh_size_2,131287.0,130390.6083207337,130424.07211506696,130419.0,130424.07211506697,130406,130424.07211506697,130414
hh_size_3,75114.0,74366.4955573442,74344.49067581301,74339.0,74344.490675813,74427,74344.490675813,74416
hh_size_4,68285.0,67655.2424210142,67616.28532481867,67616.0,67616.28532481869,67695,67616.28532481869,67696
hh_size_5,31358.0,31022.33654482988,30983.609513116517,30978.0,30983.609513116517,31035,30983.609513116517,31019
hh_size_6_plus,20845.0,20634.238940105675,20599.740072051532,20597.0,20599.740072051536,20569,20599.740072051536,20565
hh_wrks_0,96896.0,96357.81730472972,96958.0056079627,96956.0,96958.0056079627,97047,96958.0056079627,97318
hh_wrks_1,151173.0,149893.19560657768,150054.84700004983,150044.0,150054.84700004983,150060,150054.8470000498,150040
hh_wrks_2,130090.0,129084.40777086513,128495.21104778448,128483.0,128495.21104778448,128496,128495.21104778445,128459
hh_wrks_3_plus,41459.0,40965.75754370953,40789.67088297999,40790.0,40789.670882980005,40739,40789.670882980005,40735
pers_age_00_19,285157.0,285104.1619527373,285114.04210744635,285096.0,285114.0421074464,285311,285114.0421074464,285268
pers_age_20_34,208013.0,207984.7135858935,207994.71221728218,207973.0,207994.7122172822,208069,207994.7122172822,208016
pers_age_35_64,474358.0,474252.63465364027,474271.51828553376,474243.0,474271.5182855339,474368,474271.51828553376,474262
pers_age_65_plus,193806.0,193811.9147623063,193820.94717518892,193806.0,193820.9471751889,193822,193820.9471751889,193912
hh_kids_yes,147540.0,145834.53543838617,145837.94136653485,145832.0,145837.94136653488,145949,145837.94136653488,145988
hh_kids_no,272081.0,270466.6427874959,270459.79317224206,270441.0,270459.7931722421,270393,270459.7931722421,270564
pers_occ_management,81259.0,119205.29585957939,81945.58552776462,81938.0,81945.5855277646,81973,81945.5855277646,81880
pers_occ_professional,169106.0,148409.20847027947,170271.75996592751,170264.0,170271.75996592751,170308,170271.75996592751,170224
pers_occ_services,124502.0,89293.02271556387,124679.92074297255,124672.0,124679.92074297255,124713,124679.92074297258,124769
pers_occ_retail,80224.0,101676.81381173446,80554.72296968981,80549.0,80554.72296968981,80598,80554.72296968981,80565
pers_occ_manual_military,117880.0,91947.04796608583,117964.26863865482,117957.0,117964.26863865483,117961,117964.26863865483,117963
inc_lt_20k,29751.0,29426.83944639279,29394.746187140492,29392.0,29394.746187140496,29340,29394.746187140496,29347
inc_20k_45k,40978.0,40444.351194426294,40397.7078488846,40392.0,40397.7078488846,40368,40397.7078488846,40411
inc_45k_60k,26425.0,26207.568205091957,26180.0989091013,26180.0,26180.098909101303,26148,26180.098909101303,26175
inc_60k_75k,26920.0,26658.330473952814,26629.57582837604,26630.0,26629.575828376044,26631,26629.575828376044,26665
inc_75k_100k,43219.0,42766.11240741222,42729.80435591543,42730.0,42729.804355915425,42710,42729.804355915425,42711
inc_100k_150k,75128.0,74464.610575889,74388.36632527203,74381.0,74388.36632527203,74390,74388.36632527203,74367
inc_150k_200k,57360.0,56843.27234840174,56796.78469193105,56788.0,56796.78469193104,56816,56796.78469193104,56763
inc_200k_plus,119838.0,119228.6117156694,119198.95231799287,119195.0,119198.95231799287,119221,119198.95231799287,119121
