control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh,192733.0,192813.96707662143,192816.36711173406,192814.0,192816.36711173411,193096,192816.36711173411,193307
numhh_gq,199127.0,199132.1146489727,199132.5446198939,199127.0,199132.5446198939,199229,199132.5446198939,199451
hh_gq_university,2950.0,2914.065635773036,2912.4906658218315,2911.0,2912.4906658218315,2762,2912.4906658218315,2886
hh_gq_noninstitutional,3402.0,3404.0819365782427,3403.6868423379674,3402.0,3403.686842337967,3371,3403.686842337967,3258
hh_size_1,53275.0,52821.043663618555,52803.72399731465,52802.0,52803.72399731465,52828,52803.72399731465,52992
hh_size_2,67855.0,67619.2642641873,67614.93759552742,67613.0,67614.93759552743,67718,67614.93759552743,67699
hh_size_3,29419.0,29405.617387905473,29405.937437342338,29407.0,29405.937437342338,29494,29405.937437342338,29524
hh_size_4,26017.0,26101.595471109125,26110.969436111674,26112.0,26110.969436111674,26189,26110.969436111674,26199
hh_size_5,10635.0,10713.039264143967,10720.454512160602,10723.0,10720.454512160602,10742,10720.454512160602,10755
hh_size_6_plus,6102.0,6153.40702565702,6160.34413327743,6157.0,6160.34413327743,6125,6160.34413327743,6138
hh_wrks_0,52998.0,52890.130005395775,52798.413784708224,52798.0,52798.41378470822,52957,52798.413784708224,53021
hh_wrks_1,66904.0,66694.49636917352,66668.17080678322,66667.0,66668.17080678322,66760,66668.17080678322,66814
hh_wrks_2,55507.0,55363.51488355666,55431.63870583649,55431.0,55431.63870583648,55476,55431.63870583648,55487
hh_wrks_3_plus,17893.0,17865.825818495494,17918.143814406187,17918.0,17918.143814406183,17903,17918.143814406183,17985
pers_age_00_19,105589.0,105547.13889403784,105545.61637785239,105542.0,105545.61637785236,105586,105545.61637785236,105747
pers_age_20_34,86412.0,86368.85852342723,86368.86484443842,86363.0,86368.86484443842,86442,86368.86484443842,86722
pers_age_35_64,191837.0,191765.61555842165,191762.24224257484,191752.0,191762.24224257484,191871,191762.24224257484,191958
pers_age_65_plus,101805.0,101776.55679815792,101773.54462091328,101773.0,101773.54462091328,101974,101773.54462091328,101943
hh_kids_yes,53028.0,52930.69913781786,52926.39907331225,52927.0,52926.39907331225,52935,52926.39907331225,53011
hh_kids_no,140277.0,139883.26793880356,139889.96803842185,139887.0,139889.96803842188,140161,139889.96803842185,140296
pers_occ_management,31967.0,44879.23819042894,31910.481136576553,31910.0,31910.481136576556,31966,31910.481136576556,31968
pers_occ_professional,59713.0,54850.32535585973,59604.686752660666,59607.0,59604.68675266067,59679,59604.68675266067,59720
pers_occ_services,58106.0,45092.03262393966,58008.16859788559,58007.0,58008.1685978856,58010,58008.168597885604,58175
pers_occ_retail,38401.0,47895.902195884846,38324.26684699704,38314.0,38324.266846997045,38377,38324.266846997045,38360
pers_occ_manual_military,58702.0,47916.19109225206,58602.837926223874,58604.0,58602.83792622388,58647,58602.83792622388,58743
inc_lt_20k,15042.0,15005.628010501372,15000.91699138091,15000.0,15000.91699138091,14997,15000.91699138091,15015
inc_20k_45k,22995.0,22925.46754960176,22919.985493403212,22918.0,22919.98549340321,22936,22919.98549340321,22965
inc_45k_60k,15468.0,15426.947879875766,15423.95336136767,15422.0,15423.95336136767,15406,15423.95336136767,15410
inc_60k_75k,15845.0,15799.356202250785,15795.365756591591,15795.0,15795.36575659159,15807,15795.36575659159,15832
inc_75k_100k,24675.0,24585.411756532692,24582.158721606527,24584.0,24582.158721606524,24625,24582.158721606524,24631
inc_100k_150k,37298.0,37164.064777156884,37157.35947855496,37156.0,37157.35947855496,37195,37157.35947855496,37217
inc_150k_200k,25354.0,25284.1101737223,25279.88930544539,25283.0,25279.889305445395,25314,25279.889305445395,25280
inc_200k_plus,36631.0,36502.70312293177,36498.045063146295,36495.0,36498.0450631463,36539,36498.0450631463,36569
