control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh,371860.0,374118.5788803673,374155.1339177455,373781.0,374155.13391774555,373801,374155.13391774555,374009
numhh_gq,395675.0,396124.21842111094,396101.9682230163,395675.0,396101.9682230164,395675,396101.9682230164,395703
hh_gq_university,6487.0,5910.391796073224,5853.043356059629,5851.0,5853.043356059628,5820,5853.043356059628,5839
hh_gq_noninstitutional,17326.0,16095.247744670483,16093.790949211187,16043.0,16093.790949211185,16054,16093.790949211185,15855
hh_size_1,170765.0,145708.19204528007,145906.57794782627,145766.0,145906.57794782627,145325,145906.57794782627,145472
hh_size_2,150447.0,119587.09902785743,119289.62393281375,119151.0,119289.62393281376,119300,119289.62393281376,119312
hh_size_3,58164.0,47923.01036281257,47797.66311615428,47757.0,47797.66311615428,47894,47797.66311615428,47908
hh_size_4,43583.0,35852.21384200793,36048.02797928196,36013.0,36048.02797928195,36216,36048.02797928195,36250
hh_size_5,14967.0,13419.725246962525,13494.173133813629,13478.0,13494.17313381363,13513,13494.17313381363,13532
hh_size_6_plus,13288.0,11628.33835544669,11619.067807855632,11616.0,11619.067807855636,11553,11619.067807855636,11535
hh_wrks_0,97985.0,85273.81622018295,84386.508461927,84309.0,84386.508461927,84370,84386.508461927,84715
hh_wrks_1,177356.0,144125.94938459375,143711.48378240725,143579.0,143711.48378240727,143544,143711.48378240727,143344
hh_wrks_2,139596.0,113025.07308263074,113714.49121362937,113578.0,113714.49121362936,113459,113714.49121362936,113560
hh_wrks_3_plus,36257.0,31693.740192959805,32342.650459781897,32315.0,32342.65045978189,32428,32342.65045978189,32390
pers_age_00_19,126832.0,126060.27668923016,126091.50953417733,125990.0,126091.50953417734,126348,126091.50953417736,126131
pers_age_20_34,218033.0,217980.8749439674,218077.33078435293,217861.0,218077.33078435296,218264,218077.33078435296,218423
pers_age_35_64,347863.0,347255.4828893942,347381.47071386833,347043.0,347381.4707138683,347057,347381.4707138683,347067
pers_age_65_plus,143608.0,143438.03137237072,143462.2837396764,143293.0,143462.2837396764,143462,143462.2837396764,143735
hh_kids_yes,83913.0,73071.32830399025,73128.55629651897,73068.0,73128.55629651899,73234,73128.55629651899,73060
hh_kids_no,367299.0,301047.250576377,301026.5776212266,300713.0,301026.57762122655,300567,301026.57762122655,300949
pers_occ_management,81760.0,134287.0803614091,81237.77056445199,81132.0,81237.770564452,81357,81237.77056445199,81407
pers_occ_professional,196363.0,176834.9221436501,194558.85822562408,194356.0,194558.85822562408,194126,194558.85822562408,194055
pers_occ_services,95212.0,62165.82794810143,93115.25862821132,93045.0,93115.25862821132,93090,93115.25862821132,93037
pers_occ_retail,59516.0,74243.23364555305,58648.58278604984,58589.0,58648.58278604984,58750,58648.58278604985,58938
pers_occ_manual_military,52596.0,38369.24233832049,51019.69023617461,50971.0,51019.6902361746,50992,51019.69023617462,50943
inc_lt_20k,49420.0,41569.98246445705,41483.87692483051,41443.0,41483.87692483051,41359,41483.87692483051,41232
inc_20k_45k,43194.0,36397.52273240695,36355.38787811536,36318.0,36355.38787811536,36297,36355.38787811536,36384
inc_45k_60k,22983.0,19147.681467544986,19106.77471936323,19096.0,19106.77471936323,19110,19106.77471936323,19157
inc_60k_75k,20914.0,17880.490635821636,17867.94779656072,17851.0,17867.947796560722,17805,17867.947796560722,17782
inc_75k_100k,35654.0,30814.627722143272,30822.04077385077,30791.0,30822.04077385077,30862,30822.04077385077,30909
inc_100k_150k,59448.0,49815.18987863973,49828.36928001677,49772.0,49828.36928001678,49734,49828.36928001678,49786
inc_150k_200k,51644.0,42728.48005992241,42755.19181757749,42720.0,42755.19181757749,42702,42755.19181757749,42678
inc_200k_plus,167954.0,135719.39411400084,135887.39428068063,135740.0,135887.39428068063,135724,135887.39428068063,135695
