control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh,165536.0,165440.76949732448,165439.68376190122,165480.0,165439.68376190125,165522,165439.68376190125,165601
numhh_gq,168073.0,168022.3997137921,168025.1588772024,168073.0,168025.15887720243,168073,168025.15887720243,168073
hh_gq_university,874.0,897.3516626500545,899.2185890358217,900.0,899.2185890358218,878,899.2185890358218,872
hh_gq_noninstitutional,1647.0,1684.2785538175822,1686.2565262653516,1693.0,1686.2565262653516,1673,1686.2565262653516,1600
hh_size_1,38834.0,40725.94738727431,41164.216574148115,41171.0,41164.216574148115,41012,41164.216574148115,41045
hh_size_2,50687.0,52536.262425505796,52728.30548871087,52739.0,52728.305488710874,52693,52728.305488710874,52691
hh_size_3,27259.0,28262.207225939605,28211.44962352114,28219.0,28211.44962352114,28297,28211.44962352114,28301
hh_size_4,22107.0,22733.64440689464,22567.75315022386,22573.0,22567.753150223867,22663,22567.753150223867,22693
hh_size_5,12428.0,12705.93342517733,12557.358658999563,12565.0,12557.358658999567,12635,12557.358658999567,12631
hh_size_6_plus,8488.0,8476.774626532791,8210.600266297664,8213.0,8210.600266297666,8222,8210.600266297666,8240
hh_wrks_0,41872.0,43254.553383635,43549.95193731151,43555.0,43549.95193731151,43583,43549.95193731151,43482
hh_wrks_1,57696.0,59862.46436437036,60005.46080614355,60023.0,60005.46080614354,59971,60005.46080614354,60081
hh_wrks_2,44853.0,46506.23755003142,46363.55186733848,46376.0,46363.55186733848,46422,46363.55186733848,46477
hh_wrks_3_plus,15280.0,15817.5141992877,15520.719151107704,15526.0,15520.719151107705,15546,15520.719151107704,15561
pers_age_00_19,109365.0,109443.29307074289,109506.03145033235,109544.0,109506.03145033238,109837,109506.03145033238,109925
pers_age_20_34,89571.0,89644.36881436328,89684.96178204233,89709.0,89684.96178204234,89759,89684.96178204234,89892
pers_age_35_64,170615.0,170779.15444537927,170873.94122662404,170940.0,170873.941226624,171144,170873.941226624,171254
pers_age_65_plus,75443.0,75501.65590597919,75553.03516359847,75561.0,75553.03516359847,75639,75553.03516359846,75472
hh_kids_yes,51392.0,53422.96140655292,53383.23097614475,53399.0,53383.230976144754,53540,53383.230976144754,53610
hh_kids_no,108310.0,112017.80809077155,112056.45278575647,112081.0,112056.4527857565,111982,112056.4527857565,111991
pers_occ_management,21231.0,29323.996340487283,21378.15282470303,21388.0,21378.15282470303,21403,21378.15282470303,21447
pers_occ_professional,47736.0,44619.55673293823,48046.309166744235,48063.0,48046.309166744235,48087,48046.309166744235,48117
pers_occ_services,60981.0,39757.20046613607,61364.03442202133,61375.0,61364.03442202134,61452,61364.03442202134,61532
pers_occ_retail,32073.0,42562.33060015788,32269.481893074342,32287.0,32269.481893074342,32322,32269.481893074342,32336
pers_occ_manual_military,64989.0,51879.99854086709,65405.203074325924,65420.0,65405.20307432594,65490,65405.20307432594,65597
inc_lt_20k,13590.0,14109.506934513749,14024.708363360627,14026.0,14024.708363360627,13997,14024.708363360627,13993
inc_20k_45k,18711.0,19400.81561936985,19274.62348030859,19276.0,19274.623480308594,19229,19274.623480308594,19228
inc_45k_60k,13977.0,14415.596125565015,14326.973833427908,14329.0,14326.973833427908,14320,14326.973833427908,14315
inc_60k_75k,12389.0,12834.3957636423,12750.714959232406,12753.0,12750.714959232406,12745,12750.714959232406,12720
inc_75k_100k,21841.0,22476.525856735803,22340.10835067771,22346.0,22340.108350677718,22379,22340.108350677718,22339
inc_100k_150k,33174.0,34248.23639672399,34023.34610073015,34032.0,34023.34610073016,34056,34023.34610073016,34060
inc_150k_200k,20245.0,20872.53418393223,20764.89963575386,20775.0,20764.89963575386,20797,20764.89963575386,20808
inc_200k_plus,25932.0,26749.73187983773,26531.712820194098,26541.0,26531.712820194094,26577,26531.712820194094,26614
