control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh_gq,720240.0,720162.0062159759,720146.3676411478,720240.0,720146.3676411477,720240,720146.3676411477,720240
hh_gq_university,7776.0,7816.092548464414,7821.260478057475,7823.0,7821.260478057473,7846,7821.260478057473,7805
hh_gq_noninstitutional,8548.0,8536.008636252476,8540.775837432428,8545.0,8540.775837432428,8485,8540.775837432428,8170
hh_size_1,188568.05,183469.2797602954,183308.1300665936,183320.0,183308.13006659364,182802,183308.13006659364,182705
hh_size_2,219225.0,216193.06405893332,216218.7881717625,216235.0,216218.78817176254,215981,216218.78817176254,216132
hh_size_3,129808.0,128674.20643766368,128858.32942278276,128872.0,128858.32942278276,128955,128858.32942278276,128886
hh_size_4,117669.0,116973.77665269667,117113.66190763057,117140.0,117113.6619076306,117363,117113.6619076306,117288
hh_size_5,46136.0,45970.0763644911,46141.00520561285,46155.0,46141.00520561285,46719,46141.00520561285,47201
hh_size_6_plus,29898.0,28881.602941895617,28506.45286676544,28518.0,28506.45286676544,28420,28506.452866765438,28028
hh_wrks_0,122467.0,125136.13793568316,127216.70386565577,127231.0,127216.70386565581,127262,127216.70386565581,127607
hh_wrks_1,260768.0,263686.27860465035,264593.117952482,264617.0,264593.117952482,264387,264593.117952482,264409
hh_wrks_2,237636.0,240081.96645192613,238354.82547664188,238378.0,238354.82547664185,238336,238354.82547664185,238322
hh_wrks_3_plus,73890.0,74905.52203899939,73619.68403087823,73646.0,73619.68403087823,73924,73619.68403087823,73927
pers_age_00_19,447922.0,448227.6166137096,448505.9036435954,448621.0,448505.9036435953,449614,448505.9036435953,449486
pers_age_20_34,420459.0,419572.2802772123,419154.0318241784,419220.0,419154.0318241784,419523,419154.0318241784,419453
pers_age_35_64,761015.0,762127.4927185887,761297.0074980658,761422.0,761297.0074980659,762305,761297.0074980659,762301
pers_age_65_plus,273930.0,274237.34949421266,274064.8943957126,274109.0,274064.89439571253,274530,274064.89439571253,274738
hh_kids_yes,230832.0,235181.22676350796,234963.82887124957,235014.0,234963.8288712495,235343,234963.8288712495,235413
hh_kids_no,463925.0,468628.678267751,468820.5024544084,468858.0,468820.5024544084,468566,468820.5024544084,468852
pers_occ_management,138495.0,217278.94923437308,140243.63110428557,140269.0,140243.63110428557,140442,140243.63110428557,140357
pers_occ_professional,414841.0,400734.8551902141,419455.0031179504,419503.0,419455.00311795034,419161,419455.00311795034,419214
pers_occ_services,176013.0,126142.30226754188,177392.05500665808,177413.0,177392.05500665813,177790,177392.05500665813,177803
pers_occ_retail,113310.0,144098.51346576496,114445.66689758604,114484.0,114445.66689758607,114634,114445.66689758607,114652
pers_occ_manual_military,157832.0,123507.17610863775,158844.70412831084,158876.0,158844.70412831084,159112,158844.70412831084,159195
inc_lt_20k,41580.0,41529.83052624996,41538.367283017484,41539.0,41538.367283017484,41481,41538.367283017484,41510
inc_20k_45k,54006.0,54412.44148367084,54408.44488330223,54421.0,54408.44488330223,54417,54408.44488330223,54519
inc_45k_60k,33111.0,33332.20931694697,33336.14576045106,33336.0,33336.14576045106,33334,33336.145760451065,33357
inc_60k_75k,34829.0,35065.413065632696,35071.77933477369,35073.0,35071.77933477369,35007,35071.77933477369,35069
inc_75k_100k,57369.0,57930.7522544641,57931.28938745054,57937.0,57931.289387450546,57972,57931.289387450546,57976
inc_100k_150k,105850.0,106570.10818989956,106563.09705259722,106578.0,106563.09705259724,106551,106563.09705259724,106599
inc_150k_200k,88572.0,88601.96325476289,88616.29811819083,88631.0,88616.29811819083,88704,88616.29811819083,88652
inc_200k_plus,279437.0,280935.8081406367,280980.10731709434,281016.0,280980.1073170944,280893,280980.1073170944,280799
