MAZ,num_hh,hh_size_1,hh_size_2,hh_size_3,hh_size_4_plus,gq_num_hh,gq_type_univ,gq_type_mil,gq_type_othnon
10001,58,25,24,5,4,0,0,0,0
10002,61,15,23,13,10,0,0,0,0
10003,71,26,36,5,4,0,0,0,0
10004,71,20,25,14,12,0,0,0,0
10005,76,26,30,10,10,0,0,0,0
10006,97,42,35,13,7,0,0,0,0
10007,161,80,50,28,3,0,0,0,0
10009,41,11,12,10,8,0,0,0,0
10012,383,113,138,84,48,0,0,0,0
10017,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0
10021,5,3,1,1,0,0,0,0,0
10022,33,11,11,3,8,20,0,0,20
10023,10,5,1,3,1,0,0,0,0
10024,47,11,9,5,22,0,0,0,0
10025,34,8,5,9,12,0,0,0,0
10030,192,79,67,23,23,0,0,0,0
10038,517,473,30,9,5,5,0,0,5
10039,92,17,23,7,45,0,0,0,0
10044,50,15,5,7,23,0,0,0,0
10045,40,8,12,7,13,0,0,0,0
10047,59,19,16,10,14,0,0,0,0
10048,67,7,19,15,26,0,0,0,0
10049,54,8,10,10,26,0,0,0,0
10052,27,2,10,3,12,16,0,0,16
10053,27,4,4,2,17,0,0,0,0
10054,59,9,8,9,33,0,0,0,0
10055,79,40,23,16,0,3,0,0,3
10056,358,136,177,41,4,0,0,0,0
10060,0,0,0,0,0,1,0,0,1
10062,48,16,13,4,15,0,0,0,0
10063,25,4,3,6,12,0,0,0,0
10064,0,0,0,0,0,0,0,0,0
10065,28,5,9,5,9,0,0,0,0
10071,50,18,11,13,8,0,0,0,0
10072,32,6,19,3,4,0,0,0,0
10073,94,43,28,12,11,0,0,0,0
10074,96,45,40,6,5,0,0,0,0
10075,98,46,29,13,10,0,0,0,0
10076,14,2,6,4,2,0,0,0,0
10077,97,47,28,8,14,0,0,0,0
10078,0,0,0,0,0,0,0,0,0
10079,321,103,105,60,53,0,0,0,0
10084,0,0,0,0,0,17,0,0,17
10086,4,0,0,0,4,0,0,0,0
10087,0,0,0,0,0,1,0,0,1
10094,98,30,50,13,5,0,0,0,0
10098,98,26,30,20,22,0,0,0,0
10099,83,10,34,21,18,0,0,0,0
10101,75,13,17,15,30,0,0,0,0
10102,93,20,33,16,24,0,0,0,0
10104,38,14,17,6,1,0,0,0,0
10107,86,25,36,12,13,0,0,0,0
10109,99,31,42,16,10,23,0,0,23
10110,332,130,78,55,69,0,0,0,0
10111,137,40,50,25,22,0,0,0,0
10112,111,50,38,14,9,0,0,0,0
10114,83,33,30,11,9,0,0,0,0
10116,93,41,33,14,5,0,0,0,0
10117,323,85,103,64,71,0,0,0,0
10119,70,11,13,13,33,0,0,0,0
10122,88,17,11,14,46,0,0,0,0
10123,0,0,0,0,0,0,0,0,0
