MAZ,TAZ,ACRES,HH,POP,ag,art_rec,constr,eat,ed_high,ed_k12,ed_oth,fire,gov,health,hotel,info,lease,logis,man_bio,man_hvy,man_lgt,man_tech,natres,prof,ret_loc,ret_reg,serv_bus,serv_pers,serv_soc,transp,unclass,util,emp_total,publicEnrollGradeKto8,publicEnrollGrade9to12,privateEnrollGradeKto8,privateEnrollGrade9to12,comm_coll_enroll
10063,188,5.924840494,25,92,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,11,0,0,0,0,0
10064,294,25.25736003,0,0,0,0,47,2,3,0,0,90,0,62,0,7,22,75,0,5,7,11,0,98,2,14,21,50,65,2,7,15,605,0,0,0,0,0
10065,294,4.793840163,28,86,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,55,250,0,0,0,0
10071,438,7.45812803,50,122,0,0,5,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,13,0,0,3,0,40,0,0,445,0,0
10072,438,3.804183985,32,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10073,461,3.558808558,94,194,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10074,471,3.893636054,96,170,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,59,0,0,0,250,0
10075,471,3.75130348,98,197,0,0,0,4,0,0,43,2,0,153,0,0,0,0,0,0,0,0,0,5,9,0,1,1,0,0,0,0,218,0,0,0,0,0
10076,471,3.947752084,14,37,0,0,0,34,0,0,0,10,0,119,0,0,0,4,0,0,0,0,0,16,12,0,0,18,21,0,11,0,245,0,0,0,0,0
10077,434,3.788616359,97,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10078,478,3.680878508,0,0,0,4,3,0,0,0,3,0,0,246,0,0,0,0,0,0,1,0,0,5,11,0,7,13,0,0,0,0,293,0,0,0,0,0
10079,398,3.60056933,321,777,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0
10084,366,70.12103211,0,0,0,115,0,104,0,0,1,0,0,15,22,10,0,0,0,0,0,0,0,4,7,0,0,136,0,0,7,0,421,0,0,0,0,0
10086,404,2.526897397,4,21,0,0,3,5,0,0,0,295,0,0,0,67,0,0,0,0,5,0,0,559,5,9,0,16,0,0,3,0,967,0,0,0,0,0
10087,401,5.041439536,0,0,0,30,124,49,2,0,0,833,28,60,0,58,0,52,0,5,537,0,0,293,37,26,109,127,17,14,47,2,2450,0,0,0,0,0
10094,420,5.833164478,98,196,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,2,0,0,0,0,14,0,0,0,0,0
10098,490,4.921840637,98,264,0,0,0,11,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,4,19,0,0,0,43,0,0,0,0,0
10099,489,4.999431658,83,238,0,0,0,16,0,0,0,22,0,0,0,0,0,0,0,0,21,0,0,0,5,2,0,13,0,0,0,0,79,0,0,0,0,0
10101,281,4.847709088,75,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,491,5.245301295,93,263,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0
10104,6,2.283251706,38,71,0,0,0,0,0,0,0,0,55,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0
10107,563,5.932994964,86,203,0,0,11,7,0,48,0,14,0,0,0,3,0,3,0,0,2,0,0,4,0,26,0,37,0,1,0,0,156,0,0,15,0,0
10109,570,2.344780892,99,217,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,21,0,0,0,0,0
10110,20,6.969354018,332,821,0,13,0,35,0,0,0,0,0,13,3,7,0,0,0,0,3,0,0,0,48,0,2,23,0,0,0,0,147,0,0,0,0,0
10111,21,2.663299447,137,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10112,18,4.316927198,111,216,0,27,0,64,0,0,0,1,0,4,0,0,0,3,0,0,11,0,0,3,35,0,8,26,0,0,0,0,182,0,0,0,0,0
10114,52,5.157331857,83,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,21,0,0,0,0,0
10116,52,4.222038815,93,176,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10117,535,25.5575928,323,864,0,0,8,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,833,0,0,0,0,0
10119,454,4.801253317,70,253,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,89,0,0,0,0,0
10122,42,6.880149054,88,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10123,619,9.320806749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,11,0,0,0,28,0,0,0,0,22,7,0,160,0,0,0,0,0
10124,98,4.28974563,17,63,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0
10125,98,4.298147205,48,157,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,16,0,0,0,0,0
10127,38,4.257621959,40,64,0,0,4,0,0,0,0,17,0,0,0,3,0,1,0,0,0,0,0,63,0,0,0,0,0,0,0,0,88,0,0,0,0,0
10128,419,13.63822816,345,664,0,56,31,9,11,0,0,38,0,23,4,633,0,17,11,0,66,7,0,253,48,104,35,18,0,4,7,0,1375,0,0,0,0,0
10130,188,4.460495298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10133,143,4.859323031,68,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10137,361,3.907968153,216,302,0,0,0,18,0,87,0,2,0,21,9,0,0,0,0,0,0,0,0,12,9,0,0,4,0,16,0,0,178,0,0,0,0,0
10138,564,9.616591629,334,423,0,0,2,48,0,0,0,11,0,1,409,2,0,0,0,0,0,0,0,20,7,0,17,74,3,0,0,0,594,0,0,0,0,0
10140,1,2.87259752,139,248,0,0,8,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,11,0,0,0,0,58,0,0,0,0,0
10141,522,3.949234715,114,276,0,0,0,87,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,8,116,0,0,5,4,3,0,0,228,0,0,0,0,0
10142,522,3.965296551,158,297,0,0,0,18,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,36,0,0,0,0,0
10143,379,3.955906555,148,332,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,12,0,0,0,0,0
10144,568,15.60394973,80,87,0,62,55,752,144,22,12,113,8,0,321,260,0,53,0,20,22,0,0,70,2304,2006,16,87,39,0,11,0,6377,0,0,0,0,0
10147,584,572.8886099,74,260,0,159,50,56,0,110,18,791,350,71,12,406,1,26,0,5,510,0,20,219,125,70,93,331,355,652,330,0,4760,0,0,0,0,0
10150,430,3.86472475,56,113,0,0,0,47,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,93,0,0,0,0,0
10151,365,24.93958279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,8,0,0,0,0,0
