county_name,COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military
Alameda,4,79477,197689,162016,97948,133682,618
Contra Costa,5,60334,125385,112439,74522,97579,0
Marin,9,19829,37202,26395,21490,19341,0
Napa,7,8058,12256,14304,10466,18923,0
San Francisco,1,57758,140999,100330,79309,56367,0
San Mateo,2,46767,98450,82960,55990,70559,0
Santa Clara,3,108163,282774,166926,118051,155724,0
Solano,6,16960,37680,50569,28372,46477,908
Sonoma,8,23825,45228,54117,40332,54762,372
