control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,176764,176762.65678586529,176762.65898898273,176764.0,176762.65898898273,178022,176762.65898898273,177906
gq_pop,11135,10940.377711935198,10940.713381079222,10940.0,10940.713381079218,9473,10940.713381079218,7694
gq_military,917,33.19995157630853,33.19996552806527,33.0,33.19996552806526,2,33.19996552806526,0
gq_university,823,40.954024878932145,40.95369062766152,41.0,40.95369062766153,51,40.95369062766153,42
gq_other,9395,10899.423687056267,10899.75969045156,10899.0,10899.759690451558,9422,10899.759690451556,7652
hh_size_1,38929,44039.7549615963,44141.01643708721,44142.0,44141.0164370872,43047,44141.016437087215,41758
hh_size_2,50813,56443.530641879326,56440.26043575881,56439.0,56440.260435758806,57273,56440.260435758806,58002
hh_size_3,27305,29888.65980310666,29853.316322171453,29854.0,29853.316322171453,30305,29853.316322171453,30393
hh_size_4_plus,43071,46390.711379283035,46328.065793965245,46329.0,46328.06579396524,47397,46328.06579396524,47753
hh_wrks_0,41981,43404.35071218381,43264.77612127145,43267.0,43264.77612127143,43803,43264.77612127144,44080
hh_wrks_1,57849,60275.35953549338,60337.04955581217,60337.0,60337.049555812155,61206,60337.049555812155,61670
hh_wrks_2,44971,46810.23460620112,46912.81915249236,46910.0,46912.81915249236,47814,46912.81915249236,48475
hh_wrks_3_plus,15331,15332.334205774034,15307.300707267807,15310.0,15307.300707267807,15655,15307.300707267807,15735
pers_age_00_19,109365,109381.28022744182,109382.3090775028,109385.0,109382.3090775028,111967,109382.3090775028,112725
pers_age_20_34,89571,90929.78026297185,90873.78939104153,90874.0,90873.78939104154,92223,90873.78939104154,92565
pers_age_35_64,170615,173226.73284868046,173246.8051862995,173250.0,173246.80518629952,175629,173246.80518629952,176284
pers_age_65_plus,75443,76660.22885091872,76839.5871412312,76846.0,76839.5871412312,77899,76839.5871412312,78199
hh_kids_yes,51523,56858.11213402928,56857.113576883516,56857.0,56857.11357688352,57846,56857.11357688352,58107
hh_kids_no,108608,119904.54465183608,119905.54541209918,119907.0,119905.54541209918,120176,119905.54541209918,119799
pers_occ_management,19988,29398.94589168494,20730.57699081688,20731.0,20730.57699081688,21331,20730.57699081688,21423
pers_occ_professional,44939,44093.46647949633,46512.959245968595,46515.0,46512.9592459686,47397,46512.9592459686,47728
pers_occ_services,57409,37813.42087825649,59209.652984385255,59213.0,59209.652984385255,60093,59209.652984385255,60633
pers_occ_retail,30195,42687.95485768341,31041.757426949614,31042.0,31041.75742694961,31641,31041.757426949614,32080
pers_occ_manual_military,61182,50748.07941399429,63039.7874253466,63038.0,63039.7874253466,64000,63039.7874253466,64722
inc_lt_20k,13610,14164.500009499048,14168.519439128188,14167.0,14168.519439128188,14181,14168.519439128188,14327
inc_20k_45k,18739,19480.468436918258,19482.740468181568,19483.0,19482.74046818157,19646,19482.74046818157,19749
inc_45k_60k,13994,14462.857115877352,14463.998968244718,14464.0,14463.998968244718,14575,14463.998968244718,14734
inc_60k_75k,12403,12881.424241333043,12881.934814042412,12882.0,12881.934814042408,12998,12881.934814042408,13114
inc_75k_100k,21879,22569.180640480656,22569.47444298145,22570.0,22569.47444298145,22990,22569.47444298145,23188
inc_100k_150k,33244,34406.850229315954,34404.91731568802,34404.0,34404.91731568802,34959,34404.91731568802,35261
inc_150k_200k,20279,20967.424189528963,20965.510271550276,20968.0,20965.510271550284,21524,20965.510271550284,21706
inc_200k_plus,25983,26889.572793662453,26884.824334620775,26886.0,26884.824334620767,27558,26884.824334620767,27827
