COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military,gq_tot_pop
4,117929.0,293274,241498,144201.0,198358.0,916.0,27432
5,83713.0,173930,156725,102654.0,135389.0,0.0,5523
9,31234.0,58589,41792,33630.0,30465.0,0.0,3072
7,11862.0,18038,21159,15301.0,27857.0,0.0,2305
1,96794.0,236257,168941,132089.0,94464.0,0.0,21091
2,57254.0,120504,102035,68049.0,86380.0,0.0,5925
3,232398.0,607458,360604,251606.0,334587.0,0.0,23503
6,12633.0,28059,37816,20981.0,34620.0,677.0,2822
8,19266.0,36567,43953,32414.0,44282.0,301.0,6898
