COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military,gq_tot_pop
4,125539,312197,262966.0,147609,211158,976.0,36242
5,89189,185308,170835.0,105511,144245,0.0,7297
9,29146,54673,40012.0,30366,28429,0.0,4050
7,12094,18390,22106.0,15066,28401,0.0,3046
1,116075,283317,207451.0,153541,113279,0.0,27873
2,62672,131910,114335.0,71847,94555,0.0,7808
3,284140,742706,453039.0,295501,409083,0.0,31034
6,13253,29435,40455.0,21224,36317,709.0,3722
8,20303,38536,47356.0,33123,46666,317.0,9100
