MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
116520,48,12,14,6,16,7300,961,100368,2304,81,2,San Mateo
117812,0,0,0,0,0,7918,961,100368,2304,81,2,San Mateo
114960,0,0,0,0,0,6546,961,100368,2304,81,2,San Mateo
114961,0,0,0,0,0,6547,961,100368,2304,81,2,San Mateo
118692,0,0,0,0,0,8332,961,100368,2304,81,2,San Mateo
116241,0,0,0,0,0,7165,961,100368,2304,81,2,San Mateo
112238,1,1,0,0,0,5221,961,100368,2304,81,2,San Mateo
115301,4,1,1,1,1,6720,961,100368,2304,81,2,San Mateo
112108,0,0,0,0,0,5168,961,100368,2304,81,2,San Mateo
114023,1,1,0,0,0,6091,961,100368,2304,81,2,San Mateo
118693,0,0,0,0,0,8333,961,100368,2304,81,2,San Mateo
111412,2,1,1,0,0,4851,860,100254,2304,81,2,San Mateo
110615,0,0,0,0,0,4452,860,100254,2304,81,2,San Mateo
111556,0,0,0,0,0,4917,860,100254,2304,81,2,San Mateo
116247,3,0,0,0,3,7166,985,100394,2304,81,2,San Mateo
112652,1,0,0,0,1,5416,985,100394,2304,81,2,San Mateo
113307,0,0,0,0,0,5737,1005,100423,2304,81,2,San Mateo
112697,17,6,7,2,2,5443,1005,100423,2304,81,2,San Mateo
117540,0,0,0,0,0,7784,1005,100423,2304,81,2,San Mateo
118862,0,0,0,0,0,8411,1005,100423,2304,81,2,San Mateo
116037,63,20,30,6,7,7068,1005,100423,2304,81,2,San Mateo
113313,1,1,0,0,0,5740,1005,100423,2304,81,2,San Mateo
114582,46,15,22,4,5,6365,1005,100423,2304,81,2,San Mateo
118865,48,15,24,4,5,8413,1005,100423,2304,81,2,San Mateo
116962,2,1,1,0,0,7502,1005,100423,2304,81,2,San Mateo
112752,96,31,45,9,11,5472,1005,100423,2304,81,2,San Mateo
113318,399,130,186,37,46,5741,1005,100423,2304,81,2,San Mateo
114578,0,0,0,0,0,6362,858,100251,2304,81,2,San Mateo
110465,12,2,2,1,7,4374,985,100394,2304,81,2,San Mateo
118150,186,31,63,34,58,8077,1005,100423,2304,81,2,San Mateo
111758,11,2,2,2,5,5011,1005,100423,2304,81,2,San Mateo
110462,79,14,25,15,25,4371,1005,100423,2304,81,2,San Mateo
112649,44,8,15,8,13,5415,1005,100423,2304,81,2,San Mateo
116970,33,6,11,6,10,7504,1005,100423,2304,81,2,San Mateo
117656,73,12,25,13,23,7839,1005,100423,2304,81,2,San Mateo
116323,76,15,24,11,26,7204,1013,100434,2304,81,2,San Mateo
113866,105,21,33,15,36,6008,1013,100434,2304,81,2,San Mateo
117952,36,7,11,4,14,7984,1013,100434,2304,81,2,San Mateo
113310,53,10,17,7,19,5739,1013,100434,2304,81,2,San Mateo
112851,38,7,12,5,14,5506,1013,100434,2304,81,2,San Mateo
116969,34,7,11,4,12,7503,1013,100434,2304,81,2,San Mateo
117661,62,12,19,9,22,7842,1013,100434,2304,81,2,San Mateo
116035,57,10,18,11,18,7066,1005,100423,2304,81,2,San Mateo
111752,76,13,25,14,24,5010,1005,100423,2304,81,2,San Mateo
112506,12,2,4,2,4,5351,1005,100423,2304,81,2,San Mateo
112646,74,12,26,13,23,5414,1005,100423,2304,81,2,San Mateo
117954,35,6,12,6,11,7985,1005,100423,2304,81,2,San Mateo
117657,27,5,8,5,9,7840,1005,100423,2304,81,2,San Mateo
113607,57,21,17,8,11,5889,858,100251,2304,81,2,San Mateo
114576,28,11,8,4,5,6361,858,100251,2304,81,2,San Mateo
110460,806,307,243,109,147,4370,858,100251,2304,81,2,San Mateo
116032,21,8,6,3,4,7065,858,100251,2304,81,2,San Mateo
117752,25,8,8,4,5,7890,858,100251,2304,81,2,San Mateo
110464,5,1,2,1,1,4373,858,100251,2304,81,2,San Mateo
116188,38,6,13,7,12,7136,1005,100423,2304,81,2,San Mateo
112691,18,3,6,4,5,5440,1005,100423,2304,81,2,San Mateo
116180,34,6,11,4,13,7135,1013,100434,2304,81,2,San Mateo
118624,91,18,29,13,31,8304,1013,100434,2304,81,2,San Mateo
115843,38,8,12,6,12,6975,1013,100434,2304,81,2,San Mateo
112161,41,9,13,6,13,5189,1013,100434,2304,81,2,San Mateo
117817,41,9,13,5,14,7919,1013,100434,2304,81,2,San Mateo
112655,35,14,11,4,6,5417,858,100251,2304,81,2,San Mateo
111751,10,5,3,1,1,5009,858,100251,2304,81,2,San Mateo
110463,6,2,2,1,1,4372,858,100251,2304,81,2,San Mateo
111760,0,0,0,0,0,5012,858,100251,2304,81,2,San Mateo
114574,5,1,2,1,1,6360,858,100251,2304,81,2,San Mateo
114579,1,1,0,0,0,6363,858,100251,2304,81,2,San Mateo
111750,2,0,1,0,1,5008,952,100353,2304,81,2,San Mateo
116031,20,8,6,2,4,7064,858,100251,2304,81,2,San Mateo
115844,45,9,8,5,23,6976,985,100394,2304,81,2,San Mateo
112386,404,153,121,55,75,5293,858,100251,2304,81,2,San Mateo
117955,14,4,5,2,3,7986,858,100251,2304,81,2,San Mateo
114719,33,13,10,4,6,6431,858,100251,2304,81,2,San Mateo
114580,8,4,2,1,1,6364,858,100251,2304,81,2,San Mateo
113609,11,5,3,1,2,5890,858,100251,2304,81,2,San Mateo
117076,2,2,0,0,0,7562,858,100251,2304,81,2,San Mateo
117669,13,4,3,3,3,7844,952,100353,2304,81,2,San Mateo
117616,29,11,9,4,5,7817,858,100251,2304,81,2,San Mateo
117807,90,33,27,13,17,7916,858,100251,2304,81,2,San Mateo
119223,405,67,140,64,134,8590,952,100353,2304,81,2,San Mateo
116824,43,11,16,6,10,7438,964,100371,2304,81,2,San Mateo
112321,166,35,30,22,79,5260,833,100223,2304,81,2,San Mateo
112832,74,20,28,10,16,5502,964,100371,2304,81,2,San Mateo
114313,34,8,8,4,14,6226,833,100223,2304,81,2,San Mateo
111599,9,2,4,1,2,4937,964,100371,2304,81,2,San Mateo
117171,12,2,2,1,7,7606,833,100223,2304,81,2,San Mateo
115631,7,1,1,1,4,6867,833,100223,2304,81,2,San Mateo
119002,4,4,0,0,0,8492,833,100223,2304,81,2,San Mateo
111602,42,7,17,8,10,4938,960,100365,2304,81,2,San Mateo
118994,17,4,7,2,4,8490,964,100371,2304,81,2,San Mateo
115303,185,48,69,27,41,6722,964,100371,2304,81,2,San Mateo
113306,64,17,23,10,14,5736,964,100371,2304,81,2,San Mateo
114773,24,5,10,4,5,6460,962,100369,2304,81,2,San Mateo
113755,37,8,13,7,9,5962,962,100369,2304,81,2,San Mateo
116592,81,17,29,16,19,7327,962,100369,2304,81,2,San Mateo
112319,2,0,2,0,0,5258,962,100369,2304,81,2,San Mateo
117165,5,1,2,1,1,7605,962,100369,2304,81,2,San Mateo
112320,9,2,3,2,2,5259,964,100371,2304,81,2,San Mateo
111598,51,11,18,10,12,4936,962,100369,2304,81,2,San Mateo
112314,15,3,5,3,4,5256,962,100369,2304,81,2,San Mateo
112375,160,34,59,30,37,5289,962,100369,2304,81,2,San Mateo
118085,0,0,0,0,0,8053,964,100371,2304,81,2,San Mateo
118155,38,8,13,7,10,8079,856,100249,2304,81,2,San Mateo
115617,16,3,7,3,3,6865,856,100249,2304,81,2,San Mateo
113752,31,6,12,6,7,5960,856,100249,2304,81,2,San Mateo
115242,16,3,6,3,4,6689,856,100249,2304,81,2,San Mateo
113753,38,7,15,7,9,5961,856,100249,2304,81,2,San Mateo
111977,10,2,4,2,2,5121,856,100249,2304,81,2,San Mateo
115245,302,59,113,58,72,6691,856,100249,2304,81,2,San Mateo
111053,17,3,7,3,4,4672,856,100249,2304,81,2,San Mateo
115244,81,16,31,15,19,6690,856,100249,2304,81,2,San Mateo
118489,96,19,37,18,22,8241,856,100249,2304,81,2,San Mateo
113760,40,8,16,7,9,5963,856,100249,2304,81,2,San Mateo
111054,37,7,14,7,9,4673,856,100249,2304,81,2,San Mateo
113763,33,7,12,6,8,5965,856,100249,2304,81,2,San Mateo
111974,88,18,30,18,22,5120,856,100249,2304,81,2,San Mateo
115248,131,28,47,25,31,6692,962,100369,2304,81,2,San Mateo
110764,0,0,0,0,0,4539,962,100369,2304,81,2,San Mateo
114307,66,13,25,12,16,6225,856,100249,2304,81,2,San Mateo
118088,55,11,20,11,13,8054,856,100249,2304,81,2,San Mateo
112693,0,0,0,0,0,5441,856,100249,2304,81,2,San Mateo
115481,23,5,7,5,6,6798,856,100249,2304,81,2,San Mateo
111973,1,1,0,0,0,5119,856,100249,2304,81,2,San Mateo
115684,0,0,0,0,0,6897,856,100249,2304,81,2,San Mateo
117489,39,8,12,8,11,7759,650,100017,2301,81,2,San Mateo
115435,31,6,10,6,9,6782,650,100017,2301,81,2,San Mateo
111486,169,34,56,34,45,4889,650,100017,2301,81,2,San Mateo
111490,228,45,75,46,62,4891,650,100017,2301,81,2,San Mateo
110919,43,10,18,7,8,4611,649,100016,2301,81,2,San Mateo
119181,39,9,18,6,6,8570,649,100016,2301,81,2,San Mateo
111914,0,0,0,0,0,5088,1001,100419,2301,81,2,San Mateo
114106,142,34,61,22,25,6138,649,100016,2301,81,2,San Mateo
117908,73,17,32,11,13,7963,649,100016,2301,81,2,San Mateo
112261,2,0,2,0,0,5236,649,100016,2301,81,2,San Mateo
118697,115,17,38,26,34,8334,1001,100419,2301,81,2,San Mateo
116112,4,1,1,1,1,7103,649,100016,2301,81,2,San Mateo
114522,27,4,9,6,8,6328,1001,100419,2301,81,2,San Mateo
117074,26,4,8,6,8,7561,1001,100419,2301,81,2,San Mateo
117901,96,19,32,19,26,7957,1002,100420,2301,81,2,San Mateo
115418,102,20,35,20,27,6773,1002,100420,2301,81,2,San Mateo
114528,25,4,10,4,7,6333,1002,100420,2301,81,2,San Mateo
114908,39,8,13,8,10,6515,1002,100420,2301,81,2,San Mateo
114524,79,11,26,19,23,6330,1001,100419,2301,81,2,San Mateo
118822,21,3,6,5,7,8396,1000,100418,2301,81,2,San Mateo
119183,24,4,10,4,6,8572,1002,100420,2301,81,2,San Mateo
114527,109,22,36,22,29,6332,1002,100420,2301,81,2,San Mateo
118826,29,5,8,7,9,8400,1000,100418,2301,81,2,San Mateo
117634,64,10,20,14,20,7824,1000,100418,2301,81,2,San Mateo
118825,22,3,8,5,6,8399,1000,100418,2301,81,2,San Mateo
119182,40,6,13,8,13,8571,1000,100418,2301,81,2,San Mateo
112992,80,13,25,18,24,5580,1000,100418,2301,81,2,San Mateo
112991,31,4,11,6,10,5579,1000,100418,2301,81,2,San Mateo
114523,82,13,26,18,25,6329,1000,100418,2301,81,2,San Mateo
117109,71,20,22,12,17,7581,1003,100421,2301,81,2,San Mateo
112456,126,25,40,26,35,5324,650,100017,2301,81,2,San Mateo
114526,35,7,12,7,9,6331,1002,100420,2301,81,2,San Mateo
117487,45,9,15,9,12,7757,1002,100420,2301,81,2,San Mateo
117911,165,27,56,38,44,7964,1004,100422,2301,81,2,San Mateo
115434,41,11,13,7,10,6781,1003,100421,2301,81,2,San Mateo
116911,49,13,17,8,11,7474,1003,100421,2301,81,2,San Mateo
117652,44,11,14,8,11,7838,1003,100421,2301,81,2,San Mateo
111581,66,18,21,11,16,4928,1003,100421,2301,81,2,San Mateo
115055,26,7,9,4,6,6603,1003,100421,2301,81,2,San Mateo
118439,24,6,8,4,6,8216,1003,100421,2301,81,2,San Mateo
117488,29,5,9,7,8,7758,1004,100422,2301,81,2,San Mateo
