COUNTY,county_name,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military
4,Alameda,95328.00000,248304.00000,181821.00000,113163.00000,149170.00000,1071.34833
5,Contra Costa,67674.00000,137105.00000,120916.00000,82427.00000,106497.00000,705.00000
9,Marin,22025.00000,37786.00000,26984.00000,22175.00000,18031.00000,222.00000
7,Napa,8564.00000,13569.00000,15166.00000,12237.00000,19578.00000,41.00000
1,San Francisco,69488.00000,164768.00000,101418.00000,81092.00000,58464.00000,370.00000
2,San Mateo,54537.00000,113165.00000,87772.00000,62131.00000,72632.00000,165.00000
3,Santa Clara,121697.00000,330181.00000,178163.00000,131242.00000,166255.00000,511.00000
6,Solano,17386.00000,39279.00000,52860.00000,30721.00000,49342.00000,3654.52650
8,Sonoma,27893.00000,51226.00000,58252.00000,42160.00000,61199.00000,599.98795
