COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military,gq_tot_pop
4,132201,328766,279446.0,153030,222364,1027,38414
5,93736,194755,181195.0,109305,151599,0,7795
9,28370,53215,39347.0,29171,27671,0,4295
7,12126,18439,22383.0,14897,28477,0,3233
1,121866,297451,219864.0,159210,118931,0,29635
2,62289,131103,114705.0,70387,93977,0,8296
3,288534,754192,465059.0,295279,415409,0,32907
6,13549,30094,41687.0,21387,37130,726,3957
8,20545,38995,48344.0,33109,47222,321,9641
