COUNTY,county_name,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military
4,Alameda,84638.00000,210481.00000,171758.00000,105125.00000,142362.00000,1217.00000
5,Contra Costa,61716.00000,128226.00000,114487.00000,76775.00000,99812.00000,653.00000
9,Marin,19514.00000,36605.00000,25843.00000,21289.00000,19034.00000,210.00000
7,Napa,8131.00000,12364.00000,14363.00000,10635.00000,19095.00000,172.00000
1,San Francisco,58243.00000,142161.00000,100697.00000,80474.00000,56840.00000,226.00000
2,San Mateo,47779.00000,100562.00000,84357.00000,57613.00000,72084.00000,178.00000
3,Santa Clara,110331.00000,288384.00000,169347.00000,121390.00000,158840.00000,569.00000
6,Solano,16947.00000,37640.00000,50332.00000,28557.00000,46441.00000,6921.00000
8,Sonoma,25059.00000,47563.00000,56668.00000,42683.00000,57598.00000,330.00000
