MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
116520,64,12,18,12,22,7300,961,100368,2304,81,2,San Mateo
117812,11,2,3,2,4,7918,961,100368,2304,81,2,San Mateo
114960,0,0,0,0,0,6546,961,100368,2304,81,2,San Mateo
114961,0,0,0,0,0,6547,961,100368,2304,81,2,San Mateo
118692,0,0,0,0,0,8332,961,100368,2304,81,2,San Mateo
116241,0,0,0,0,0,7165,961,100368,2304,81,2,San Mateo
112238,11,0,3,4,4,5221,961,100368,2304,81,2,San Mateo
115301,10,2,2,2,4,6720,961,100368,2304,81,2,San Mateo
112108,0,0,0,0,0,5168,961,100368,2304,81,2,San Mateo
114023,8,0,4,0,4,6091,961,100368,2304,81,2,San Mateo
118693,14,14,0,0,0,8333,961,100368,2304,81,2,San Mateo
111412,4,2,1,0,1,4851,860,100254,2304,81,2,San Mateo
110615,0,0,0,0,0,4452,860,100254,2304,81,2,San Mateo
111556,0,0,0,0,0,4917,860,100254,2304,81,2,San Mateo
116247,0,0,0,0,0,7166,985,100394,2304,81,2,San Mateo
112652,30,8,10,4,8,5416,985,100394,2304,81,2,San Mateo
113307,15,4,5,2,4,5737,1005,100423,2304,81,2,San Mateo
112697,19,5,6,3,5,5443,1005,100423,2304,81,2,San Mateo
117540,0,0,0,0,0,7784,1005,100423,2304,81,2,San Mateo
118862,6,6,0,0,0,8411,1005,100423,2304,81,2,San Mateo
116037,90,24,32,12,22,7068,1005,100423,2304,81,2,San Mateo
113313,195,51,69,27,48,5740,1005,100423,2304,81,2,San Mateo
114582,47,12,17,6,12,6365,1005,100423,2304,81,2,San Mateo
118865,47,12,16,7,12,8413,1005,100423,2304,81,2,San Mateo
116962,27,7,9,4,7,7502,1005,100423,2304,81,2,San Mateo
112752,108,28,39,15,26,5472,1005,100423,2304,81,2,San Mateo
113318,339,89,122,46,82,5741,1005,100423,2304,81,2,San Mateo
114578,0,0,0,0,0,6362,858,100251,2304,81,2,San Mateo
110465,138,37,49,18,34,4374,985,100394,2304,81,2,San Mateo
118150,158,41,57,21,39,8077,1005,100423,2304,81,2,San Mateo
111758,9,2,4,1,2,5011,1005,100423,2304,81,2,San Mateo
110462,87,23,31,12,21,4371,1005,100423,2304,81,2,San Mateo
112649,46,12,17,6,11,5415,1005,100423,2304,81,2,San Mateo
116970,30,8,11,4,7,7504,1005,100423,2304,81,2,San Mateo
117656,73,20,26,10,17,7839,1005,100423,2304,81,2,San Mateo
116323,130,22,45,23,40,7204,1013,100434,2304,81,2,San Mateo
113866,175,30,59,31,55,6008,1013,100434,2304,81,2,San Mateo
117952,53,8,18,10,17,7984,1013,100434,2304,81,2,San Mateo
113310,88,15,30,15,28,5739,1013,100434,2304,81,2,San Mateo
112851,62,10,20,12,20,5506,1013,100434,2304,81,2,San Mateo
116969,51,8,20,8,15,7503,1013,100434,2304,81,2,San Mateo
117661,108,19,35,20,34,7842,1013,100434,2304,81,2,San Mateo
116035,58,16,20,8,14,7066,1005,100423,2304,81,2,San Mateo
111752,77,20,27,11,19,5010,1005,100423,2304,81,2,San Mateo
112506,12,4,5,1,2,5351,1005,100423,2304,81,2,San Mateo
112646,78,21,28,10,19,5414,1005,100423,2304,81,2,San Mateo
117954,38,10,13,5,10,7985,1005,100423,2304,81,2,San Mateo
117657,27,8,9,4,6,7840,1005,100423,2304,81,2,San Mateo
113607,78,21,28,10,19,5889,858,100251,2304,81,2,San Mateo
114576,37,10,12,6,9,6361,858,100251,2304,81,2,San Mateo
110460,126,33,45,17,31,4370,858,100251,2304,81,2,San Mateo
116032,34,8,14,4,8,7065,858,100251,2304,81,2,San Mateo
117752,34,9,10,5,10,7890,858,100251,2304,81,2,San Mateo
110464,5,1,2,1,1,4373,858,100251,2304,81,2,San Mateo
