COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military,gq_tot_pop
4,115302,286741,239352,137716,193940.0,896,32498
5,83844,174203,159140,100619,135601.0,0,6590
9,28582,53613,38835,30172,27878.0,0,3636
7,11581,17610,20964,14630,27197.0,0,2733
1,100845,246143,178531,135065,98416.0,0,25018
2,57441,120900,103816,66809,86663.0,0,7024
3,253135,661662,399243,267518,364444.0,0,27827
6,12326,27377,37333,20029,33778.0,660,3345
8,18954,35976,43820,31307,43566.0,296,8157
