COUNTY,pers_occ_management,pers_occ_professional,pers_occ_services,pers_occ_retail,pers_occ_manual,pers_occ_military,gq_tot_pop
4,119481.0,297134,249148.0,141597,200969.0,928.0,34327
5,86495.0,179711,164920.0,103059,139888.0,0.0,6940
9,28632.0,53708,39105.0,30028,27927.0,0.0,3835
7,11870.0,18049,21591.0,14890,27875.0,0.0,2884
1,106499.0,259943,189430.0,141756,103934.0,0.0,26416
2,59925.0,126126,108813.0,69197,90410.0,0.0,7406
3,263865.0,689711,418440.0,276627,379893.0,0.0,29388
6,12751.0,28321,38771.0,20570,34943.0,683.0,3531
8,19594.0,37190,45501.0,32164,45037.0,306.0,8613
