TAZ,hh_inc_30,hh_inc_30_60,hh_inc_60_100,hh_inc_100_plus,hh_wrks_0,hh_wrks_1,hh_wrks_2,hh_wrks_3_plus,pers_age_00_19,pers_age_20_34,pers_age_35_64,pers_age_65_plus,hh_kids_no,hh_kids_yes
1,118.96593,223.21443,62.54910,207.27054,165.92371,292.86785,121.52452,31.68392,97.67079,510.79974,497.74131,58.78816,542.79926,69.20074
2,586.23851,192.14037,178.11553,172.50559,399.45374,382.74019,257.80644,88.99963,186.28076,565.96656,1014.24796,253.50473,996.87483,132.12517
3,370.63275,323.29650,199.41653,373.65421,343.50545,606.31301,251.58753,65.59401,418.23513,758.27195,1053.97734,316.51558,1123.73637,143.26363
4,163.57669,174.36196,157.28528,90.77607,115.52305,204.96025,174.21622,91.30048,512.79863,880.67559,594.19405,23.33173,358.21037,227.78963
5,68.00000,101.00000,244.00000,350.00000,90.06984,360.27936,290.95859,21.69221,70.76543,515.66667,621.56790,116.00000,712.01084,50.98916
6,57.75000,11.00000,33.00000,217.25000,37.65698,150.62794,121.64586,9.06922,40.00000,253.00000,290.00000,43.00000,297.68212,21.31788
7,84.23579,78.42642,122.96488,293.37291,68.34920,273.39679,220.79295,16.46106,59.82824,343.54736,585.74345,69.88095,540.30704,38.69296
8,76.91607,52.57554,125.59712,150.91127,105.83088,151.50194,139.84794,8.81924,40.00000,222.00000,415.00000,54.00000,367.08528,38.91472
9,99.55941,71.11386,62.36139,208.96535,115.21490,164.93561,152.24825,9.60124,61.72557,205.13239,470.53141,94.61062,399.63472,42.36528
10,74.53125,53.10352,97.82227,251.54297,124.33825,177.99612,164.30411,10.36152,112.00000,158.00000,566.00000,84.00000,431.28000,45.72000
11,63.92276,19.08142,32.43841,341.55741,105.34680,204.91350,125.11098,21.62872,101.00000,205.00000,516.00000,83.00000,410.84194,46.15806
12,68.86010,110.94128,61.20898,201.98964,102.11954,198.63607,121.27825,20.96614,97.30921,169.01316,434.17105,84.50658,398.25598,44.74402
13,201.52174,150.40403,165.14952,409.92471,213.69033,415.65606,253.78091,43.87271,107.89062,475.42708,827.10417,158.57812,833.37086,93.62914
14,72.73276,199.46408,115.71121,379.09195,176.80743,343.91391,209.97838,36.30029,101.00000,417.00000,822.00000,105.00000,689.53123,77.46877
15,23.05963,60.79358,85.94954,287.19725,56.43381,225.24733,146.85801,28.46085,77.66355,331.18692,397.28972,67.85981,406.72664,50.27336
16,157.92185,221.09059,143.05861,523.92895,129.16797,515.55516,336.13452,65.14235,186.48723,713.45853,933.72552,135.32872,930.93230,115.06770
17,217.84321,322.66317,267.06302,407.43061,150.03737,598.85231,390.44306,75.66726,218.58599,842.32341,1000.74952,221.34108,1081.34106,133.65894
18,293.72603,127.21233,165.47945,168.58219,163.00082,222.07702,282.69971,87.22245,282.81928,646.71084,676.69880,259.77108,617.83523,137.16477
19,246.16109,161.04296,95.74937,176.04659,146.59279,199.72224,254.24252,78.44244,174.69002,491.90257,715.22416,104.18325,555.64255,123.35745
20,159.34215,108.77249,136.44268,136.44268,116.79926,159.13068,202.57026,62.49980,205.00000,561.00000,556.00000,78.00000,442.71372,98.28628
21,150.12795,69.80471,86.06061,262.00673,122.62843,167.07251,212.68005,65.61901,228.89267,732.53665,601.64398,129.92670,464.80849,103.19151
22,23.73832,138.86916,52.22430,39.16822,35.61937,111.38119,66.15025,40.84919,72.00000,257.00000,231.00000,35.00000,210.69460,43.30540
23,140.90323,112.25806,17.80645,65.03226,47.11853,147.33890,87.50584,54.03673,132.85950,320.78512,370.69421,117.66116,278.71412,57.28588
24,130.43130,178.70783,99.94087,77.92000,68.29382,213.55370,126.83139,78.32109,115.82584,396.64045,446.60674,89.92697,403.96958,83.03042
25,234.94624,199.19355,52.09677,178.76344,93.25543,291.60824,173.18865,106.94769,234.59267,630.95610,703.58526,150.86597,551.62170,113.37830
26,93.93137,42.03922,100.50000,98.52941,76.93077,140.79473,94.89761,22.37689,75.26035,294.97670,296.14080,49.62216,288.21696,46.78304
27,74.45734,38.60751,155.80887,539.12628,145.59846,434.71725,224.04758,3.63671,85.43919,695.75000,557.81081,34.00000,751.79130,56.20870
28,743.33470,114.94867,50.76899,23.94764,407.24803,304.47471,157.30611,63.97115,197.00000,198.00000,795.00000,584.00000,805.37581,127.62419
29,187.97237,186.93955,99.15026,123.93782,176.91547,287.00573,126.79656,7.28223,38.00000,313.00000,372.00000,175.00000,577.42366,20.57634
30,38.06972,153.74312,77.60367,129.58349,87.89077,211.66023,78.01811,21.43090,47.00000,269.00000,259.00000,76.00000,379.51941,19.48059
31,765.61595,44.01625,56.02068,37.34712,586.88331,239.42171,48.01773,28.67725,78.14182,254.38980,559.97277,383.49560,823.64721,79.35279
32,365.71123,233.28342,0.00000,57.00535,426.35155,173.93205,34.88331,20.83309,175.00000,386.00000,556.00000,96.00000,598.35279,57.64721
33,529.09145,219.08549,226.75348,127.06958,412.41717,562.99274,126.59008,0.00000,209.02335,734.02760,523.38004,96.56900,1062.60534,39.39466
34,742.26061,129.78624,53.95608,69.99707,372.74728,508.83918,114.41354,0.00000,58.00000,501.00000,594.00000,157.00000,960.39466,35.60534
35,994.72906,87.72414,30.54680,0.00000,741.48898,288.21488,26.57300,56.72314,97.94662,273.75769,799.97544,558.32025,1021.07080,91.92920
36,753.75959,155.46292,11.77749,0.00000,613.57713,238.49587,21.98898,46.93802,161.78051,313.39331,729.23508,326.59110,844.92920,76.07080
