household_size,households,share,dataset
1,823028,0.28196580004816896,PopSim_2023
2,882560,0.30236120337401884,PopSim_2023
3,478658,0.1639861413213845,PopSim_2023
4,430501,0.14748776334041708,PopSim_2023
5,181796,0.062282516008637524,PopSim_2023
6,58844,0.020159697529166024,PopSim_2023
7+,63506,0.02175687837820708,PopSim_2023
