row_names,maz_original,households,HHSize1,HHSize2,HHSize3,HHSize4p,maz,taz,taz_original,COUNTYFP,mtc_county_id,county_name,PUMA,region,univ,mil,othnon,popgq
1,116520,48,12,14,6,16,7300,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,33.0,33.0
2,117812,0,0,0,0,0,7918,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
3,114960,0,0,0,0,0,6546,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
4,114961,0,0,0,0,0,6547,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
5,118692,0,0,0,0,0,8332,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
6,116241,0,0,0,0,0,7165,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
7,112238,1,1,0,0,0,5221,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,3.0,3.0
8,115301,4,1,1,1,1,6720,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
9,112108,0,0,0,0,0,5168,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
10,114023,1,1,0,0,0,6091,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
11,118693,0,0,0,0,0,8333,961,100368,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
12,111412,2,1,1,0,0,4851,860,100254,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
13,110615,0,0,0,0,0,4452,860,100254,81,2,San Mateo,2,1.0,0.0,0.0,1.0,1.0
14,111556,0,0,0,0,0,4917,860,100254,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
15,116247,3,0,0,0,3,7166,985,100394,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
16,112652,1,0,0,0,1,5416,985,100394,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
17,113307,0,0,0,0,0,5737,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
