row_names,mtc_county_id,county_name,occupation_management,occupation_manual,occupation_military,occupation_professional,occupation_retail,occupation_services,HH00,HH05,factor,HH
1,4,Alameda,99048,183393,813,245763,133354,231703,545134,585322,1.07372132356448,585322
2,5,Contra Costa,72234,127932,466,147404,101600,152771,375364,386753,1.03034121546019,386753
3,9,Marin,22730,23559,96,44260,25435,36639,103205,106788,1.03471731020784,106788
4,7,Napa,8801,22852,79,13947,13263,18048,48877,48857,0.99959080958324,48857
5,1,San Francisco,69795,77171,306,167412,99380,144282,345811,388580,1.12367738446724,388580
6,2,San Mateo,53764,86419,93,117129,73293,111278,257835,270648,1.04969457211007,270648
7,3,Santa Clara,131281,201425,306,343619,155042,230456,604207,649059,1.07423283742161,649059
8,6,Solano,19601,59767,2332,43604,36079,65787,141758,140995,0.994617587719917,140995
9,8,Sonoma,28731,68182,402,55839,52648,70128,185825,183477,0.987364455805193,183477
